palabra	sentimiento	lexicon	valor
agricultura	confianza	nrc	NA
agricultura	positivo	nrc	NA
agrietado	ira	nrc	NA
agrietado	miedo	nrc	NA
agrietado	negativo	nrc	NA
agrietamiento	negativo	nrc	NA
agrimensura	positivo	nrc	NA
agrio	disgusto	nrc	NA
agrio	negativo	nrc	NA
aguanieve	negativo	nrc	NA
aguante	confianza	nrc	NA
aguante	positivo	nrc	NA
agudeza	positivo	nrc	NA
agudísimo	miedo	nrc	NA
agudísimo	negativo	nrc	NA
agüero	miedo	nrc	NA
agüero	negativo	nrc	NA
agüero	premonición	nrc	NA
águila	confianza	nrc	NA
agujereado	negativo	nrc	NA
ahogado	ira	nrc	NA
ahogado	miedo	nrc	NA
ahogado	negativo	nrc	NA
ahogado	tristeza	nrc	NA
ahogar	ira	nrc	NA
ahogar	negativo	nrc	NA
ahogarse	miedo	nrc	NA
ahogarse	negativo	nrc	NA
ahogarse	tristeza	nrc	NA
ahorro	confianza	nrc	NA
ahorro	disgusto	nrc	NA
ahorro	positivo	nrc	NA
ahorros	positivo	nrc	NA
airado	ira	nrc	NA
airado	negativo	nrc	NA
aires	disgusto	nrc	NA
aires	negativo	nrc	NA
aislado	miedo	nrc	NA
aislado	negativo	nrc	NA
aislado	tristeza	nrc	NA
aislamiento	confianza	nrc	NA
aislamiento	negativo	nrc	NA
aislamiento	tristeza	nrc	NA
aislar	tristeza	nrc	NA
ajedrea	positivo	nrc	NA
alabado	alegría	nrc	NA
alabado	positivo	nrc	NA
alabanza	alegría	nrc	NA
alabanza	confianza	nrc	NA
alabanza	positivo	nrc	NA
alabastro	positivo	nrc	NA
alardear	negativo	nrc	NA
alarma	asombro	nrc	NA
alarma	miedo	nrc	NA
alarma	negativo	nrc	NA
alarmante	asombro	nrc	NA
alarmante	miedo	nrc	NA
alarmante	negativo	nrc	NA
alba	confianza	nrc	NA
albacea	confianza	nrc	NA
alborada	premonición	nrc	NA
alboroto	ira	nrc	NA
alboroto	miedo	nrc	NA
alboroto	negativo	nrc	NA
alcalde	positivo	nrc	NA
alcantarilla	disgusto	nrc	NA
alcantarillado	disgusto	nrc	NA
alcantarillado	negativo	nrc	NA
alcanzable	positivo	nrc	NA
alcanzable	premonición	nrc	NA
alcohol	alegría	nrc	NA
alcohol	ira	nrc	NA
alcohol	negativo	nrc	NA
alcohol	tristeza	nrc	NA
alcoholismo	disgusto	nrc	NA
alcoholismo	ira	nrc	NA
alcoholismo	miedo	nrc	NA
alcoholismo	negativo	nrc	NA
alcoholismo	tristeza	nrc	NA
aldeano	confianza	nrc	NA
aldeano	positivo	nrc	NA
aleatorización	negativo	nrc	NA
alegación	ira	nrc	NA
alegación	negativo	nrc	NA
alegar	negativo	nrc	NA
alegre	alegría	nrc	NA
alegre	asombro	nrc	NA
alegre	confianza	nrc	NA
alegre	positivo	nrc	NA
alegre	premonición	nrc	NA
alegría	alegría	nrc	NA
alegría	asombro	nrc	NA
alegría	confianza	nrc	NA
alegría	positivo	nrc	NA
alegría	premonición	nrc	NA
alegro	positivo	nrc	NA
alejado	ira	nrc	NA
alejado	miedo	nrc	NA
alejado	negativo	nrc	NA
alejado	tristeza	nrc	NA
alentar	alegría	nrc	NA
alentar	confianza	nrc	NA
alentar	positivo	nrc	NA
alertas	asombro	nrc	NA
alertas	miedo	nrc	NA
alertas	premonición	nrc	NA
alférez	positivo	nrc	NA
algarabía	ira	nrc	NA
algarabía	negativo	nrc	NA
alguacil	confianza	nrc	NA
alguacil	miedo	nrc	NA
alguacil	negativo	nrc	NA
aliado	confianza	nrc	NA
aliado	positivo	nrc	NA
alianza	confianza	nrc	NA
alienación	disgusto	nrc	NA
alienación	ira	nrc	NA
alienación	miedo	nrc	NA
alienación	negativo	nrc	NA
alienación	tristeza	nrc	NA
alienado	negativo	nrc	NA
alienado	tristeza	nrc	NA
alimentación	positivo	nrc	NA
alimento	positivo	nrc	NA
aliviando	positivo	nrc	NA
aliviar	positivo	nrc	NA
alivio	alegría	nrc	NA
alivio	confianza	nrc	NA
alivio	positivo	nrc	NA
alma	positivo	nrc	NA
almirante	confianza	nrc	NA
almirante	positivo	nrc	NA
almohada	positivo	nrc	NA
alojamiento	confianza	nrc	NA
alojamiento	positivo	nrc	NA
alquitranado	negativo	nrc	NA
altercado	ira	nrc	NA
altercado	negativo	nrc	NA
altivo	ira	nrc	NA
altivo	negativo	nrc	NA
alto	negativo	nrc	NA
altruista	positivo	nrc	NA
alucinación	miedo	nrc	NA
alucinación	negativo	nrc	NA
amabilidad	alegría	nrc	NA
amabilidad	confianza	nrc	NA
amabilidad	positivo	nrc	NA
amable	alegría	nrc	NA
amable	confianza	nrc	NA
amable	positivo	nrc	NA
amanecer	alegría	nrc	NA
amanecer	asombro	nrc	NA
amanecer	confianza	nrc	NA
amanecer	positivo	nrc	NA
amanecer	premonición	nrc	NA
amanerado	positivo	nrc	NA
amante	alegría	nrc	NA
amante	confianza	nrc	NA
amante	positivo	nrc	NA
amante	premonición	nrc	NA
amargamente	disgusto	nrc	NA
amargamente	ira	nrc	NA
amargamente	negativo	nrc	NA
amargamente	tristeza	nrc	NA
amargura	disgusto	nrc	NA
amargura	ira	nrc	NA
amargura	negativo	nrc	NA
amargura	tristeza	nrc	NA
amarillos	negativo	nrc	NA
amarras	confianza	nrc	NA
ambición	alegría	nrc	NA
ambición	confianza	nrc	NA
ambición	positivo	nrc	NA
ambición	premonición	nrc	NA
ambicioso	alegría	nrc	NA
ambicioso	confianza	nrc	NA
ambicioso	positivo	nrc	NA
ambicioso	premonición	nrc	NA
ambiental	positivo	nrc	NA
ambiguo	negativo	nrc	NA
ambulancia	confianza	nrc	NA
ambulancia	miedo	nrc	NA
amén	alegría	nrc	NA
amén	confianza	nrc	NA
amén	positivo	nrc	NA
amenaza	ira	nrc	NA
amenaza	miedo	nrc	NA
amenaza	negativo	nrc	NA
amenazador	ira	nrc	NA
amenazador	miedo	nrc	NA
amenazador	negativo	nrc	NA
amenazante	disgusto	nrc	NA
amenazante	ira	nrc	NA
amenazante	miedo	nrc	NA
amenazante	negativo	nrc	NA
amenazar	ira	nrc	NA
amenazar	miedo	nrc	NA
amenazar	negativo	nrc	NA
amenazar	premonición	nrc	NA
amenidad	positivo	nrc	NA
amigo	alegría	nrc	NA
amigo	confianza	nrc	NA
amigo	positivo	nrc	NA
amigo	premonición	nrc	NA
amistad	alegría	nrc	NA
amistad	confianza	nrc	NA
amistad	positivo	nrc	NA
amistoso	alegría	nrc	NA
amistoso	confianza	nrc	NA
amistoso	positivo	nrc	NA
amistoso	premonición	nrc	NA
amnesia	negativo	nrc	NA
amnistía	alegría	nrc	NA
amnistía	positivo	nrc	NA
amoníaco	disgusto	nrc	NA
amor	alegría	nrc	NA
amor	positivo	nrc	NA
amoroso	alegría	nrc	NA
amoroso	confianza	nrc	NA
amoroso	positivo	nrc	NA
amortización	confianza	nrc	NA
amotinado	asombro	nrc	NA
amotinado	ira	nrc	NA
amotinado	miedo	nrc	NA
amotinado	negativo	nrc	NA
ampliar	positivo	nrc	NA
ampolla	disgusto	nrc	NA
ampolla	negativo	nrc	NA
anaconda	disgusto	nrc	NA
anaconda	miedo	nrc	NA
anaconda	negativo	nrc	NA
anal	negativo	nrc	NA
analfabeto	disgusto	nrc	NA
analfabeto	negativo	nrc	NA
analista	confianza	nrc	NA
analista	positivo	nrc	NA
analista	premonición	nrc	NA
anarquía	ira	nrc	NA
anarquía	miedo	nrc	NA
anarquía	negativo	nrc	NA
anarquismo	ira	nrc	NA
anarquismo	miedo	nrc	NA
anarquismo	negativo	nrc	NA
anarquista	ira	nrc	NA
anarquista	miedo	nrc	NA
anarquista	negativo	nrc	NA
anatema	disgusto	nrc	NA
anatema	ira	nrc	NA
anatema	miedo	nrc	NA
anatema	negativo	nrc	NA
anatema	tristeza	nrc	NA
ancestral	confianza	nrc	NA
anciano	confianza	nrc	NA
anciano	positivo	nrc	NA
ancianos	confianza	nrc	NA
ancianos	positivo	nrc	NA
ancla	positivo	nrc	NA
andamio	miedo	nrc	NA
andamio	negativo	nrc	NA
anfetaminas	disgusto	nrc	NA
anfetaminas	negativo	nrc	NA
ángel	alegría	nrc	NA
ángel	asombro	nrc	NA
ángel	confianza	nrc	NA
ángel	positivo	nrc	NA
ángel	premonición	nrc	NA
angelical	alegría	nrc	NA
angelical	confianza	nrc	NA
angelical	positivo	nrc	NA
angina	miedo	nrc	NA
angina	negativo	nrc	NA
anguila	miedo	nrc	NA
angustia	asombro	nrc	NA
angustia	disgusto	nrc	NA
angustia	ira	nrc	NA
angustia	miedo	nrc	NA
angustia	negativo	nrc	NA
angustia	tristeza	nrc	NA
angustiado	miedo	nrc	NA
angustiado	negativo	nrc	NA
angustioso	ira	nrc	NA
angustioso	miedo	nrc	NA
angustioso	negativo	nrc	NA
anhelo	alegría	nrc	NA
anhelo	confianza	nrc	NA
anhelo	negativo	nrc	NA
anhelo	positivo	nrc	NA
anhelo	premonición	nrc	NA
anhelo	tristeza	nrc	NA
animado	alegría	nrc	NA
animado	positivo	nrc	NA
animar	positivo	nrc	NA
animosidad	disgusto	nrc	NA
animosidad	ira	nrc	NA
animosidad	miedo	nrc	NA
animosidad	negativo	nrc	NA
animosidad	tristeza	nrc	NA
aniquilación	ira	nrc	NA
aniquilación	miedo	nrc	NA
aniquilación	negativo	nrc	NA
aniquilación	tristeza	nrc	NA
aniquilado	ira	nrc	NA
aniquilado	miedo	nrc	NA
aniquilado	negativo	nrc	NA
aniquilado	tristeza	nrc	NA
aniquilar	ira	nrc	NA
aniquilar	miedo	nrc	NA
aniquilar	negativo	nrc	NA
aniversario	alegría	nrc	NA
aniversario	asombro	nrc	NA
aniversario	positivo	nrc	NA
anomalía	asombro	nrc	NA
anomalía	miedo	nrc	NA
anomalía	negativo	nrc	NA
anónimo	negativo	nrc	NA
anormal	disgusto	nrc	NA
anormal	negativo	nrc	NA
ansia	premonición	nrc	NA
ansiedad	ira	nrc	NA
ansiedad	miedo	nrc	NA
ansiedad	negativo	nrc	NA
ansiedad	premonición	nrc	NA
ansiedad	tristeza	nrc	NA
ansioso	alegría	nrc	NA
ansioso	asombro	nrc	NA
ansioso	confianza	nrc	NA
ansioso	miedo	nrc	NA
ansioso	negativo	nrc	NA
ansioso	positivo	nrc	NA
ansioso	premonición	nrc	NA
antagónico	disgusto	nrc	NA
antagónico	ira	nrc	NA
antagónico	negativo	nrc	NA
antagonismo	ira	nrc	NA
antagonismo	negativo	nrc	NA
antagonista	ira	nrc	NA
antagonista	negativo	nrc	NA
antebrazo	ira	nrc	NA
antebrazo	premonición	nrc	NA
antepasados	alegría	nrc	NA
antepasados	confianza	nrc	NA
antepasados	positivo	nrc	NA
antibióticos	positivo	nrc	NA
anticipación	premonición	nrc	NA
anticipado	premonición	nrc	NA
anticristo	disgusto	nrc	NA
anticristo	ira	nrc	NA
anticristo	miedo	nrc	NA
anticristo	negativo	nrc	NA
anticuado	negativo	nrc	NA
antídoto	confianza	nrc	NA
antídoto	positivo	nrc	NA
antídoto	premonición	nrc	NA
antifúngico	confianza	nrc	NA
antifúngico	positivo	nrc	NA
antigüedad	confianza	nrc	NA
antigüedad	positivo	nrc	NA
antiguo	negativo	nrc	NA
antinatural	disgusto	nrc	NA
antinatural	miedo	nrc	NA
antinatural	negativo	nrc	NA
antipatía	disgusto	nrc	NA
antipatía	ira	nrc	NA
antipatía	negativo	nrc	NA
antipático	disgusto	nrc	NA
antipático	ira	nrc	NA
antipático	miedo	nrc	NA
antipático	negativo	nrc	NA
antipático	tristeza	nrc	NA
antiséptico	confianza	nrc	NA
antiséptico	positivo	nrc	NA
antisocial	disgusto	nrc	NA
antisocial	ira	nrc	NA
antisocial	miedo	nrc	NA
antisocial	negativo	nrc	NA
antisocial	tristeza	nrc	NA
antítesis	ira	nrc	NA
antítesis	negativo	nrc	NA
ántrax	disgusto	nrc	NA
ántrax	miedo	nrc	NA
ántrax	negativo	nrc	NA
ántrax	tristeza	nrc	NA
anudado	negativo	nrc	NA
anulación	negativo	nrc	NA
anulación	tristeza	nrc	NA
anulado	disgusto	nrc	NA
anulado	ira	nrc	NA
anulado	miedo	nrc	NA
anulado	negativo	nrc	NA
anulado	tristeza	nrc	NA
anular	asombro	nrc	NA
anular	miedo	nrc	NA
anular	negativo	nrc	NA
anuncio	premonición	nrc	NA
apache	miedo	nrc	NA
apache	negativo	nrc	NA
apaciguar	positivo	nrc	NA
apalancamiento	positivo	nrc	NA
apalear	ira	nrc	NA
apalear	miedo	nrc	NA
apalear	negativo	nrc	NA
aparentemente	negativo	nrc	NA
aparición	asombro	nrc	NA
aparición	miedo	nrc	NA
apasionado	alegría	nrc	NA
apasionado	confianza	nrc	NA
apasionado	positivo	nrc	NA
apasionado	premonición	nrc	NA
apatía	negativo	nrc	NA
apatía	tristeza	nrc	NA
apático	negativo	nrc	NA
apático	tristeza	nrc	NA
apelación	premonición	nrc	NA
apenas	negativo	nrc	NA
apenas	tristeza	nrc	NA
apendicitis	miedo	nrc	NA
apendicitis	negativo	nrc	NA
apendicitis	tristeza	nrc	NA
aplacar	positivo	nrc	NA
aplastado	disgusto	nrc	NA
aplastado	ira	nrc	NA
aplastado	miedo	nrc	NA
aplastado	negativo	nrc	NA
aplastado	tristeza	nrc	NA
aplastante	disgusto	nrc	NA
aplastante	ira	nrc	NA
aplastante	miedo	nrc	NA
aplastante	negativo	nrc	NA
aplastar	disgusto	nrc	NA
aplastar	ira	nrc	NA
aplastar	negativo	nrc	NA
aplaudir	alegría	nrc	NA
aplaudir	confianza	nrc	NA
aplaudir	positivo	nrc	NA
aplaudir	premonición	nrc	NA
aplausos	alegría	nrc	NA
aplausos	asombro	nrc	NA
aplausos	confianza	nrc	NA
aplausos	positivo	nrc	NA
aplazamiento	asombro	nrc	NA
aplazamiento	negativo	nrc	NA
aplazar	negativo	nrc	NA
aplicación	negativo	nrc	NA
aplomo	positivo	nrc	NA
apoderado	confianza	nrc	NA
apogeo	alegría	nrc	NA
apogeo	confianza	nrc	NA
apogeo	positivo	nrc	NA
apogeo	premonición	nrc	NA
apologético	confianza	nrc	NA
apologético	positivo	nrc	NA
apóstol	confianza	nrc	NA
apóstol	positivo	nrc	NA
apostólico	confianza	nrc	NA
apoyado	positivo	nrc	NA
apoyo	confianza	nrc	NA
apoyo	positivo	nrc	NA
apreciación	alegría	nrc	NA
apreciación	confianza	nrc	NA
apreciación	positivo	nrc	NA
apreciar	alegría	nrc	NA
apreciar	asombro	nrc	NA
apreciar	confianza	nrc	NA
apreciar	positivo	nrc	NA
apreciar	premonición	nrc	NA
aprehender	miedo	nrc	NA
aprender	positivo	nrc	NA
aprendiz	confianza	nrc	NA
aprendizaje	positivo	nrc	NA
aprensión	miedo	nrc	NA
aprensión	negativo	nrc	NA
aprensivo	disgusto	nrc	NA
aprensivo	miedo	nrc	NA
aprensivo	negativo	nrc	NA
aprensivo	premonición	nrc	NA
apresador	miedo	nrc	NA
apresador	negativo	nrc	NA
apresurado	negativo	nrc	NA
apresurado	premonición	nrc	NA
apretar	ira	nrc	NA
aprobación	confianza	nrc	NA
aprobación	positivo	nrc	NA
aprobar	alegría	nrc	NA
aprobar	confianza	nrc	NA
aprobar	positivo	nrc	NA
apropiación	negativo	nrc	NA
apropiado	positivo	nrc	NA
