dela	de la
aaquellos	a aquellos
porsu	por su
enderredor	en derredor
puesque	pues que
mela	me la
paral	el
consus	con sus
contrael	contra el
conuusco	con uusco
obien	o bien
$$$
conestas	con
conestas	este
lemperador	el
lemperador	emperador
aqujen	a
aqujen	quien
a	dentro
entu	en
entu	tu
selas	los
selas	se
antellos	ante
antellos	ellos
entrelas	el
entrelas	entre
porella	el
porella	por
aaquella	a
aaquella	aquel
aellas	a
aellas	ellos
nonla	lo
nonla	no
de	todo	punto
de	todo	punto
enesa	en
enesa	ese
dalguna	alguno
dalguna	de
portales	por
portales	tal
de	ballesta
devos	de
devos	tu
porello	el
porello	por
aparte	de
deti	de
deti	ti
enti	en
enti	ti
conestos	con
conestos	este
entrela	el
entrela	entre
de	canto
selos	los
selos	se
questa	este
questa	que
enesso	en
enesso	ese
antell	ante
antell	el
ase	a
ase	se
en	pocas	palabras
en	pocas	palabras
mal	fechores
en	torno	de
en	torno	de
de	dos	en	dos
de	dos	en	dos
de	dos	en	dos
asos	a
asos	su
arriba	de
denos	de
denos	me
no	obstante
pues	bien
desos	de
desos	ese
a	todo	correr
a	todo	correr
aello	a
aello	el
dally	alli
dally	de
a	fin	de
a	fin	de
conell	con
conell	el
silas	los
silas	si
a	guisa	de
a	guisa	de
deyll	de
deyll	el
dalgun	alguno
dalgun	de
assil	asi
assil	le
en	todo	caso
en	todo	caso
queste	este
queste	que
contrallo	contra
contrallo	lo
convusco	con
convusco	vusco
ssobrel	el
ssobrel	sobre
aestas	a
aestas	este
antella	ante
antella	el
a	buen	recaudo
a	buen	recaudo
entrell	el
entrell	entre
so	pena	que
so	pena	que
sylo	lo
sylo	si
a	poco	rato
a	poco	rato
de	rato	en	rato
de	rato	en	rato
de	rato	en	rato
conusco	con
conusco	vusco
de	pro
porellos	ellos
porellos	por
a	modo	de
a	modo	de
daqueyll	aquel
daqueyll	de
deesas	de
deesas	ese
de	todas	maneras
de	todas	maneras
deessas	de
deessas	ese
a	buena	fe
a	buena	fe
mal	fechor
ales	a
ales	les
de	buena	gana
de	buena	gana
en	virtud	de
en	virtud	de
por	obra	de
por	obra	de
por	virtud	de
por	virtud	de
questo	este
questo	que
deylla	de
deylla	el
de	grado	en	grado
de	grado	en	grado
de	grado	en	grado
avuestro	a
avuestro	vuestro
a	punto	de
a	punto	de
daqueillos	aquel
daqueillos	de
oel	el
oel	o
amy	a
amy	mi
adaquella	a
adaquella	aquel
en	gran	manera
en	gran	manera
enmi	en
enmi	mi
dessy	de
dessy	si
en	caso	de
en	caso	de
auna	a
auna	uno
consi	con
consi	se
daqueste	aqueste
daqueste	de
sobrestas	este
sobrestas	sobre
convos	con
convos	vos
en	remojo
no	es	cosa	de
no	es	cosa	de
no	es	cosa	de
a	todas	estas
a	todas	estas
quell	le
quell	que
a	el	rededor
a	el	rededor
contralla	contra
contralla	el
de	mano	en	mano
de	mano	en	mano
de	mano	en	mano
melas	los
melas	me
nomenos	menos
nomenos	no
en	pro	de
en	pro	de
melos	lo
melos	me
ate	a
ate	te
enle	en
enle	le
a	rienda	suelta
a	rienda	suelta
deo	gracias
detu	de
detu	tu
aell	a
aell	el
a	tiento
daqueyllos	aquel
daqueyllos	de
por	lo	menos
por	lo	menos
daqueylla	aquel
daqueylla	de
en	memoria	de
en	memoria	de
a	mesa	puesta
a	mesa	puesta
a	tuerto	o	a	derecho
a	tuerto	o	a	derecho
a	tuerto	o	a	derecho
a	tuerto	o	a	derecho
bien	mirado
como	mucho
contrala	contra
contrala	el
contrallos	contra
contrallos	ellos
devuestra	de
devuestra	vuestro
enuno	en
enuno	uno
envno	en
envno	uno
porsi	por
porsi	si
aotras	a
aotras	otro
a	menos	que
a	menos	que
de	juro
porsus	por
porsus	su
questos	este
questos	que
anuestros	a
anuestros	nuestro
contrall	contra
contrall	el
enty	en
enty	ti
quellas	el
quellas	que
avuestra	a
avuestra	vuestro
sobrestos	este
sobrestos	sobre
tiene	lugar
dar	a	conocer
dar	a	conocer
deli	de
deli	le
en	guisa	de
en	guisa	de
excepto	que
antela	ante
antela	el
carlo	magno
enllo	en
enllo	lo
envos	en
envos	tu
mientras	que
porquien	por
porquien	quien
aaquellas	a
aaquellas	aquel
en	agraz
anuestra	a
anuestra	nuestro
a	nado
de	mala	muerte
de	mala	muerte
de	mal	en	peor
de	mal	en	peor
de	mal	en	peor
aese	a
aese	ese
antessi	ante
antessi	si
a	solas
deme	de
deme	me
respecto	a
anteque	ante
anteque	que
contraellos	contra
contraellos	ellos
de	la	mano	de
de	la	mano	de
de	la	mano	de
entan	en
entan	tan
en	menos	de
en	menos	de
queli	le
queli	que
a	la	manera	de
a	la	manera	de
a	la	manera	de
a	lumbre	de	pajas
a	lumbre	de	pajas
a	lumbre	de	pajas
conquien	con
conquien	quien
de	modo	que
de	modo	que
porellas	ellos
porellas	por
ssobrella	el
ssobrella	sobre
tienen	lugar
a	buen	seguro
a	buen	seguro
contrallas	contra
contrallas	el
deillo	de
deillo	el
en	mitad	de
en	mitad	de
si	acaso
adaquell	a
adaquell	aquel
aesa	a
aesa	ese
aeyll	a
aeyll	el
contan	con
contan	tan
detan	de
detan	tan
enesas	en
enesas	ese
pese	a
tanto	por	tanto
tanto	por	tanto
adaquellas	a
adaquellas	aquel
antelos	ante
antelos	el
dio	cuenta
enesos	en
enesos	ese
fastall	el
fastall	hasta
tuuo	lugar
a	el	tanto	de
a	el	tanto	de
a	el	tanto	de
de	iure
yngla	terra
allas	a
allas	el
avuestros	a
avuestros	vuestro
a	buenas	noches
a	buenas	noches
a	el	hilo
a	el	hilo
daqueyl	aquel
daqueyl	de
de	cara	a
de	cara	a
de	mala	manera
de	mala	manera
mele	le
mele	me
quello	lo
quello	que
sobre	seguro
telos	los
telos	te
cara	a	cara
cara	a	cara
degujsa	de
degujsa	guisa
dequien	de
dequien	quien
devuestro	de
devuestro	vuestro
deyl	de
deyl	el
de	boca	en	boca
de	boca	en	boca
de	boca	en	boca
de	buena	fe
de	buena	fe
entales	en
entales	tal
en	contra	de
en	contra	de
no	ha	lugar
no	ha	lugar
questas	este
questas	que
a	el	punto	que
a	el	punto	que
a	el	punto	que
deaquella	aquel
deaquella	de
tener	lugar
contu	con
contu	tu
dando	cuenta
daqueyllas	aquel
daqueyllas	de
dessus	de
dessus	su
dete	de
dete	te
de	sol	a	sol
de	sol	a	sol
de	sol	a	sol
enlla	el
enlla	en
enssu	en
enssu	su
en	vista	de
en	vista	de
por	cuenta	de
por	cuenta	de
todo	lo	contrario
todo	lo	contrario
contralos	contra
contralos	el
dio	a	conocer
dio	a	conocer
en	demanda	de
en	demanda	de
en	rama
porse	por
porse	se
a	borbollones
a	destajo
detal	de
detal	tal
de	pe	a	pa
de	pe	a	pa
de	pe	a	pa
de	repente
entus	en
entus	tu
ssobresto	este
ssobresto	sobre
antellas	ante
antellas	ellos
antes	bien
aunas	a
aunas	uno
a	trueco	de
a	trueco	de
dessu	de
dessu	su
deun	de
deun	uno
de	buena	ley
de	buena	ley
de	por	vida
de	por	vida
de	rebato
enessos	en
enessos	ese
enso	en
enso	su
tomar	parte
toma	parte
tuuieron	lugar
aaquello	a
aaquello	aquel
a	escondidas
cara	arriba
contal	con
contal	tal
detus	de
detus	tu
de	lo	contrario
de	lo	contrario
de	tarde	en	tarde
de	tarde	en	tarde
de	tarde	en	tarde
enqui	en
enqui	que
en	orden	a
en	orden	a
en	vez	de
en	vez	de
muy	de	mañana
muy	de	mañana
si	no	es	por
si	no	es	por
si	no	es	por
a	cargo	de
a	cargo	de
a	diferencia	de
a	diferencia	de
a	partir	de
a	partir	de
a	poco	que
a	poco	que
contraella	contra
contraella	el
dado	a	conocer
dado	a	conocer
de	jure
de	quedo
en	rededor
ssobrello	el
ssobrello	sobre
age	a
age	ge
a	malas	penas
a	malas	penas
a	remojo
a	sobremano
ciento	por	ciento
ciento	por	ciento
daros	cuenta
da	a	conocer
da	a	conocer
desde	luego
de	el	otro	lado
de	el	otro	lado
de	el	otro	lado
de	por	medio
de	por	medio
de	sobresalto
enfrente	de
en	parte	por
en	parte	por
por	regla	general
por	regla	general
ssobrellos	ellos
ssobrellos	sobre
tele	le
tele	te
tenia	lugar
acuya	a
acuya	cuyo
aesos	a
aesos	ese
alrededor	de
aunos	a
aunos	uno
a	el	mejor	tiempo
a	el	mejor	tiempo
a	el	mejor	tiempo
a	mares
contralas	contra
contralas	el
contus	con
contus	tu
dado	cuenta
deaquellos	aquel
deaquellos	de
den	cuenta
desde	niño
de	lengua	en	lengua
de	lengua	en	lengua
de	lengua	en	lengua
de	mala	ley
de	mala	ley
de	ninguna	manera
de	ninguna	manera
de	puerta	en	puerta
de	puerta	en	puerta
de	puerta	en	puerta
de	sobra
dolas	de
dolas	el
ense	en
ense	se
ensos	en
ensos	su
por	igual
sin	duda	alguna
sin	duda	alguna
antevos	ante
antevos	tu
a	duras	penas
a	duras	penas
a	el	calor	de
a	el	calor	de
a	el	calor	de
a	el	modo	de
a	el	modo	de
a	el	modo	de
a	el	paño
a	el	paño
a	escusa
a	reo
boca	arriba
conesa	con
conesa	ese
conesos	con
conesos	ese
conmi	con
conmi	mi
con	la	boca	abierta
con	la	boca	abierta
con	la	boca	abierta
dara	cuenta
de	mala	fe
de	mala	fe
de	medio	pie
de	medio	pie
de	puerta	a	puerta
de	puerta	a	puerta
de	puerta	a	puerta
enles	en
enles	les
enquien	en
enquien	quien
en	limpio
en	puridad
hatal	a
hatal	tal
lo	de	menos
lo	de	menos
ni	mucho	menos
ni	mucho	menos
no	era	cosa	de
no	era	cosa	de
no	era	cosa	de
sin	ninguna	duda
sin	ninguna	duda
tengan	lugar
touiese	lugar
aaquell	a
aaquell	aquel
ab	intestato
aessos	a
aessos	ese
antele	ante
antele	le
antemi	ante
antemi	mi
a	solaz
a	trueque
a	tuertas
conso	con
conso	su
contodo	con
contodo	todo
con	la	espada	desnuda
con	la	espada	desnuda
con	la	espada	desnuda
daran	cuenta
darle	cuenta
darmes	arma
darmes	de
deaquellas	aquel
deaquellas	de
debajo	de
desuyo	de
desuyo	suyo
de	mala	gana
de	mala	gana
de	mal	grado
de	mal	grado
de	marras
de	nunca	acabar
de	nunca	acabar
de	persona	a	persona
de	persona	a	persona
de	persona	a	persona
en	contorno
ffastal	el
ffastal	hasta
ffijos	dalgo
frente	a
loqui	el
loqui	que
meles	les
meles	me
queesto	este
queesto	que
quiera	que	no
quiera	que	no
sobre	manera
tanto	peor
tenga	lugar
touieron	lugar
uno	por	uno
uno	por	uno
anuestras	a
anuestras	nuestro
a	cuenta	de
a	cuenta	de
a	el	gusto	de
a	el	gusto	de
a	el	gusto	de
a	el	olor	de
a	el	olor	de
a	el	olor	de
a	manadas
a	pesar	de	todo
a	pesar	de	todo
a	pesar	de	todo
a	todo	trance
a	todo	trance
contrami	contra
contrami	mi
contraquien	contra
contraquien	quien
contrasu	contra
contrasu	su
dandole	cuenta
dare	a	conocer
dare	a	conocer
daria	cuenta
deaquel	aquel
deaquel	de
desdell	desde
desdell	el
de	pontifical
diere	cuenta
dieron	a	conocer
dieron	a	conocer
enllos	el
enllos	en
enssus	en
enssus	su
entrevos	entre
entrevos	tu
en	defecto	de
en	defecto	de
en	materia	de
en	materia	de
fare	ver
hare	ver
no	sea	que
no	sea	que
quenos	me
quenos	que
sea	lo	que	fuere
sea	lo	que	fuere
sea	lo	que	fuere
supuesto	que
teniendo	lugar
tienes	lugar
tierra	adentro
touo	lugar
tuuiesse	lugar
aatal	a
aatal	tal
antesus	ante
antesus	su
antes	pues
antes	que	nada
antes	que	nada
aquae	a
aquae	que
a	cada	paso
a	cada	paso
a	cercen
a	despecho
a	despecho	de
a	despecho	de
a	el	primer	gallo
a	el	primer	gallo
a	el	primer	gallo
a	gatas
a	legua
a	saltos
a	todas	horas
a	todas	horas
casi	que
conotra	con
conotra	otro
conotros	con
conotros	otro
contoda	con
contoda	todo
contrailla	contra
contrailla	el
contrasus	contra
contrasus	su
convuestra	con
convuestra	vuestro
dareys	cuenta
da	cuenta
deotra	de
deotra	otro
deotro	de
deotro	otro
devuestras	de
devuestras	vuestro
de	cañutillo
de	madrugada
dieron	cuenta
diese	cuenta
diole	cuenta
dotre	de
dotre	otro
entroha	a
entroha	entrar
enuna	en
enuna	uno
enun	en
enun	uno
en	descargo
en	el	plazo	de
en	el	plazo	de
en	el	plazo	de
en	favor	de
en	favor	de
en	junto
en	mala	hora
en	mala	hora
en	prenda
esus	e
esus	su
mal	a	mal
mal	a	mal
por	en	medio
por	en	medio
ssobresta	este
ssobresta	sobre
touiesse	lugar
tuue	lugar
aal	a
aal	el
aaqueillos	a
aaqueillos	aquel
aaqueill	a
aaqueill	aquel
acuyas	a
acuyas	cuyo
acuyo	a
acuyo	cuyo
ad	hoc
antelas	ante
antelas	el
antelo	ante
antelo	el
anteme	ante
anteme	me
antese	ante
antese	se
antesu	ante
antesu	su
athi	a
athi	ti
avuestras	a
avuestras	vuestro
a	el	paso	que
a	el	paso	que
a	el	paso	que
a	el	pie	de	la	letra
a	el	pie	de	la	letra
a	el	pie	de	la	letra
a	el	pie	de	la	letra
a	el	pie	de	la	letra
a	espaldas	de
a	espaldas	de
a	jornal
a	la	mitad	de
a	la	mitad	de
a	la	mitad	de
a	lo	sumo
a	lo	sumo
a	manos	llenas
a	manos	llenas
a	nombre	de
a	nombre	de
a	peso	de	oro
a	peso	de	oro
a	peso	de	oro
a	plazos
a	posteriori
a	toda	ley
a	toda	ley
a	torno
bien	entendido	que
bien	entendido	que
connel	con
connel	el
connos	con
connos	me
conti	con
conti	ti
contodos	con
contodos	todo
contraese	contra
contraese	ese
contraesta	contra
contraesta	este
contralo	contra
contralo	el
contranos	contra
contranos	me
con	toda	la	boca
con	toda	la	boca
con	toda	la	boca
dalle	cuenta
dan	cuenta
daredes	cuenta
dare	cuenta
darsele	a	conocer
darsele	a	conocer
darte	a	conocer
darte	a	conocer
daua	a	conocer
daua	a	conocer
deaquestas	aqueste
deaquestas	de
deel	de
deel	el
deesta	de
deesta	este
desj	de
desj	si
dessto	de
dessto	este
detales	de
detales	tal
deuna	de
deuna	uno
devuestros	de
devuestros	vuestro
deys	cuenta
de	oreja	a	oreja
de	oreja	a	oreja
de	oreja	a	oreja
de	prisa
de	trecho	en	trecho
de	trecho	en	trecho
de	trecho	en	trecho
diessen	a	conocer
diessen	a	conocer
diessen	cuenta
diesse	a	conocer
diesse	a	conocer
diesse	cuenta
doy	a	conocer
doy	a	conocer
enllas	el
enllas	en
ennel	el
ennel	en
en	cambio	de
en	cambio	de
en	primicia
en	ristre
en	salvo
en	su	defecto
en	su	defecto
en	torno	a
en	torno	a
esu	e
esu	su
fazer	ver
hazer	uso
in	partibus
no	fue	cosa	de
no	fue	cosa	de
no	fue	cosa	de
no	seria	cosa	de
no	seria	cosa	de
no	seria	cosa	de
porell	el
porell	por
por	lo	presente
por	lo	presente
queesta	este
queesta	que
sili	le
sili	si
si	bien	se	mira
si	bien	se	mira
si	bien	se	mira
tal	cual
tal	vez
teles	les
teles	te
tengo	lugar
tenian	lugar
tenido	lugar
tenja	lugar
tjene	lugar
tomare	parte
tome	parte
tomo	parte
toue	lugar
		
		
&ntonçe	&
&ntonçe	entonces
aaqueillas	a
aaqueillas	aquel
aaquestas	a
aaquestas	aqueste
aaquesta	a
aaquesta	aqueste
ab	initio
acuia	a
acuia	cuyo
acuyos	a
acuyos	cuyo
aesas	a
aesas	ese
anteella	ante
anteella	el
anteel	ante
anteel	el
anteles	ante
anteles	les
antenos	ante
antenos	me
antenuestro	ante
antenuestro	nuestro
antevuestra	ante
antevuestra	vuestro
asuyo	a
asuyo	suyo
atalles	a
atalles	tal
athales	a
athales	tal
athy	a
athy	ti
atti	a
atti	ti
a	barrisco
a	buena	cuenta
a	buena	cuenta
a	bulto
a	cubos
a	efecto	de
a	efecto	de
a	el	abrigo	de
a	el	abrigo	de
a	el	abrigo	de
a	el	cargo	de
a	el	cargo	de
a	el	cargo	de
a	el	estricote
a	el	estricote
a	el	pie	de	la	obra
a	el	pie	de	la	obra
a	el	pie	de	la	obra
a	el	pie	de	la	obra
a	el	pie	de	la	obra
a	el	sesgo
a	el	sesgo
a	el	temple
a	el	temple
a	escondidillas
a	escusas
a	expensas
a	fortiori
a	las	veces
a	las	veces
a	la	cola
a	la	cola
a	la	morisma
a	la	morisma
a	lo	que	parece
a	lo	que	parece
a	lo	que	parece
a	machamartillo
a	medida	que
a	medida	que
a	ojos	vistas
a	ojos	vistas
a	pie	llano
a	pie	llano
a	plomo
a	prisa
a	prueba	de
a	prueba	de
a	puestas
a	puño	cerrado
a	puño	cerrado
a	remo
a	repelones
a	tal	punto	que
a	tal	punto	que
a	tal	punto	que
a	tiro	de	ballesta
a	tiro	de	ballesta
a	tiro	de	ballesta
a	todo	riesgo
a	todo	riesgo
a	vez	que
a	vez	que
bien	que	mal
bien	que	mal
conese	con
conese	ese
connuestros	con
connuestros	nuestro
conotras	con
conotras	otro
conqui	con
conqui	que
conssu	con
conssu	su
contales	con
contales	tal
contodas	con
contodas	todo
contraello	contra
contraello	el
contraeste	contra
contraeste	este
contrales	contra
contrales	les
contrale	contra
contrale	le
contraque	contra
contraque	que
contrati	contra
contrati	ti
con	los	ojos	cerrados
con	los	ojos	cerrados
con	los	ojos	cerrados
con	solo	que
con	solo	que
con	tal	de
con	tal	de
con	viento	fresco
con	viento	fresco
dandosele	a	conocer
dandosele	a	conocer
dando	a	conocer
dando	a	conocer
dan	a	conocer
dan	a	conocer
daremos	cuenta
dares	cuenta
daria	a	conocer
daria	a	conocer
darla	cuenta
darme	cuenta
daros	a	conocer
daros	a	conocer
darse	a	conocer
darse	a	conocer
dauales	cuenta
days	a	conocer
days	a	conocer
deaquello	aquel
deaquello	de
debido	a
dedes	cuenta
deella	de
deella	el
deil	de
deil	el
delis	de
delis	les
den	a	conocer
den	a	conocer
den	paso
desste	de
desste	este
desuya	de
desuya	suyo
de	acarreo
de	acuerdo	con
de	acuerdo	con
de	arte	menor
de	arte	menor
de	cuajo
de	dos	filos
de	dos	filos
de	lado	a	lado
de	lado	a	lado
de	lado	a	lado
de	lance	en	lance
de	lance	en	lance
de	lance	en	lance
de	la	noche	a	la	mañana
de	la	noche	a	la	mañana
de	la	noche	a	la	mañana
de	la	noche	a	la	mañana
de	la	noche	a	la	mañana
de	mal	a	mal
de	mal	a	mal
de	mal	a	mal
de	matute
de	medio	a	medio
de	medio	a	medio
de	medio	a	medio
de	momio
de	oro	y	azul
de	oro	y	azul
de	oro	y	azul
de	palabra	en	palabra
de	palabra	en	palabra
de	palabra	en	palabra
de	popa	a	proa
de	popa	a	proa
de	popa	a	proa
de	repuesto
de	soslayo
de	so	capa
de	so	capa
dieran	a	conocer
dieran	a	conocer
dierdes	cuenta
diese	a	conocer
diese	a	conocer
diessemos	a	conocer
diessemos	a	conocer
diessen	paso
dile	cuenta
diose	a	conocer
diose	a	conocer
di	a	conocer
di	a	conocer
djeredeσ	cuenta
enessta	en
enessta	este
enme	en
enme	me
entreellos	ellos
entreellos	entre
entreel	el
entreel	entre
entreti	entre
entreti	ti
en	buena	lid
en	buena	lid
en	calidad	de
en	calidad	de
en	espera	de
en	espera	de
en	fiado
en	gracia	a
en	gracia	a
en	recuerdo	de
en	recuerdo	de
en	seguida
fagas	ver
faga	cargo
fazeme	ver
fazerme	ver
faze	ver
faƽer	ver
ffijo	dalgo
fizo	ver
formar	parte
grosso	modo
hagays	ver
hazed	ver
hazemos	cargo
hazer	cargo
hazia	ver
hecho	ver
hiziera	ver
hizo	ver
inter	nos
in	promptu
lejos	de
loco	citato
lo	uno	por	lo	otro
lo	uno	por	lo	otro
lo	uno	por	lo	otro
lo	uno	por	lo	otro
nonli	le
nonli	no
por	barba
por	si	acaso
por	si	acaso
por	testa
si	no	es	que
si	no	es	que
si	no	es	que
ssobrestas	este
ssobrestas	sobre
tan	pronto	como
tan	pronto	como
tendran	lugar
tendra	lugar
tendria	lugar
tenemos	lugar
teneys	lugar
tengo	en	cuenta
tengo	en	cuenta
teniades	lugar
teniente	lugar
tenien	lugar
tenie	lugar
tenjente	lugar
ternan	lugar
terne	en	cuenta
terne	en	cuenta
terne	lugar
ternian	lugar
ternia	lugar
ternja	lugar
tiene	en	cuenta
tiene	en	cuenta
tienme	lugar
tjenen	lugar
tomando	parte
toman	parte
tomara	parte
tomas	parte
tomen	parte
touiessen	lugar
toujeses	lugar
tuuieran	lugar
tuuiera	lugar
tuuiessen	lugar
