"palabra"	"valor"
"anotador"	1
"anovulación"	-1
"anoxemia"	-1
"anoxia"	-1
"anóxico"	-1
"anquilosis"	-1
"ansia"	1
"ansiedad"	-1
"ansiosamente"	-1
"ansioso"	-1
"antagónico"	-1
"antagonismo"	-1
"antagonista"	-1
"antagonizar"	-1
"ante-mortem"	-1
"antebrazo"	-1
"antecocina"	-1
"antender"	1
"anteojos"	-1
"antepasado"	1
"antepasados"	1
"antheraea"	1
"anthonomus"	-1
"antiácido"	1
"antiadherente"	1
"antiaéreo"	-1
"antiápex"	1
"antiautoritario"	1
"antibióticos"	1
"anticipación"	1
"anticipado"	1
"anticipador"	-1
"anticiparse"	1
"anticlimático"	1
"anticristo"	-1
"anticuado"	-1
"anticuario"	1
"antideportivo"	-1
"antídoto"	1
"antiestético"	-1
"antifonal"	1
"antifonario"	1
"antifúngico"	1
"antigüedad"	1
"antiguo"	-1
"antihelmíntico"	1
"antihigiene"	-1
"antihigiénico"	-1
"antiintelectual"	-1
"antílope"	1
"antimacasar"	-1
"antimicrobiano"	1
"antimonopolio"	1
"antinatural"	-1
"antipatía"	-1
"antipático"	-1
"antipatriótico"	-1
"antipirético"	-1
"antípoda"	1
"antiprotón"	-1
"antisemitismo"	-1
"antiséptico"	1
"antisocial"	-1
"antisubmarino"	-1
"antitanque"	1
"antítesis"	-1
"antitético"	-1
"antitóxico"	1
"antracita"	-1
"antracítico"	-1
"antracosis"	-1
"ántrax"	-1
"antro"	-1
"antropofagia"	1
"antropomórfico"	1
"antroposofía"	1
"anual"	1
"anudado"	-1
"anuencia"	1
"anulación"	-1
"anulado"	-1
"anular"	-1
"anuncio"	1
"anuresis"	-1
"anurético"	-1
"anuria"	-1
"anverso"	1
"añadible"	1
"añorar"	-1
"aojar"	-1
"aojo"	-1
"apache"	-1
"apacible"	1
"apaciguable"	1
"apaciguador"	1
"apaciguar"	1
"apaciguarse"	1
"apadrinamiento"	1
"apagado"	-1
"apalancamiento"	1
"apalear"	-1
"aparatosidad"	-1
"apareado"	1
"aparejo"	-1
"aparentar"	-1
"aparente"	1
"aparentemente"	-1
"aparición"	1
"apariencia"	-1
"apartadero"	-1
"aparte"	-1
"apasionado"	1
"apasionamiento"	1
"apasionante"	1
"apatía"	-1
"apático"	-1
"apátrida"	1
"apechar"	-1
"apegado"	1
"apego"	1
"apelable"	1
"apelación"	1
"apelante"	-1
"apenado"	-1
"apenar"	-1
"apenarse"	-1
"apenas"	-1
"apendicitis"	-1
"aperitivos"	1
"apesadumbrado"	-1
"apestar"	-1
"apestoso"	-1
"apetecido"	-1
"apetencia"	-1
"apetitivo"	-1
"apetitoso"	1
"apical"	1
"aplacable"	1
"aplacamiento"	1
"aplacar"	1
"aplanético"	1
"aplastado"	-1
"aplastante"	-1
"aplastar"	-1
"aplastarse"	-1
"aplaudir"	1
"aplauso"	1
"aplazamiento"	-1
"aplazar"	-1
"aplicabilidad"	1
"aplicable"	1
"aplicación"	-1
"aplicado"	1
"aplicarse"	1
"aplomar"	1
"aplomo"	1
"apocado"	-1
"apocalipsis"	-1
"apocalíptico"	-1
"apocamiento"	-1
"apocar"	-1
"apocárpico"	1
"apocarse"	-1
"apócope"	1
"apócrifo"	1
"apocromático"	1
"apodar"	1
"apoderado"	1
"apoderamiento"	1
"apodíctico"	1
"apogámico"	-1
"apogeo"	1
"apolar"	-1
"apologético"	1
"apología"	1
"apologista"	-1
"apoplejía"	-1
"apoptosis"	-1
"aporreo"	-1
"apostatar"	-1
"apóstol"	1
"apostólico"	1
"apoyabrazos"	1
"apoyado"	1
"apoyo"	1
"apráctico"	-1
"apráxico"	-1
"apreciable"	1
"apreciación"	1
"apreciado"	1
"apreciar"	1
"aprecio"	1
"aprehender"	-1
"aprehensión"	-1
"aprender"	1
"aprendido"	1
"aprendiz"	1
"aprendizaje"	1
"aprensión"	-1
"aprensivo"	-1
"apresador"	-1
"apresamiento"	-1
"aprestar"	1
"aprestarse"	1
"apresurado"	-1
"apretar"	-1
"apretura"	-1
"aprieto"	-1
"aprisionamiento"	-1
"aprisionar"	-1
"aprobación"	1
"aprobado"	1
"aprobar"	1
"aprobativo"	1
"aprobatorio"	1
"apropiación"	-1
"apropiado"	1
"aprovechable"	1
"aprovechar"	-1
"aprovisionador"	1
"aproximado"	1
"aptitud"	1
"apto"	1
"apuesto"	1
"apuñear"	-1
"apuñetear"	-1
"apurar"	-1
"apurarse"	-1
"apuro"	-1
"aquafobia"	-1
"aquiescencia"	-1
"arable"	1
"arácnido"	1
"aracnofobia"	-1
"arador"	-1
"araña"	-1
"arar"	-1
"arbitrable"	1
"arbitraje"	1
"arbitrario"	1
"arbitrio"	1
"árbitro"	1
"árbol"	1
"arbusto"	-1
"arcada"	-1
"arcadiano"	1
"arcaico"	-1
"arcaísta"	1
"arcano"	1
"archimandita"	1
"archimandrita"	1
"archivado"	-1
"arcoiris"	-1
"ardentía"	-1
"ardid"	-1
"ardiente"	1
"ardor"	-1
"ardores"	-1
"arduidad"	-1
"arduo"	-1
"arena"	-1
"arenoso"	-1
"argénteo"	1
"argentífero"	1
"arginina"	-1
"argolla"	-1
"argot"	1
"argucia"	-1
"argumentación"	-1
"argumentar"	-1
"argumento"	-1
"argumentos"	-1
"aridad"	1
"árido"	-1
"ariete"	-1
"arisco"	-1
"aristocracia"	1
"aristocrático"	-1
"aristoloquiales"	-1
"aristotelismo"	1
"aritmética"	1
"aritméticamente"	1
"arlequinada"	1
"armado"	-1
"armadura"	-1
"armamento"	-1
"armería"	1
"armerol"	-1
"arminianismo"	1
"armonía"	1
"armoniosamente"	1
"armonioso"	1
"armonizar"	1
"aroma"	1
"arponear"	1
"arqueado"	1
"arqueología"	1
"arquitectura"	1
"arracimado"	1
"arraigado"	1
"arrapiezo"	-1
"arrasamiento"	-1
"arrastrar"	-1
"arrastrarse"	-1
"arrebatador"	-1
"arrebatar"	-1
"arreflexia"	-1
"arrellanarse"	-1
"arremeter"	-1
"arrepentido"	-1
"arrepentimiento"	-1
"arrepentirse"	-1
"arrestar"	-1
"arriana"	-1
"arriano"	-1
"arriar"	-1
"arriba"	1
"arriesgado"	-1
"arrizar"	-1
"arrobamiento"	1
"arrobar"	-1
"arrogancia"	-1
"arrogante"	-1
"arrojado"	1
"arrojar"	-1
"arrollador"	1
"arruga"	-1
"arrugado"	-1
"arruinada"	-1
"arruinado"	-1
"arruinamiento"	-1
"arruinar"	-1
"arruinarse"	-1
"arrullo"	1
"arsénico"	-1
"arsina"	-1
"arte"	1
"artefacto"	1
"artería"	-1
"artes"	1
"artesanal"	1
"artesanía"	1
"artesano"	1
"articulación"	1
"articular"	1
"artificial"	-1
"artificio"	-1
"artificiosa"	-1
"artillería"	-1
"artista"	1
"artístico"	1
"artralgia"	-1
"artrálgico"	-1
"artritis"	-1
"artroscopia"	-1
"as"	1
"asador"	-1
"asafétida"	-1
"asaltador"	-1
"asaltante"	-1
"asalto"	-1
"asar"	-1
"asarum"	-1
"asbestosis"	-1
"ascendente"	1
"ascendible"	1
"ascendiente"	1
"ascensión"	1
"ascenso"	1
"ascidias"	-1
"ascítico"	-1
"asco"	-1
"aseado"	1
"asediar"	-1
"asedio"	-1
"asegurado"	1
"asegurar"	1
"asentimiento"	1
"asentista"	1
"aseo"	1
"aséptico"	1
"asequible"	1
"aserrar"	1
"asertividad"	-1
"asesinar"	-1
"asesinato"	-1
"asesino"	-1
"asesor"	1
"asesora"	1
"asesoramiento"	1
"asesorar"	1
"asexualidad"	-1
"asfixia"	-1
"asibilación"	1
"asíduo"	1
"asignado"	1
"asignatura"	1
"asilo"	-1
"asimetría"	-1
"asimilable"	1
"asimilador"	1
"asindético"	-1
"asintomático"	1
"asirse"	-1
"asistencia"	1
"asistente"	1
"asistido"	1
"asistolia"	-1
"asma"	-1
"asno"	-1
"asociable"	1
"asociación"	1
"asociado"	1
"asolador"	-1
"asolar"	-1
"asombrado"	1
"asombrar"	1
"asombro"	1
"asombrosamente"	1
"asombroso"	-1
"asonada"	-1
"asonante"	1
"asordar"	1
"aspereza"	-1
"aspergilosis"	-1
"áspero"	-1
"áspid"	-1
"aspiración"	1
"aspirante"	1
"aspirar"	1
"asqueadamente"	-1
"asqueado"	-1
"asquear"	-1
"asquerosidad"	-1
"asqueroso"	-1
"astado"	1
"astenia"	-1
"asténico"	-1
"asterión"	1
"astilar"	-1
"astilla"	-1
"astracanada"	-1
"astrafobia"	-1
"astringente"	-1
"astrólogo"	1
"astronauta"	1
"astronave"	1
"astrónomo"	1
"astucia"	-1
"astuta"	-1
"astuto"	-1
"asurarse"	-1
"asustadizo"	1
"asustado"	-1
"asustar"	-1
"atacante"	-1
"atacar"	-1
"atado"	1
"atadura"	-1
"atañer"	-1
"ataque"	-1
"ataques"	-1
"ataráxico"	1
"ataúd"	-1
"ataviado"	1
"ataviarse"	1
"atávico"	1
"ataxia"	-1
"ateísmo"	-1
"atelectasia"	-1
"atemperación"	-1
"atemperar"	1
"atención"	1
"atencional"	-1
"atendido"	1
"atento"	1
"atenuación"	-1
"atenuada"	-1
"atenuante"	1
"aterciopelado"	1
"aterosclerosis"	-1
"aterrador"	-1
"aterrizado"	1
"aterrorizado"	-1
"aterrorizar"	-1
"atesarse"	-1
"atestación"	1
"atestado"	1
"atestiguar"	1
"atezado"	-1
"atildar"	1
"atípico"	-1
"atirantarse"	-1
"atisbadero"	-1
"atleta"	1
"atlético"	1
"atolladero"	-1
"átomo"	1
"atonal"	1
"atonía"	-1
"atónito"	1
"atorar"	1
"atormentado"	-1
"atormentador"	-1
"atormentar"	-1
"atormentarse"	-1
"atorvastatina"	1
"atosigador"	-1
"atracado"	-1
"atracción"	1
"atraco"	-1
"atractividad"	1
"atractivo"	1
"atractor"	1
"atraíble"	1
"atrapado"	-1
"atrapamoscas"	-1
"atrapar"	-1
"atrasado"	-1
"atrasarse"	-1
"atrasos"	-1
"atrayente"	1
"atreverse"	-1
"atrevido"	-1
"atrevimiento"	-1
"atribuible"	1
"atribuirse"	1
"atribulación"	-1
"atrocidad"	-1
"atrofia"	-1
"atrofiarse"	-1
"atronador"	-1
"atropellar"	-1
"atropello"	-1
"atroz"	-1
"atuendo"	1
"atufamiento"	-1
"atufo"	-1
"aturdida"	-1
"aturdido"	-1
"aturdimento"	-1
"aturdimiento"	-1
"aturrullar"	-1
"aturullar"	-1
"audacia"	-1
"audaz"	-1
"audibilidad"	1
"audible"	1
"audición"	-1
"audiencia"	1
"audífono"	-1
"audiovisual"	1
"auditor"	-1
"augusto"	1
"aullar"	-1
"aullido"	-1
"aumentado"	1
"aumentar"	-1
"aura"	1
"ausencia"	-1
"ausente"	-1
"ausentismo"	-1
"auspicio"	1
"austeridad"	-1
"austero"	-1
"autenticación"	1
"autenticar"	1
"autenticidad"	1
"auténtico"	1
"autentificar"	1
"autería"	-1
"autillo"	1
"autismo"	-1
"auto-gratificación"	1
"autoadulación"	1
"autobombo"	1
"autocastigo"	-1
"autocine"	1
"autocompasión"	-1
"autocomplacencia"	1
"autoconservación"	-1
"autócrata"	-1
"autocrático"	-1
"autodegradación"	-1
"autodestructivo"	-1
"autodidacta"	1
"autodisciplinado"	-1
"autoengaño"	1
"autofecundado"	1
"autoflagelación"	-1
"autogénesis"	1
"autoimpuesto"	1
"autoincriminación"	-1
"autoinculpación"	-1
"automático"	1
"automatizado"	1
"automortificación"	-1
