temporada	episodio	titulo	fecha	audiencia	share	resumen
2	11	Tiempo de hidalgos	29/02/2016	2382000	12.4	El Ministerio del Tiempo recibe un aviso de finales de 1604 desde el taller de Juan de la Cuesta (c/ Atocha, 87). La imprenta tiene apalabrada con Cervantes la primera edición impresa de El ingenioso hidalgo don Quijote de la Mancha, pero les consta que su autor no ha presentado el original al Consejo de Castilla para pedir la licencia de impresión.Eso podría significar que el Don Quijote no vea la luz en 1605 o peor: nunca. Algo que no parece preocupar mucho al mismo Cervantes, más interesado por triunfar en el mundo del teatro. Para resolver el caso, Pacino formará por primera vez parte de la patrulla... Encajar con Amelia y con Alonso no será nada fácil.
2	12	El monasterio del tiempo	07/03/2016	2592000	13.2	En la Navidad del año 1808, Napoleón tuvo que pasar la noche en el convento de Santa Clara de Tordesillas. En el mismo convento las tropas napoleónicas tenían apresados a tres hombres: el cura de Tordesillas y dos españoles acusados de espiar los movimientos franceses en la zona. Según la historia, la intervención de la abadesa convenció al Emperador de perdonar la vida a los tres hombres... Pero llegan noticias al Ministerio de que la abadesa ha muerto antes de tiempo. La muerte de estas tres personas no sería tan determinante, si no fuera porque uno de ellos es antepasado de Adolfo Suárez. Si la historia cambia y Napoleón les ejecuta, Adolfo Suárez no nacerá. El problema es buscar a alguien que pueda hacer de abadesa... Y la elegida es Angustias, la secretaria.
2	13	Un virus de otro tiempo	14/03/2016	2473000	13.3	Durante una misión en el año 1918 para asistir al nacimiento de Carmen Amaya, Irene cae enferma por culpa de la gripe española. El doctor Vargas, que la acompañaba en la misión, decide volver al Ministerio sin ella siguiendo el procedimiento habitual. Sin embargo, Susana Torres, nueva subsecretaria, ordena que la traigan de vuelta. Con ello, todo el Ministerio quedará a merced de una enfermedad que en su día generó millones de muertos y que no tiene vacuna.El Ministerio se ve obligado a cerrar sus puertas para no extender la enfermedad a través de los tiempos. Dentro, la gripe comienza a cobrarse sus primeras víctimas. Y Susana Torres comprobará que no es tan fácil como creía gobernar el Ministerio.
2	14	Tiempo de magia	21/03/2016	2196000	12.3	Joaquín Argamasilla es un joven que dice tener un don: ver a través de los objetos incluso con los ojos vendados. El hombre con rayos X en los ojos, le llamaban. Entre sus seguidores, contaba con personalidades de la talla de Valle Inclán o Ramón y Cajal. Cuando su fama traspasa fronteras, es llamado a Nueva York por el famoso mago y escapista Houdini para comprobar si sus poderes son verdaderos.El problema es que Argamasilla es agente del Ministerio de esa época y se sospecha que puede traicionarles desvelando su existencia a los americanos. La patrulla le acompañará a Nueva York con el fin de que, en el caso de que las sospechas sean ciertas, eso no suceda.
2	15	Tiempo de valientes (1ª parte)	28/03/2016	2330000	12.1	En el Ministerio, Salvador ha vuelto a tomar el mando. Nada más llegar, el Ministerio se ve sometido a una auditoría y todos los agentes –incluida la Patrulla– deberán realizar tareas administrativas y de supervisión de las puertas del tiempo. Mientras, Julián sigue en Cuba, en plena guerra, siendo testigo del dolor de los soldados españoles. Tras jurar a un moribundo que va a llevar su última carta a su amante tagala, viaja hasta Filipinas, yendo a parar a Baler. Julián no sabe que ha entrado a formar parte de los llamados últimos de Filipinas.
2	16	Tiempo de valientes (2ª parte)	04/04/2016	2470000	12.8	Julián sigue atrapado en el sitio de Baler. Localizado por azar por el Ministerio, Salvador envía a Alonso de Enterríos a liberarle en una misión secreta de la que ni siquiera Amelia y Pacino saben nada. Alonso y Julián serán testigos del heroísmo de unos hombres defendiendo una plaza sin armamento, sin comida y consumidos por la enfermedad. Luchando por lo que ellos creían territorio español sin saber que había dejado de serlo: España ya había renunciado a sus derechos sobre Cuba y Filipinas. Ante la prolongada ausencia de Alonso, Amelia y Pacino sospechan que detrás de todo hay gato encerrado.
2	17	Óleo sobre tiempo	25/04/2016	1911000	9.9	Velázquez recibe una alarma en su móvil. Uno de sus cuadros acaba de ser subastado en 2016 a un precio estratosférico. Esto sería algo normal si no fuera porque es uno de los cuadros que fue destruido por el fuego en el incendio del Alcázar de Madrid en 1734. Ante la falta de patrullas por problemas con el convenio laboral, el propio Velázquez e Irene se desplazan hasta allí para investigar lo que está ocurriendo. Lo que se encuentran es un robo de arte a gran escala de Darrow en colaboración con Lola Mendieta. Están sustituyendo los originales por copias para hacer negocio con ellos.
2	18	Separadas por el tiempo	02/05/2016	1752000	9.2	En su día libre, Irene va a una exposición sobre el papel de la mujer en la lucha por los derechos sociales en España. Allí se encuentra a un grupo escolar con su profesora, que se desmaya al ver a una mujer igual que ella en una foto del año 1912 sobre Las Sinsombrero, un colectivo de mujeres vanguardistas que han caído en el olvido. Mientras empieza a investigar el caso, surge una alarma en el Ministerio: la Vampira del Raval no ha sido detenida cuando la Historia lo dice y anda libre. La situación se agravará cuando se dé cuenta de que no sólo está libre, sino que también sabe viajar por el tiempo.
2	19	Tiempo de lo oculto	09/05/2016	2027000	10.2	Lombardi es un visionario que ha dirigido un programa sobre misterios sobrenaturales y que en su día descubrió el Ministerio del Tiempo entrando casualmente por una puerta que le condujo a la Guerra Civil. Esto supuso que el Ministerio usara todos sus resortes para que le retiraran el programa.Pero ahora existen las redes sociales y no necesita de una cadena de televisión para exponer sus teorías. Lombardi vuelve para vengarse y genera una gran alarma social. Para calmarlo le invitan a visitar el Ministerio, transformándolo en un lugar normal y gris... Pero Lombardi logra escaparse por una de las puertas hasta 1485 en La Rábida. Allí acaba de llegar Cristóbal Colón para vender a los Reyes Católicos su proyecto de una nueva ruta hacia las Indias. El Ministerio debe evitar que ponga la Historia patas arriba.
2	20	Hasta que el tiempo nos separe	16/05/2016	2121000	11.1	El Ministerio va de boda. Ortigosa y Natalia, otra funcionaria, se casan. Dicen que una boda trae nuevas bodas, teoría a la que se apunta Irene. Pero para Salvador y Julián asistir al enlace supone revivir las suyas y tiempos mejores que ya no volverán. Pronto tendrán que dejar de pensar en ello. Porque la boda se celebra en un castillo convertido en salón de bodas. Un castillo con leyenda: la de la joven Constanza que no pudo casarse con su amado (un humilde pastor) por culpa de Fadrique, señor del castillo en el año 1212. El problema surge cuando se descubre que la leyenda es real. Y que en el castillo hay una puerta del tiempo no catalogada por el Ministerio.
2	21	Cambio de tiempo	23/05/2016	2013000	10.6	Tras la derrota de la Armada Invencible en costas inglesas, Felipe II, hundido por el desastre, decide romper las reglas del Ministerio (impuestas por Isabel la Católica) y viajar al pasado para corregir los errores y que la Armada gane la batalla. Tras la negativa del Ministerio del 1588 a colaborar en ello, Felipe echa mano de la Inquisición, que entra en el Ministerio y descubre que no solo se puede viajar al pasado, sino también hacia el futuro. Y se planta en el 2016 para no sólo ser el rey del mundo sino también rey del tiempo. Cuando la patrulla vuelve de una misión en la que han salvado a uno de los padres de la Constitución de 1812, se encuentra con que la Historia ha cambiado. Y no precisamente para mejor.
3	22	Con el tiempo en los talones	01/06/2017	2040000	12.6	Alfred Hitchcock, el mago del suspense, se verá envuelto en una intriga mucho más grande que la de todas sus películas juntas durante el Festival de San Sebastián de 1958. Pacino, que todavía trabaja para el Ministerio de 1982, pedirá ayuda en secreto a Amelia y Alonso para evitar que el director inglés sea secuestrado durante el estreno mundial de su obra maestra Vértigo. Algo que a priori no atañe a la historia de España, acabaría siendo un desastre económico y social ante la próxima llegada a España de Eisenhower, presidente de los EEUU. Mientras, en el Ministerio, unas obras del sistema de refrigeración hacen insoportable estar allí. Y especialmente insoportable a Salvador Martí, que ve peligros por todas partes.
3	23	Tiempo de espías	08/06/2017	1730000	10.5	Con apenas 23 años, una Lola que aún no ha ingresado en el Ministerio es detenida por los nazis en Luchon. ¿El motivo? Ser espía de las fuerzas aliadas en la Segunda Guerra Mundial. En concreto, estaba ayudando a atravesar la frontera francesa a un oficial inglés (William Martin), clave en una operación que iba a tener lugar en Punta Umbría (Huelva). Amelia, Alonso y Pacino, acompañados de Ernesto, viajan al año 1943 con el objetivo de salvar la vida de una futura agente que antes de traicionar al Ministerio triunfó en delicadas misiones. Pero, sobre todo, para que la operación Mincemeat llegue a buen puerto. Si no lo consiguen, Hitler ganaría la guerra y la Historia cambiaría gravemente. Y no sólo para España.
3	24	Tiempo de hechizos	15/06/2017	1441000	9.1	Verano de 1864. Gustavo Adolfo Bécquer (Tamar Novas) se encuentra en su retiro en el Monasterio de Veruela, a los pies del Moncayo. Su ánimo y su salud han empeorado, puesto que sufre tuberculosis desde hace siete años. El joven escribe sus nueve 'Cartas desde mi celda' que manda a Madrid para que las publique el periódico El Contemporáneo. Un agente en la zona ha interceptado una décima carta que originalmente Bécquer jamás escribió y ha evitado su publicación. En ella, Bécquer describe a una joven llamada Mencía (Miryam Gallego), dibujada por su hermano Valeriano. Curiosamente, la misma mujer aparece en grabados y dibujos de distintas épocas, en algunos de ellos representando ser una bruja. ¿Una viajera en el tiempo? Pacino, Amelia y Alonso viajan hasta 1864 al pueblo de Trasmoz para averiguar la verdad.
3	25	Tiempo de ilustrados	22/06/2017	1557000	10.2	Cuando unos turistas japoneses están contemplando, en la actualidad, 'La maja desnuda' en el Museo del Prado, el lienzo empieza a rajarse como si lo estuvieran acuchillando hasta quedar destrozado. En realidad, alguien lo está destrozando en el propio estudio de Goya en 1799, lo que hace que suenen todas las alarmas en el Ministerio. La patrulla viaja hasta allí para averiguar qué ha pasado y, sobre todo, para que Goya vuelva a pintar el lienzo. Por si la misión falla, Salvador ordena a Velázquez que haga una copia del cuadro, lo cual no sienta especialmente bien al autor de Las Meninas. Él hubiera preferido viajar con la patrulla y conocer a Goya, junto a Picasso y él mismo –según su opinión– la Santísima Trinidad de la pintura española.
3	26	Tiempo de esplendor	29/06/2017	1478000	9.8	El Siglo de Oro y Valladolid, capital del reino, junio de 1605. Más de un año después de La Paz de Londres, (acordada por Jacobo I de Inglaterra y Felipe III de España), ha llegado el momento de su rúbrica. Mientras el monarca inglés firmó el tratado inmediatamente, el español lo ha estado retrasando durante más tiempo de lo previsto. Durante ese período, los miembros de la corte de Felipe III, (entre ellos su valido, el Duque de Lerma), no tienen claro que deba certificarse ese acuerdo con el enemigo. Alonso, Pacino y Amelia aparecen en Valladolid, que en ese momento es la capital del Reino y una juerga continua. Por un lado, tendrán que ayudar a que se firme el acuerdo. Por otro (para disfrute de Amelia), convivirán con artistas de la talla de Lope de Vega, Cervantes y el mismísimo Shakespeare, que viaja de incógnito en la comitiva inglesa.
3	27	Tiempo de esclavos	06/07/2017	1248000	8.4	Comillas (Cantabria), agosto de 1881. El rey Alfonso XII sufre un atentado por parte de un criado del Marqués de Comillas, su anfitrión. El monarca queda en estado crítico. La patrulla debe intervenir en tiempo record, viajar al pasado y evitar que el criado llegue a estar ese día en el Palacio de Comillas.Si su misión es que la Historia de España no cambie, en esta ocasión la necesidad y la urgencia son máximas. Si Alfonso XII muere, toda su descendencia no nacerá.
3	28	Tiempo de censura	18/09/2017	1555000	10.5	La película 'Viridiana', pese a que la Historia dice lo contrario, no ha pasado la censura. Por lo tanto, no podrá competir en el Festival de Cannes y ganarlo, algo que fue esencial para la Historia de la cultura española. Pacino, Alonso e Irene viajan a 1961 para ayudar a Buñuel y a los productores a burlar la censura de las autoridades y enviar una copia de la película a Francia. Para ello, se harán pasar por productores americanos que quieren rodar una película en España. Para Irene Larra, viajar a 1961 (apenas un año después de su huida e ingreso en el Ministerio), supone encontrarse con todo su pasado de golpe. Para Pacino, volver a su infancia. Y para Alonso, acometer una misión que va contra sus principios religiosos.Mientras, la joven Lola Mendieta empezará a saber lo duro que va a ser para ella ser dueña de su propio destino.
3	29	Tiempo de conquista	25/09/2017	1579000	10.5	Apresado por los mayas, Jerónimo de Aguilar fue rescatado por Hernán Cortés. Su conocimiento del idioma nativo fue clave para la conquista de México. Sin embargo, llegan noticias al Ministerio de su desaparición. Pacino y Alonso viajan al pasado, en plena conquista de América, para encontrarle. El principal sospechoso es su compañero de prisión, el onubense Gonzalo Guerrero. ¿Las razones? Su conversión a la cultura maya hasta el punto de, según cuenta la Historia, convertirse en cacique. Pronto se darán cuenta de que las cosas no son tan simples como parecían. Mientras tanto, en el Ministerio se recibe una amenaza de los Hijos de Padilla: o sueltan a Pere Folch, líder detenido en Comillas tras atentar contra Alfonso XII, o atentarán contra familiares de agentes del Ministerio.
3	30	El cisma del tiempo	02/10/2017	1408000	8.7	El Ángel Exterminador ha raptado a Abraham Levi, rabino creador del Libro de las Puertas y del Ministerio del Tiempo. ¿Su objetivo? Que el rabino diseñe un nuevo Libro de las Puertas para ellos. Huyendo de sus enemigos, Levi viaja por el tiempo y llega a 1417 al castillo del Papa Luna.
3	31	Refugiados en el Tiempo	09/10/2017	1451000	9.1	La patrulla viajará a tres siglos distintos para hacer frente a las misiones: 1609, 1828 y 2017. Alonso y Pacino reciben la misión de reencontrarse con Simón Bolívar. Su objetivo: salvarle de la muerte ante un seguro atentado.Pronto descubrirán que el encargado del atentado pertenece a El Ángel Exterminador. Pero, antes, Bolívar les reconocerá de sus tiempos de estudiante en Madrid, con Goya y la Duquesa de Osuna.Un grupo de refugiados moriscos aparece en pleno centro de MadridMientras, el Ministerio tiene un grave problema que atender: la llegada de refugiados moriscos al presente, en pleno centro de Madrid. Ernesto y Lola Mendieta intentarán que vuelvan a su época, garantizando su seguridad.Felipe III no lo pondrá nada fácil. El hecho de que Velázquez se les cuele en la misión, tampoco.
3	32	Tiempo de verbena	16/10/2017	1296000	8.4	Angustias tiene unos días de vacaciones y decide cumplir su sueño: asistir al estreno de 'La verbena de la Paloma'. Pero, al ir a comprar la entrada, descubre que se ha cancelado. El Ministerio envía a Lola Mendieta y Pacino para que ayuden a que esta obra maestra del género chico no se pierda para la Historia. Mientras, Salvador encarga a Alonso la difícil misión de interrogar a Arteche, el agente de El Ángel Exterminador encargado de asesinar a Bolívar. Poco a poco, Alonso y Arteche se dan cuenta de que son almas gemelas. Soldados que necesitan paz. Héroes que nunca encontrarán reconocimiento. En el caso de Arteche, el Ministerio descubrirá algo sorprendente: es inmortal. Es 'El soldado español de veinte siglos', una leyenda, atribuida a la imaginación de un escritor, convertida en aterradora realidad.
3	33	Contratiempos	25/10/2017	983000	5.9	Llega al Ministerio la noticia de que, en 1976, Adolfo Suárez no está entre los candidatos por el Consejo del Reino para ser presidente de España. Evidentemente, alguien está queriendo cambiar la Historia y el Ministerio debe evitarlo. Para ello, Salvador envía al pasado a la patrulla. Lo que no sabe Salvador es que Alonso ha sido captado por El Ángel Exterminador tras raptar a Elena. Y que la vida de Suárez, el hombre que le llevó a gobernar el Ministerio, corre serio peligro.Por su parte, la joven Lola Mendieta deberá resolver dudas sobre su futuro. Y para ello, nada mejor que enfrentarse cara a cara con ella misma. Por eso viaja al año 2010, poco tiempo antes de que la otra Lola traicione al Ministerio.
3	34	Entre dos tiempos	01/11/2017	1087000	7.1	1966 / 2017: Historias para no dormirEl secreto de la existencia del Ministerio está a punto de desvelarse. En 1966, se está produciendo una serie llamada El Ministerio del Tiempo. En ella, capítulo a capítulo, se cuenta como se salvó al Empecinado, a Lope de Vega… Misiones reales llevadas a cabo por la patrulla de Alonso, Julián y Amelia. Para colmo, si llega a estrenarse, desaparecerá para siempre Historias para no dormir, la histórica serie de Chicho Ibáñez Serrador.La joven Lola, Pacino y Alonso deberán encontrar al culpable, sin duda buen conocedor del Ministerio, mientras contemplan atónitos el rodaje. Persiguiéndole, volverán al año 2017. Y descubrirán que el Ministerio no es el que conocían.
4	0	Antes de que no haya tiempo	20/04/2020	NA	NA	Han pasado más de dos años y medio desde que Pacino, Lola y Alonso evitaron que 'El Ministerio del Tiempo', uno de los secretos mejor guardados del gobierno español, acabara convertido en una agencia de turismo intertemporal con el rimbombante nombre de 'Carpe Diem'. Ahora que las aguas se han calmado, una invitación a mirar de nuevo en el interior de esta institución milenaria dirigida por Salvador Martí junto a sus fieles Ernesto e Irene Larra. Ninguno de ellos imaginaba que se tendrían que enfrentar a algo para lo que no están preparados: ¿Qué pasa cuando una alarma temporal falla y es imposible localizar el lugar al que viajar de misión? ¿Quiere decir eso que el mundo tal y como lo conocemos puede estar en peligro? La precuela se vuelve a fijar en Salvador que, frente al teléfono de su despacho, piensa en los que estarán detrás de la línea cuando marque en busca de ayuda. Momentos desesperados requieren medidas desesperadas.
4	35	Perdido en el tiempo	05/05/2020	1570000	9.1	Año 1943. En plena posguerra, un nuevo galán despunta en el panorama. Su nombre, Eulogio Romero. La noticia no sería del interés del Ministerio si no fuera por un importante detalle: es idéntico al desaparecido Julián. Por ello, Salvador monta un operativo recuperando a Alonso, que dejó el Ministerio hace tres años y ahora es un feliz padre de familia. Junto con Pacino e Irene viajarán a 1943 para investigar la verdadera identidad de Eulogio Romero, con la ayuda de la joven Lola Mendieta. Una vez allí, nada más ver a Eulogio Romero, la patrulla tiene la certeza de que es Julián: la voz, la sonrisa… Es imposible tener un alma gemela tan perfecta. Sin embargo, el nuevo galán del cine español no les reconoce. No será el único problema: pronto descubrirán que su oficio de actor no es más que una tapadera para llevar a cabo un atentado que puede cambiar la Historia de España.
4	36	El laberinto del tiempo	12/05/2020	1463000	8.3	¿Qué ocurriría si en uno de los apartamentos con los que premiaba el 'Un, dos, tres' existiera una puerta del tiempo al año 1648? ¿Y si la concursante que por ahí huye de un marido maltratador enamorara al rey? Pues que Felipe IV (Edu Soto) escribiría discursos con frases de canciones de Raphael y Las Tacañonas. Y que, si acaba casándose con él, Velázquez nunca pintaría las Meninas. El Ministerio envía a Pacino y Lola a 1981 para investigar el caso, en plena movida madrileña. La casualidad hace que Pacino se encuentre con su mejor amigo del colegio, eufórico por rodar 'Laberinto de Pasiones' con Pedro Almodóvar (Carlos Santos): va a encarnar el personaje que interpretó Antonio Banderas. Así las cosas, el Ministerio encara una doble misión: Alonso e Irene viajan a 1648 para que Carolina vuelva a su época; y Lola y Pacino deben conseguir que Almodóvar consiga financiación para su segunda película y la ruede con su actor fetiche.
4	37	Bloody Mary Hour	19/05/2020	1153000	6.9	Julián permanece en estado shock creyendo que es Eulogio, un galán de cine de la posguerra. Salvador recurre a Amelia para que le ayude a recordar quién es realmente. Amelia no duda en regresar de su época, 1885, donde vive encargándose del negocio familiar.Mientras, el Ministerio descubre que la Historia de Inglaterra ha sido alterada. La futura Isabel I es asesinada justo cuando un joven Felipe II es rey consorte de su hermanastra María Tudor. Pacino, Alonso e Irene viajan al Londres de 1554 para impedir el regicidio… Y allí se encontrarán con el gran Duque de Alba.
4	38	La memoria del tiempo	25/05/2020	1273000	7.6	Año 1937. En un solo día, la Historia del Arte ha sido devastada. Las Meninas desaparecen en el traslado desde el Museo del Prado, huyendo de las bombas de la Guerra Civil. Y Picasso (en París) ni siquiera ha empezado a pintar el Guernica. El Ministerio interviene ante tan extraña coincidencia. Velázquez, Pacino e Irene viajan a un París brillante donde se encontrarán con Picasso, Dora Maar, Clara Campoamor y Josephine Baker. Julián y Lola se quedan en Madrid buscando Las Meninas en medio de la guerra.
4	39	Deshaciendo el tiempo	02/06/2020	1291000	7.9	Pacino insiste en cambiar el pasado para rescatar a Lola de su última misión, algo que puede resultar muy peligroso. Carolina (Manuela Vellés), la única del Ministerio que conoce los viajes de Pacino, se ve obligada a intervenir. Demasiada tarea para una principiante.El Anacronópete ha caído en las peores manos. Díaz Bueno (Francesc Orella), el archienemigo del Ministerio, va a utilizar esta máquina del tiempo para acabar con la institución. Para ello, primero tendrá que secuestrar a Julián y Alonso.
4	40	El tiempo vuela	09/06/2020	1252000	7.8	1980. Un joven Salvador Martí inicia su carrera en el Ministerio. Una de sus primeras misiones es viajar a Granada en 1889 donde, por casualidad, salva la vida de un niño. Cuando vuelve al Ministerio, descubre que ha salvado a Emilio Herrera. El ingeniero español diseñó la primera escafandra, elemento clave para la posterior llegada del hombre a la Luna. Cuando una alarma avisa de que Herrera está en peligro, Salvador acude en su ayuda. Lo que no sabe Salvador es que le puede costar la vida.
4	41	Pretérito imperfecto	16/06/2020	1252000	7.6	Fernando VII va a morir antes de lo previsto, poniendo en peligro la sucesión de su hija Isabel. Salvador envía a Pacino y Alonso para tratar de salvarlo, pero antes el monarca debe ser sustituido. El elegido es un actor en horas bajas que resulta ser su doble idéntico. Interpretado por Juanjo Cucalón, se ve de la noche a la mañana en el papel más importante de su vida.
4	42	Días de futuro pasado	23/06/2020	1153000	8.5	El cadáver de un niño aparece junto a la sede del Ministerio. La inspectora Ayala (Marta Milans) se ocupa de la investigación y, tras entrevistarse con Salvador, descubre que el culpable está dentro del Ministerio. Pero la resolución de un asesinato se vuelve mucho más complicada cuando las pistas hay que buscarlas no solo en el presente, sino viajando por el tiempo.Irene, Pacino, Alonso y Carolina viajan a un orfanato de 1890 para cumplir una misión muy especial encargada por Salvador. Esta vez se enfrentarán a un terrible enemigo que va a hacer todo lo posible para que no logren su objetivo: salvar el Ministerio y el futuro de España.
