temporada	episodio	titulo	personaje	texto
1	1	El tiempo es el que es	ERNESTO	"No tenemos tiempo."
1	1	El tiempo es el que es	ALONSO	"¿Qué es eso?"
1	1	El tiempo es el que es	ERNESTO	"¡Vámonos!"
1	1	El tiempo es el que es	PROFESOR	"Dígame, señorita."
1	1	El tiempo es el que es	AMELIA	"Perdón, pero la influencia de El Orlando Furioso en Lope de Vega es clara… Sobre todo en el tema de la locura en relación con el amor."
1	1	El tiempo es el que es	PROFESOR	"Por lo tanto, niego la influencia de autor alguno sobre Lope de vega, gloria de las letras españolas. porque el primero bebe de fuentes profanas y nuestro Lope en las raíces más profundas de  nuestra fe. Tonterías."
1	1	El tiempo es el que es	AMELIA	"Personajes como Rodamonte y el propio Orlando son tomados como modelos para Lope… Se puede ver en obras como…"
1	1	El tiempo es el que es	PROFESOR	"¿Me deja continuar con la clase?"
1	1	El tiempo es el que es	AMELIA	"Perdón… ¿quién es usted?"
1	1	El tiempo es el que es	IRENE	"Alguien que sabe lo mucho que vales. No como todos esos hombres."
1	1	El tiempo es el que es	AMELIA	"Gracias, Roser. Puedes retirarte ya. Mi padre tiene un coñac estupendo… Aunque no sabe que de vez en cuando me tomo una copita…"
1	1	El tiempo es el que es	PROFESOR 2	"El Siglo de Oro muestra la gloria de nuestra literatura, representada en Calderón, Lope o el grandioso El Quijote de Cervantes.  Una literatura a la altura de lo que era España entonces: la primera potencia mundial…"
1	1	El tiempo es el que es	AMELIA	"¡Es tan difícil encontrar una mujer con la que poder hablar de política, arte… de cosas importantes!"
1	1	El tiempo es el que es	IRENE	"¿Y de qué hablan tus amigas?"
1	1	El tiempo es el que es	AMELIA	"De maridos, hijos y la moda de París. A veces creo que las mujeres somos nuestras peores enemigas. Estoy convencida que en un futuro las mujeres podrán hacer lo mismo que un hombre."
1	1	El tiempo es el que es	IRENE	"Brindemos por ello."
1	1	El tiempo es el que es	AMELIA	"Si nos oyera mi madre… Está empeñada en buscarme marido… que me case y tenga hijos."
1	1	El tiempo es el que es	IRENE	"Y tú no quieres…"
1	1	El tiempo es el que es	AMELIA	"Yo no necesito un hombre."
1	1	El tiempo es el que es	IRENE	"Pues no sabes la alegría que me das…"
1	1	El tiempo es el que es	AMELIA	"Necesitar, no necesito a los hombres… pero el caso es que me gustan."
1	1	El tiempo es el que es	IRENE	"En fin… A ver si esto te interesa más…"
1	1	El tiempo es el que es	AMELIA	"Eso… ¿qué es?"
1	1	El tiempo es el que es	IRENE	"Tu mundo se te queda pequeño, querida; y eso sí lo podemos solucionar. ¿Angustias? Pásame con el jefe, reina…"
1	1	El tiempo es el que es	RAMÓN	"La tortilla de patatas es como el IBEX-35 de un bar: si la tortilla está buena, el bar es bueno. Y esta tortilla es infame."
1	1	El tiempo es el que es	JULIÁN	"Antes era todo mejor."
1	1	El tiempo es el que es	RAMÓN	"¿Por qué te empeñas en venir aquí?"
1	1	El tiempo es el que es	VOZ EMISORA	"Incendio en el centro. Es un hostal."
1	1	El tiempo es el que es	JULIÁN	"Vamos."
1	1	El tiempo es el que es	RAMÓN	"¡Julián, no me jodas, acabamos turno en diez minutos y estamos a tomar por culo! Jefe, ¿cómo está la cosa?"
1	1	El tiempo es el que es	JEFE	"No tan grave como parece. Inhalación de humos, algún ataque de nervios…"
1	1	El tiempo es el que es	JULIÁN	"¡Queda gente dentro!"
1	1	El tiempo es el que es	BOMBERO JEFE	"Imposible. Se evacuó a todo el mundo. ¡Está a punto de venirse abajo!"
1	1	El tiempo es el que es	JULIÁN	"¡Aquí! ¡Los he encontrado! ¡Rápido! ¡No hay pulso!"
1	1	El tiempo es el que es	RAMÓN	"Esto no puede seguir así, jefe… Tarde o temprano tenía que pasar algo. Los compañeros no quieren trabajar con él, es un peligro, para los demás y para él mismo. Después de lo de su mujer… no es el mismo."
1	1	El tiempo es el que es	JEFE	"¿Y quién lo sería…? Puta suerte has tenido, chaval… No insistas. No se abre. Orden del médico."
1	1	El tiempo es el que es	JULIÁN	"¿Creen que voy a tirarme, o qué?"
1	1	El tiempo es el que es	JEFE	"Hemos recibido una queja del Cuerpo de Bomberos. Varios de sus hombres se jugaron la vida porque tú desobedeciste una orden del superior a cargo de la operación."
1	1	El tiempo es el que es	JULIÁN	"¡Quedaba gente dentro!"
1	1	El tiempo es el que es	JEFE	"Sólo estabas tú, Julián. No es la primera vez. Tus compañeros dicen que salir contigo es como ir con un terrorista suicida."
1	1	El tiempo es el que es	JULIÁN	"¡Pero yo sé lo que vi!"
1	1	El tiempo es el que es	JEFE	"Estás fuera de servicio hasta nueva orden. Necesitas hablar con un especialista… Tómatelo como unas vacaciones… ¿No hacías fotografías? Pues hazlas."
1	1	El tiempo es el que es	JULIÁN	"Ya no. Yo les conozco de algo."
1	1	El tiempo es el que es	ERNESTO	"Venimos a hablar de lo que vio en el incendio."
1	1	El tiempo es el que es	JULIÁN	"Del hospital, ¿no?. Sí que se han dado prisa en mandar a los loqueros… Supongo que ya lo sabrán todo sobre mí…"
1	1	El tiempo es el que es	ERNESTO	"Paramédico del Servicio de Urgencias, muy valorado por sus superiores."
1	1	El tiempo es el que es	IRENE	"¿Es ella?"
1	1	El tiempo es el que es	ERNESTO	"Desde entonces, sufre cuadros de depresión, con posibles tendencias autodestructivas, pero se niega a ser tratado."
1	1	El tiempo es el que es	JULIÁN	"Si ya lo saben todo, ¿por qué…?"
1	1	El tiempo es el que es	IRENE	"Háblenos de lo que vio en el incendio. En su declaración dice que vio dos tipos inconscientes, vestidos como soldados de la época de Napoleón…"
1	1	El tiempo es el que es	JULIÁN	"Da igual… no me creen. Vosotros no sois psiquiatras…"
1	1	El tiempo es el que es	ERNESTO	"¿Le importaría acompañarnos?"
1	1	El tiempo es el que es	JULIÁN	"¿Aquí? Pero… esto… ¿Qué es?"
1	1	El tiempo es el que es	IRENE	"Tranquilo, aún no lo has visto todo."
1	1	El tiempo es el que es	BEDEL	"Buenas…"
1	1	El tiempo es el que es	ANGUSTIAS	"¿Nuevo?"
1	1	El tiempo es el que es	ERNESTO	"Sí. Nos espera el subsecretario… Por aquí."
1	1	El tiempo es el que es	JULIÁN	"Sí, son ellos. ¿Venían de una fiesta de disfraces?"
1	1	El tiempo es el que es	SALVADOR	"No. De 1808.¿Julián Martínez? Salvador Martí. Encantado de conocerle."
1	1	El tiempo es el que es	JULIÁN	"No sé si estoy en condiciones de decir lo mismo… Dicen que son del 1808… ¿Los cadáveres se han conservado así desde hace dos siglos?"
1	1	El tiempo es el que es	SALVADOR	"No. Murieron anteanoche por inhalación de humo. Creemos que vinieron de 1808 como mucho veinticuatro horas antes…"
1	1	El tiempo es el que es	IRENE	"Y ahora sabemos que no lo hicieron solos."
1	1	El tiempo es el que es	ERNESTO	"Encontramos este mapa entre las ropas de uno de ellos."
1	1	El tiempo es el que es	SALVADOR	"Puede que las marcas indiquen por qué han venido del siglo XIX."
1	1	El tiempo es el que es	JULIÁN	"¿Esto qué es, una broma o algún nuevo método psicológico de mierda?"
1	1	El tiempo es el que es	SALVADOR	"Venga conmigo. Le enseñaré algo."
1	1	El tiempo es el que es	TIPO CON GORGUERA	"¿Diez horas más al mes, y encima nos recortan el salario? ¡Ganas dan de volver al siglo XVI!"
1	1	El tiempo es el que es	SOLDADO GUERRA DE CUBA	"¿Qué, otro nuevo?"
1	1	El tiempo es el que es	SALVADOR	"Todos los gobiernos tienen secretos. El nuestro tiene solo uno… pero es muy antiguo. Nuestro secreto es este ministerio."
1	1	El tiempo es el que es	JULIÁN	"¿Y qué Ministerio es éste?"
1	1	El tiempo es el que es	SALVADOR	"El Ministerio del Tiempo. Sígame…"
1	1	El tiempo es el que es	SALVADOR	"Tenga cuidado, no se resbale… La caída es impresionante. Aquí trabajan funcionarios españoles de distintas épocas con la misión de que la Historia no cambie… Por aquí… Nuestros funcionarios viajan a la época donde se haya producido una alteración del tiempo y la corrigen."
1	1	El tiempo es el que es	JULIÁN	"Ya. O sea, que la máquina del tiempo existe, y además es española…"
1	1	El tiempo es el que es	SALVADOR	"¿Pero cómo va a existir una máquina del tiempo? No diga tonterías, hombre… La máquina del tiempo no existe. Lo que existen son las puertas del tiempo. El origen del Ministerio se remonta a los Reyes Católicos. Un rabino judío, a cambio de no ser expulsado, les contó el secreto de una red de puertas que conectaban con distintas épocas del pasado de los reinos españoles. No es una historia muy edificante, el rabino no fue expulsado, pero la Inquisición le quemó por brujo."
1	1	El tiempo es el que es	JULIÁN	"Pero…"
1	1	El tiempo es el que es	SALVADOR	"Velázquez siempre se retrasa… Estas puertas están bajo control del Ministerio. Son… digamos que oficiales."
1	1	El tiempo es el que es	JULIÁN	"Los tipos del incendio…"
1	1	El tiempo es el que es	SALVADOR	"Hay gente que quiere trastocar el tiempo para su propio beneficio. Y eso podría ser terrible. ¿Se imagina que los romanos hubieran tenido acceso a unas ametralladoras? ¿O que Al Qaeda pudiera contactar con Boabdil?"
1	1	El tiempo es el que es	JULIÁN	"Ahora mismo puedo imaginarme cualquier cosa… ¿Se puede viajar al futuro?"
1	1	El tiempo es el que es	SALVADOR	"No: el tiempo es el que es, joven."
1	1	El tiempo es el que es	JULIÁN	"Entonces, si se puede viajar al pasado, se podría mejorar nuestro presente."
1	1	El tiempo es el que es	SALVADOR	"Eso es peligroso. Nuestra Historia puede que no sea la mejor posible, pero podía ser peor. Por eso necesitamos su ayuda. Dos hombres del siglo XIX andan sueltos por Madrid, no sabemos en busca de qué."
1	1	El tiempo es el que es	JULIÁN	"El moreno tenía nariz grande, ojos oscuros… cejas pobladas… El otro… el rubio… era más alto, ojos claros… Yo… lo siento, no recuerdo más."
1	1	El tiempo es el que es	SALVADOR	"¿Tienes suficiente, Diego?"
1	1	El tiempo es el que es	JOVEN ARTISTA	"Despreocupaos, subsecretario…"
1	1	El tiempo es el que es	SALVADOR	"Empezaremos la búsqueda de inmediato. Usted se incorpora mañana."
1	1	El tiempo es el que es	JULIÁN	"Me incorporo mañana… ¿a dónde?"
1	1	El tiempo es el que es	SALVADOR	"Aquí. Bienvenido al Ministerio del Tiempo."
1	1	El tiempo es el que es	JULIÁN	"No… no…"
1	1	El tiempo es el que es	SALVADOR	"Su examen psicológico especifica que no está capacitado para seguir trabajando de paramédico."
1	1	El tiempo es el que es	JULIÁN	"Aún no me han hecho las pruebas…"
1	1	El tiempo es el que es	SALVADOR	"Están aquí. Lea."
1	1	El tiempo es el que es	JULIÁN	"Debido a sus demostradas tendencias autodestructivas, constituye un peligro para sí mismo y los que le rodean, por lo que se aconseja su internamiento en un centro especializado… ¿Quién ha escrito esto?"
1	1	El tiempo es el que es	SALVADOR	"Yo.  A menudo, las cosas no son como queremos… Usted lo sabe bien: no vive la vida que le gustaría vivir, ni con quien le gustaría vivirla. Nosotros le estamos dando otra. Una poco común, pero otra."
1	1	El tiempo es el que es	JULIÁN	"Entonces… o trabajo para ustedes…"
1	1	El tiempo es el que es	SALVADOR	"… o ingresa en un psiquiátrico."
1	1	El tiempo es el que es	JOVEN ARTISTA	"Ya está."
1	1	El tiempo es el que es	JULIÁN	"Son ellos… son exactamente ellos… Es muy bueno."
1	1	El tiempo es el que es	SALVADOR	"No va a ser bueno el jodío… es Velázquez."
1	1	El tiempo es el que es	BENITO	"Es… increíble…"
1	1	El tiempo es el que es	THIBAUD	"He luchado en Austerlitz. He cruzado los Alpes nevados y el desierto de Egipto. Y nunca tuve tanto miedo como ahora."
1	1	El tiempo es el que es	HEAVY 1	"¿Nos conocemos de algo?"
1	1	El tiempo es el que es	BENITO	"No, no… Ruego me disculpe, caballero. ¿Sabe usted de algún sitio donde podamos encontrar libros?"
1	1	El tiempo es el que es	HEAVY 1	"Pues en una librería."
1	1	El tiempo es el que es	BENITO	"Disculpe… ¿Disponen de algún volumen que trate de un conflicto que hubo entre Francia y España, allá por 1808?"
1	1	El tiempo es el que es	DEPENDIENTE	"Guerra de Independencia. Historia, segunda planta."
1	1	El tiempo es el que es	THIBAUD	"Guerra de Independencia… mal empezamos…"
1	1	El tiempo es el que es	JULIÁN	"No, gracias."
1	1	El tiempo es el que es	IRENE	"Deberías probarla. Ya no hay naranjas así. Nos la traen de una huerta valenciana de 1887."
1	1	El tiempo es el que es	JULIÁN	"Luego en casa…"
1	1	El tiempo es el que es	ERNESTO	"No se puede sacar del Ministerio nada de otra época."
1	1	El tiempo es el que es	ANGUSTIAS	"Tranquilo, hijo. Los primeros días son los peores; luego uno se acaba acostumbrando, ¿verdad, Irene?"
1	1	El tiempo es el que es	IRENE	"Yo no. Yo vi el cielo abierto. Mujer, y naciendo en 1930, ya me contarás a qué podía aspirar…"
1	1	El tiempo es el que es	JULIÁN	"¿1930? mi abuela nació ese mismo año… Y parece que tienes…"
1	1	El tiempo es el que es	IRENE	"Menos de los que tengo, seguro."
1	1	El tiempo es el que es	ANGUSTIAS	"Yo me incorporé como viuda de funcionario, cuando murió mi Ramón, que en gloria esté."
1	1	El tiempo es el que es	JULIÁN	"¿Y cuándo fue eso?"
1	1	El tiempo es el que es	ANGUSTIAS	"En la guerra."
1	1	El tiempo es el que es	JULIÁN	"¿La civil?"
1	1	El tiempo es el que es	ANGUSTIAS	"No, hijo. La de Cuba."
1	1	El tiempo es el que es	JULIÁN	"Pero si vienen de tan lejos…"
1	1	El tiempo es el que es	ANGUSTIAS	"Ya… ¿Cómo puede ser que aparente 50 años cuando tengo más de cien? Por las puertas no pasa el tiempo… sino cómo iba a estar esta naranja tan fresca si es más vieja que yo."
1	1	El tiempo es el que es	IRENE	"A Velázquez le recluté hace dos años en el 1634… Pisó el Ministerio por primera vez en el 2013. Ahora tiene 37 años. En"
1	1	El tiempo es el que es	ERNESTO	"Tu vida es tu vida. Vas de una época para otra, pero sigues envejeciendo."
1	1	El tiempo es el que es	IRENE	"Ojalá lo fuera… Sólo somos simples funcionarios, no superhéroes."
1	1	El tiempo es el que es	JULIÁN	"Pero al poder viajar al pasado pueden saber qué fue de sus vidas… Y cómo… cómo murieron…"
1	1	El tiempo es el que es	ANGUSTIAS	"Yo ni lo sé ni quiero saberlo. Eso se lo dejo a los famosos, que salen en los libros de Historia."
1	1	El tiempo es el que es	ERNESTO	"Ya está aquí el jefe con los nuevos…"
1	1	El tiempo es el que es	SALVADOR	"Julián, quiero presentarte a los que van a ser tus compañeros."
1	1	El tiempo es el que es	JULIÁN	"Hoy es mi día. y ahora al Capitán Alatriste."
1	1	El tiempo es el que es	ALONSO	"Vuesa merced me confunde con otro."
1	1	El tiempo es el que es	SALVADOR	"Julián Ramos… la señorita Amelia Folch, don Alonso Entrerríos. Mejor les dejo que se vayan conociendo."
1	1	El tiempo es el que es	ALONSO	"Señor, ¿puedo hacerle una pregunta? ¿Quién es ese tal Alatriste con el que todos me confunden aquí?"
1	1	El tiempo es el que es	ERNESTO	"¿Está seguro de ponerlos juntos? Son muy distintos."
1	1	El tiempo es el que es	SALVADOR	"Ahí está la gracia. Alonso es un veterano de los Tercios de Flandes. Un soldado perfecto. Le pones delante un marine, hombre a hombre, sin más tecnología que un cuchillo, y no le dura medio minuto."
1	1	El tiempo es el que es	IRENE	"Le va a costar trabajar con mujeres."
1	1	El tiempo es el que es	SALVADOR	"Sus valores son antiguos. Pero eso tiene su lado bueno. Su sentido del honor, de la palabra… ya no se encuentran. Y es un patriota. Amelia es el cerebro. Es moderna, inteligente… Ve lo que los demás no ven. Si hubiera nacido en el siglo XXI, podría ser lo que quisiera."
1	1	El tiempo es el que es	IRENE	"Ahora tiene esa posibilidad."
1	1	El tiempo es el que es	SALVADOR	"Si este país fuera tan noble como Alonso y tan avanzado como Amelia, otro gallo nos hubiera cantado."
1	1	El tiempo es el que es	ERNESTO	"No es de ellos de quien dudo."
1	1	El tiempo es el que es	SALVADOR	"¿Julián? No tiene nada que perder. Eso puede ser bueno… Además, alguien que trabaja en Urgencias en Madrid, hoy… es un seguro de vida en cualquier viaje al pasado."
1	1	El tiempo es el que es	BENITO	"¡Seis años de guerra!"
1	1	El tiempo es el que es	THIBAUD	"¡Y la perdimos! Pero… ¿cómo es posible? La Grand Armée, el mejor ejército de la Historia… Y después perdimos en Rusia… y en todas partes. Escucha lo que dijo Napoleón: la culpa de todo fue de esa maldita guerra española…. Hay que volver."
1	1	El tiempo es el que es	JULIÁN	"Son ellos."
1	1	El tiempo es el que es	AMELIA	"Mi padre me llevó a un teatro en París… proyectaban imágenes… pero esto…"
1	1	El tiempo es el que es	IRENE	"¿Estás bien?"
1	1	El tiempo es el que es	ERNESTO	"Vamos a la librería."
1	1	El tiempo es el que es	IRENE	"Señorita Folch, señor Entrerríos… es hora de que conozcan el siglo XXI."
1	1	El tiempo es el que es	CONDUCTOR	"¿Por qué no te vas a fregar?"
1	1	El tiempo es el que es	IRENE	"Si quieres salimos del coche y me lo dices a la cara… ¡Venga, valiente!"
1	1	El tiempo es el que es	ERNESTO	"Ya hemos llegado."
1	1	El tiempo es el que es	JULIÁN	"No sabes nada de lo que cuentan esos libros, ¿verdad?"
1	1	El tiempo es el que es	IRENE	"En el Ministerio hay una biblioteca, y tienes internet…"
1	1	El tiempo es el que es	AMELIA	"Inter… ¿qué?"
1	1	El tiempo es el que es	JULIÁN	"A ver cómo le explicas eso…"
1	1	El tiempo es el que es	IRENE	"¡Huy! Aprenden rápido. El problema es cuando se enganchan a las redes sociales…"
1	1	El tiempo es el que es	ERNESTO	"Se han llevado libros… todos relacionados con la Guerra de Independencia. Y uno de ellos hablaba con acento francés."
1	1	El tiempo es el que es	IRENE	"Quieren saber qué fue lo que pasó… antes de que pase… y adelantarse a los acontecimientos."
1	1	El tiempo es el que es	JULIÁN	"¿Como en la primera de Terminator?"
1	1	El tiempo es el que es	AMELIA	"¿Quieren impedir que España gane la guerra de la Independencia?"
1	1	El tiempo es el que es	ALONSO	"Perdonen vuesas mercedes, pero… ¿qué independencia?"
1	1	El tiempo es el que es	ERNESTO	"La nuestra."
1	1	El tiempo es el que es	ALONSO	"¿Un… un imperio como el español… luchando por su independencia?"
1	1	El tiempo es el que es	JULIÁN	"Hombre, imperio, imperio…"
1	1	El tiempo es el que es	AMELIA	"Dos siglos después de… de usted, nos invadió Francia…"
1	1	El tiempo es el que es	ALONSO	"No… no puede ser… el mundo era nuestro… Ahora… ¿somos soberanos, o rendimos pleitesía a alguien?"
1	1	El tiempo es el que es	JULIÁN	"Sí. Al Banco Central Europeo."
1	1	El tiempo es el que es	ERNESTO	"Volvemos al Ministerio…"
1	1	El tiempo es el que es	JULIÁN	"Anda trae, que ya lo pago yo."
1	1	El tiempo es el que es	BENITO	"Va a ser una masacre… ¡para nada!"
1	1	El tiempo es el que es	THIBAUD	"Tranquilo, mon brave… nada de eso tiene por qué ocurrir. Para eso hemos venido a este siglo."
1	1	El tiempo es el que es	AMELIA	"Qué vergüenza, por Dios…"
1	1	El tiempo es el que es	IRENE	"Tranquila, a mí me pasa lo mismo, cuando cambio de época se me descontrola la regla…"
1	1	El tiempo es el que es	AMELIA	"Pero… está prohibido sacar cosas de otra época del Ministerio…"
1	1	El tiempo es el que es	IRENE	"Tú te llevas unos cuantos,  y si alguien te dice algo, me lo mandas. A ver, te explico cómo se pone esto…"
1	1	El tiempo es el que es	ERNESTO	"Estamos buscando por la zona. Ustedes pueden volver a sus casas. Mañana, reunión a las diez."
1	1	El tiempo es el que es	ALONSO	"En ese caso, señores…"
1	1	El tiempo es el que es	JULIÁN	"¿Alatriste y ella… viven aquí… ahora?"
1	1	El tiempo es el que es	SALVADOR	"¡Oh, no! Cada uno vive en su tiempo, en su casa…"
1	1	El tiempo es el que es	ERNESTO	"Alonso no. Tuvo que dejar Sevilla."
1	1	El tiempo es el que es	SALVADOR	"Cierto. Ahora vive en Madrid, a cien metros de aquí… pero hace seis siglos. Seguro que llega antes andando al siglo XVI que tú en metro a tu casa."
1	1	El tiempo es el que es	MADRE AMELIA	"¡¡Amelia!! ¡¡¡La cena ya está lista!!"
1	1	El tiempo es el que es	AMELIA	"¡¡Ya voy, madre!!"
1	1	El tiempo es el que es	THIBAUD	"¡Socorro! ¡Socorro!"
1	1	El tiempo es el que es	MUNICIPAL 1	"¿Qué pasa?"
1	1	El tiempo es el que es	THIBAUD	"Mon ami est mort!"
1	1	El tiempo es el que es	MUNICIPAL 1	"¡Llama a una ambulancia!"
1	1	El tiempo es el que es	BENITO	"¿Qué ha hecho? ¡El plan era quitarles las armas, no matarlos!"
1	1	El tiempo es el que es	THIBAUD	"Adieu, mon ami."
1	1	El tiempo es el que es	BEDEL	"Pues para ser el primer día, bien que te hacen madrugar."
1	1	El tiempo es el que es	JULIÁN	"Tengo reunión a las diez, pero quería familiarizarme con el sitio."
1	1	El tiempo es el que es	BEDEL	"¡Buah! Aquí, hasta las nueve no viene ni el Tato. Y quien dice nueve, dice nueve y media, diez menos cuarto."
1	1	El tiempo es el que es	JULIÁN	"¿Lo lee todos los días desde el 96?"
1	1	El tiempo es el que es	BEDEL	"¿Eres del Atleti?"
1	1	El tiempo es el que es	JULIÁN	"No me gusta el fútbol, pero me acuerdo de ese día como si fuera ayer."
1	1	El tiempo es el que es	BEDEL	"¡Je! Para mí sí que fue ayer. O mañana. Hay una puerta… la 58… da a los servicios de caballeros de Galerías Preciados de Callao, a las diez de la mañana de ese día, que era…"
1	1	El tiempo es el que es	JULIÁN	"Sábado."
1	1	El tiempo es el que es	BEDEL	"… sábado. Pues yo, cada vez que tengo un mal día… en el trabajo o en casa… O que volvemos a perder con el Madrid, cojo el petate, puerta 58 y ¡hale!, al estadio."
1	1	El tiempo es el que es	JULIÁN	"Pero no lo entiendo… Si el Atleti ganó la liga el año pasado, ¿por qué ir a la que ganó en el 96?"
1	1	El tiempo es el que es	BEDEL	"Porque aquel partido lo vi con mi padre, que en paz descanse. Cuarenta veces he visto el partido, y cada vez me lo paso mejor."
1	1	El tiempo es el que es	LOCUTOR CUÑA	"Ven a nuestras rebajas. Par zapatos caballero, piel, por 4750 pesetas. Bolso de señora, desde 3995. Ven a las rebajas…"
1	1	El tiempo es el que es	CAMARERO	"¿Qué desea la señorita?"
1	1	El tiempo es el que es	JULIÁN	"Un café con leche, en vaso, corto de café."
1	1	El tiempo es el que es	MAITE JOVEN	"Un café con leche, en vaso, corto de café. ¡Julián! ¿Es para mí? ¿Qué es?"
1	1	El tiempo es el que es	JULIÁN JOVEN	"Felicidades."
1	1	El tiempo es el que es	MAITE JOVEN	"¡Pero tío, cómo te has pasado!"
1	1	El tiempo es el que es	JULIÁN JOVEN	"Cuidado, que está cargada."
1	1	El tiempo es el que es	MAITE JOVEN	"¡Una foto juntos, venga! Como tuviera que estar esperando a que tú te decidieras…"
1	1	El tiempo es el que es	 JULIÁN	"Como tuviera que estar esperando a que tú te decidieras…"
1	1	El tiempo es el que es	CAMARERO	"¿Todo bien, jefe?"
1	1	El tiempo es el que es	JULIÁN	"Sí, todo bien. ¿Cuánto es?"
1	1	El tiempo es el que es	CAMARERO	"¿Un cortado? Poco dinero. 80 pesetas."
1	1	El tiempo es el que es	JULIÁN	"Mierda…"
1	1	El tiempo es el que es	CAMARERO	"¡Eh, tú! Hay que joderse… por 80 pelas…"
1	1	El tiempo es el que es	ERNESTO	"Estoy impresionado."
1	1	El tiempo es el que es	ALONSO	"Soy soldado."
1	1	El tiempo es el que es	ERNESTO	"Sí, pero del siglo XVI. La pistola con la que acaba de hacer las pruebas de tiro es del XXI."
1	1	El tiempo es el que es	ALONSO	"Un arma es un arma."
1	1	El tiempo es el que es	ERNESTO	"Vamos, son menos cinco."
1	1	El tiempo es el que es	SALVADOR	"Según el forense, los dos municipales fueron abatidos por un arma de coleccionista."
1	1	El tiempo es el que es	IRENE	"¿De mil ochocientos y poco?"
1	1	El tiempo es el que es	JULIÁN	"Sí, es uno de ellos."
1	1	El tiempo es el que es	SALVADOR	"Él murió por disparo de arma reglamentaria de la Policía Municipal."
1	1	El tiempo es el que es	ERNESTO	"¿Se defendieron?"
1	1	El tiempo es el que es	SALVADOR	"No hay restos de pólvora en los dedos de los policías. Y sus armas habían desaparecido. El que robó las armas de los policías, disparó a su compañero y huyó…"
1	1	El tiempo es el que es	AMELIA	"¿A su época?"
1	1	El tiempo es el que es	SALVADOR	"Señores, señorita… este es su primer trabajo en el Ministerio. Tienen que ir a 1808…"
1	1	El tiempo es el que es	ERNESTO,Puerta 21.,	""
1	1	El tiempo es el que es	SALVADOR	"Deben localizar dónde está la puerta clandestina que han utilizado, e impedir que esas armas sean usadas, probablemente para cambiar el curso de la historia."
1	1	El tiempo es el que es	ERNESTO	"¿Cornejo? Te mando dos hombres y una mujer… ropas de principio del siglo XIX… avisa también a peluquería…"
1	1	El tiempo es el que es	IRENE	"Suponemos que la señal corresponde al sitio donde está la puerta que emplearon para venir al siglo XXI."
1	1	El tiempo es el que es	ALONSO	"¿Por qué le dais a ella el mapa?"
1	1	El tiempo es el que es	SALVADOR	"Porque ella está al mando."
1	1	El tiempo es el que es	ALONSO	"¿Cómo? Una mujer… esto es de locos…"
1	1	El tiempo es el que es	AMELIA	"Pero… ¿qué hacemos?"
1	1	El tiempo es el que es	SALVADOR	"Usted sabrá: está al mando."
1	1	El tiempo es el que es	AMELIA	"¿Pero cuál es el plan?"
1	1	El tiempo es el que es	SALVADOR	"Señores, somos españoles: improvisen."
