Season,Episode,Character,Line
1,1,RAMÓN,"¡Julián, no me jodas, acabamos turno en diez minutos y estamos a tomar por culo! Jefe, ¿cómo está la cosa?"
1,1,JEFE,"No tan grave como parece. Inhalación de humos, algún ataque de nervios…"
1,1,JULIÁN,"¡Queda gente dentro!"
1,1,BOMBERO JEFE,"Imposible. Se evacuó a todo el mundo. ¡Está a punto de venirse abajo!"
1,1,JULIÁN,"¡Aquí! ¡Los he encontrado! ¡Rápido! ¡No hay pulso!"
1,1,RAMÓN,"Esto no puede seguir así, jefe… Tarde o temprano tenía que pasar algo. Los compañeros no quieren trabajar con él, es un peligro, para los demás y para él mismo. Después de lo de su mujer… no es el mismo."
1,1,JEFE,"¿Y quién lo sería…? Puta suerte has tenido, chaval… No insistas. No se abre. Orden del médico."
1,1,JULIÁN,"¿Creen que voy a tirarme, o qué?"
1,1,JEFE,"Hemos recibido una queja del Cuerpo de Bomberos. Varios de sus hombres se jugaron la vida porque tú desobedeciste una orden del superior a cargo de la operación."
1,1,JULIÁN,"¡Quedaba gente dentro!"
1,1,JEFE,"Sólo estabas tú, Julián. No es la primera vez. Tus compañeros dicen que salir contigo es como ir con un terrorista suicida."
1,1,JULIÁN,"¡Pero yo sé lo que vi!"
1,1,JEFE,"Estás fuera de servicio hasta nueva orden. Necesitas hablar con un especialista… Tómatelo como unas vacaciones… ¿No hacías fotografías? Pues hazlas."
1,1,JULIÁN,"Ya no. Yo les conozco de algo."
1,1,ERNESTO,"Venimos a hablar de lo que vio en el incendio."
1,1,JULIÁN,"Del hospital, ¿no?. Sí que se han dado prisa en mandar a los loqueros… Supongo que ya lo sabrán todo sobre mí…"
1,1,ERNESTO,"Paramédico del Servicio de Urgencias, muy valorado por sus superiores."
1,1,IRENE,"¿Es ella?"
1,1,ERNESTO,"Desde entonces, sufre cuadros de depresión, con posibles tendencias autodestructivas, pero se niega a ser tratado."
1,1,JULIÁN,"Si ya lo saben todo, ¿por qué…?"
1,1,IRENE,"Háblenos de lo que vio en el incendio. En su declaración dice que vio dos tipos inconscientes, vestidos como soldados de la época de Napoleón…"
1,1,JULIÁN,"Da igual… no me creen. Vosotros no sois psiquiatras…"
1,1,ERNESTO,"¿Le importaría acompañarnos?"
1,1,JULIÁN,"¿Aquí? Pero… esto… ¿Qué es?"
1,1,IRENE,"Tranquilo, aún no lo has visto todo."
1,1,BEDEL,"Buenas…"
1,1,ANGUSTIAS,"¿Nuevo?"
1,1,ERNESTO,"Sí. Nos espera el subsecretario… Por aquí."
1,1,JULIÁN,"Sí, son ellos. ¿Venían de una fiesta de disfraces?"
1,1,SALVADOR,"No. De 1808.¿Julián Martínez? Salvador Martí. Encantado de conocerle."
1,1,JULIÁN,"No sé si estoy en condiciones de decir lo mismo… Dicen que son del 1808… ¿Los cadáveres se han conservado así desde hace dos siglos?"
1,1,SALVADOR,"No. Murieron anteanoche por inhalación de humo. Creemos que vinieron de 1808 como mucho veinticuatro horas antes…"
1,1,IRENE,"Y ahora sabemos que no lo hicieron solos."
1,1,ERNESTO,"Encontramos este mapa entre las ropas de uno de ellos."
1,1,SALVADOR,"Puede que las marcas indiquen por qué han venido del siglo XIX."
1,1,JULIÁN,"¿Esto qué es, una broma o algún nuevo método psicológico de mierda?"
1,1,SALVADOR,"Venga conmigo. Le enseñaré algo."
1,1,TIPO CON GORGUERA,"¿Diez horas más al mes, y encima nos recortan el salario? ¡Ganas dan de volver al siglo XVI!"
1,1,SOLDADO GUERRA DE CUBA,"¿Qué, otro nuevo?"
1,1,SALVADOR,"Todos los gobiernos tienen secretos. El nuestro tiene solo uno… pero es muy antiguo. Nuestro secreto es este ministerio."
1,1,JULIÁN,"¿Y qué Ministerio es éste?"
1,1,SALVADOR,"El Ministerio del Tiempo. Sígame…"
1,1,SALVADOR,"Tenga cuidado, no se resbale… La caída es impresionante. Aquí trabajan funcionarios españoles de distintas épocas con la misión de que la Historia no cambie… Por aquí… Nuestros funcionarios viajan a la época donde se haya producido una alteración del tiempo y la corrigen."
1,1,JULIÁN,"Ya. O sea, que la máquina del tiempo existe, y además es española…"
1,1,SALVADOR,"¿Pero cómo va a existir una máquina del tiempo? No diga tonterías, hombre… La máquina del tiempo no existe. Lo que existen son las puertas del tiempo. El origen del Ministerio se remonta a los Reyes Católicos. Un rabino judío, a cambio de no ser expulsado, les contó el secreto de una red de puertas que conectaban con distintas épocas del pasado de los reinos españoles. No es una historia muy edificante, el rabino no fue expulsado, pero la Inquisición le quemó por brujo."
1,1,JULIÁN,"Pero…"
1,1,SALVADOR,"Velázquez siempre se retrasa… Estas puertas están bajo control del Ministerio. Son… digamos que oficiales."
1,1,JULIÁN,"Los tipos del incendio…"
1,1,SALVADOR,"Hay gente que quiere trastocar el tiempo para su propio beneficio. Y eso podría ser terrible. ¿Se imagina que los romanos hubieran tenido acceso a unas ametralladoras? ¿O que Al Qaeda pudiera contactar con Boabdil?"
1,1,JULIÁN,"Ahora mismo puedo imaginarme cualquier cosa… ¿Se puede viajar al futuro?"
1,1,SALVADOR,"No: el tiempo es el que es, joven."
1,1,JULIÁN,"Entonces, si se puede viajar al pasado, se podría mejorar nuestro presente."
1,1,SALVADOR,"Eso es peligroso. Nuestra Historia puede que no sea la mejor posible, pero podía ser peor. Por eso necesitamos su ayuda. Dos hombres del siglo XIX andan sueltos por Madrid, no sabemos en busca de qué."
1,1,JULIÁN,"El moreno tenía nariz grande, ojos oscuros… cejas pobladas… El otro… el rubio… era más alto, ojos claros… Yo… lo siento, no recuerdo más."
1,1,SALVADOR,"¿Tienes suficiente, Diego?"
1,1,JOVEN ARTISTA,"Despreocupaos, subsecretario…"
1,1,SALVADOR,"Empezaremos la búsqueda de inmediato. Usted se incorpora mañana."
1,1,JULIÁN,"Me incorporo mañana… ¿a dónde?"
1,1,SALVADOR,"Aquí. Bienvenido al Ministerio del Tiempo."
1,1,JULIÁN,"No… no…"
1,1,SALVADOR,"Su examen psicológico especifica que no está capacitado para seguir trabajando de paramédico."
1,1,JULIÁN,"Aún no me han hecho las pruebas…"
1,1,SALVADOR,"Están aquí. Lea."
1,1,JULIÁN,"Debido a sus demostradas tendencias autodestructivas, constituye un peligro para sí mismo y los que le rodean, por lo que se aconseja su internamiento en un centro especializado… ¿Quién ha escrito esto?"
1,1,SALVADOR,"Yo.  A menudo, las cosas no son como queremos… Usted lo sabe bien: no vive la vida que le gustaría vivir, ni con quien le gustaría vivirla. Nosotros le estamos dando otra. Una poco común, pero otra."
1,1,JULIÁN,"Entonces… o trabajo para ustedes…"
1,1,SALVADOR,"… o ingresa en un psiquiátrico."
1,1,JOVEN ARTISTA,"Ya está."
1,1,JULIÁN,"Son ellos… son exactamente ellos… Es muy bueno."
1,1,SALVADOR,"No va a ser bueno el jodío… es Velázquez."
1,1,BENITO,"Es… increíble…"
1,1,THIBAUD,"He luchado en Austerlitz. He cruzado los Alpes nevados y el desierto de Egipto. Y nunca tuve tanto miedo como ahora."
1,1,HEAVY 1,"¿Nos conocemos de algo?"
1,1,BENITO,"No, no… Ruego me disculpe, caballero. ¿Sabe usted de algún sitio donde podamos encontrar libros?"
1,1,HEAVY 1,"Pues en una librería."
1,1,BENITO,"Disculpe… ¿Disponen de algún volumen que trate de un conflicto que hubo entre Francia y España, allá por 1808?"
1,1,DEPENDIENTE,"Guerra de Independencia. Historia, segunda planta."
1,1,THIBAUD,"Guerra de Independencia… mal empezamos…"
1,1,JULIÁN,"No, gracias."
1,1,IRENE,"Deberías probarla. Ya no hay naranjas así. Nos la traen de una huerta valenciana de 1887."
1,1,JULIÁN,"Luego en casa…"
1,1,ERNESTO,"No se puede sacar del Ministerio nada de otra época."
1,1,ANGUSTIAS,"Tranquilo, hijo. Los primeros días son los peores; luego uno se acaba acostumbrando, ¿verdad, Irene?"
1,1,IRENE,"Yo no. Yo vi el cielo abierto. Mujer, y naciendo en 1930, ya me contarás a qué podía aspirar…"
1,1,JULIÁN,"¿1930? mi abuela nació ese mismo año… Y parece que tienes…"
1,1,IRENE,"Menos de los que tengo, seguro."
1,1,ANGUSTIAS,"Yo me incorporé como viuda de funcionario, cuando murió mi Ramón, que en gloria esté."
1,1,JULIÁN,"¿Y cuándo fue eso?"
1,1,ANGUSTIAS,"En la guerra."
1,1,JULIÁN,"¿La civil?"
1,1,ANGUSTIAS,"No, hijo. La de Cuba."
1,1,JULIÁN,"Pero si vienen de tan lejos…"
1,1,ANGUSTIAS,"Ya… ¿Cómo puede ser que aparente 50 años cuando tengo más de cien? Por las puertas no pasa el tiempo… sino cómo iba a estar esta naranja tan fresca si es más vieja que yo."
1,1,IRENE,"A Velázquez le recluté hace dos años en el 1634… Pisó el Ministerio por primera vez en el 2013. Ahora tiene 37 años. En"
1,1,ERNESTO,"Tu vida es tu vida. Vas de una época para otra, pero sigues envejeciendo."
1,1,IRENE,"Ojalá lo fuera… Sólo somos simples funcionarios, no superhéroes."
1,1,JULIÁN,"Pero al poder viajar al pasado pueden saber qué fue de sus vidas… Y cómo… cómo murieron…"
1,1,ANGUSTIAS,"Yo ni lo sé ni quiero saberlo. Eso se lo dejo a los famosos, que salen en los libros de Historia."
1,1,ERNESTO,"Ya está aquí el jefe con los nuevos…"
1,1,SALVADOR,"Julián, quiero presentarte a los que van a ser tus compañeros."
1,1,JULIÁN,"Hoy es mi día. y ahora al Capitán Alatriste."
1,1,ALONSO,"Vuesa merced me confunde con otro."
1,1,SALVADOR,"Julián Ramos… la señorita Amelia Folch, don Alonso Entrerríos. Mejor les dejo que se vayan conociendo."
1,1,ALONSO,"Señor, ¿puedo hacerle una pregunta? ¿Quién es ese tal Alatriste con el que todos me confunden aquí?"
1,1,ERNESTO,"¿Está seguro de ponerlos juntos? Son muy distintos."
1,1,SALVADOR,"Ahí está la gracia. Alonso es un veterano de los Tercios de Flandes. Un soldado perfecto. Le pones delante un marine, hombre a hombre, sin más tecnología que un cuchillo, y no le dura medio minuto."
1,1,IRENE,"Le va a costar trabajar con mujeres."
1,1,SALVADOR,"Sus valores son antiguos. Pero eso tiene su lado bueno. Su sentido del honor, de la palabra… ya no se encuentran. Y es un patriota. Amelia es el cerebro. Es moderna, inteligente… Ve lo que los demás no ven. Si hubiera nacido en el siglo XXI, podría ser lo que quisiera."
1,1,IRENE,"Ahora tiene esa posibilidad."
1,1,SALVADOR,"Si este país fuera tan noble como Alonso y tan avanzado como Amelia, otro gallo nos hubiera cantado."
1,1,ERNESTO,"No es de ellos de quien dudo."
1,1,SALVADOR,"¿Julián? No tiene nada que perder. Eso puede ser bueno… Además, alguien que trabaja en Urgencias en Madrid, hoy… es un seguro de vida en cualquier viaje al pasado."
1,1,BENITO,"¡Seis años de guerra!"
1,1,THIBAUD,"¡Y la perdimos! Pero… ¿cómo es posible? La Grand Armée, el mejor ejército de la Historia… Y después perdimos en Rusia… y en todas partes. Escucha lo que dijo Napoleón: la culpa de todo fue de esa maldita guerra española…. Hay que volver."
1,1,JULIÁN,"Son ellos."
1,1,AMELIA,"Mi padre me llevó a un teatro en París… proyectaban imágenes… pero esto…"
1,1,IRENE,"¿Estás bien?"
1,1,ERNESTO,"Vamos a la librería."
1,1,IRENE,"Señorita Folch, señor Entrerríos… es hora de que conozcan el siglo XXI."
1,1,CONDUCTOR,"¿Por qué no te vas a fregar?"
1,1,IRENE,"Si quieres salimos del coche y me lo dices a la cara… ¡Venga, valiente!"
1,1,ERNESTO,"Ya hemos llegado."
1,1,JULIÁN,"No sabes nada de lo que cuentan esos libros, ¿verdad?"
1,1,IRENE,"En el Ministerio hay una biblioteca, y tienes internet…"
1,1,AMELIA,"Inter… ¿qué?"
1,1,JULIÁN,"A ver cómo le explicas eso…"
1,1,IRENE,"¡Huy! Aprenden rápido. El problema es cuando se enganchan a las redes sociales…"
1,1,ERNESTO,"Se han llevado libros… todos relacionados con la Guerra de Independencia. Y uno de ellos hablaba con acento francés."
1,1,IRENE,"Quieren saber qué fue lo que pasó… antes de que pase… y adelantarse a los acontecimientos."
1,1,JULIÁN,"¿Como en la primera de Terminator?"
1,1,AMELIA,"¿Quieren impedir que España gane la guerra de la Independencia?"
1,1,ALONSO,"Perdonen vuesas mercedes, pero… ¿qué independencia?"
1,1,ERNESTO,"La nuestra."
1,1,ALONSO,"¿Un… un imperio como el español… luchando por su independencia?"
1,1,JULIÁN,"Hombre, imperio, imperio…"
1,1,AMELIA,"Dos siglos después de… de usted, nos invadió Francia…"
1,1,ALONSO,"No… no puede ser… el mundo era nuestro… Ahora… ¿somos soberanos, o rendimos pleitesía a alguien?"
1,1,JULIÁN,"Sí. Al Banco Central Europeo."
1,1,ERNESTO,"Volvemos al Ministerio…"
1,1,JULIÁN,"Anda trae, que ya lo pago yo."
1,1,BENITO,"Va a ser una masacre… ¡para nada!"
1,1,THIBAUD,"Tranquilo, mon brave… nada de eso tiene por qué ocurrir. Para eso hemos venido a este siglo."
1,1,AMELIA,"Qué vergüenza, por Dios…"
1,1,IRENE,"Tranquila, a mí me pasa lo mismo, cuando cambio de época se me descontrola la regla…"
1,1,AMELIA,"Pero… está prohibido sacar cosas de otra época del Ministerio…"
1,1,IRENE,"Tú te llevas unos cuantos,  y si alguien te dice algo, me lo mandas. A ver, te explico cómo se pone esto…"
1,1,ERNESTO,"Estamos buscando por la zona. Ustedes pueden volver a sus casas. Mañana, reunión a las diez."
1,1,ALONSO,"En ese caso, señores…"
1,1,JULIÁN,"¿Alatriste y ella… viven aquí… ahora?"
1,1,SALVADOR,"¡Oh, no! Cada uno vive en su tiempo, en su casa…"
1,1,ERNESTO,"Alonso no. Tuvo que dejar Sevilla."
1,1,SALVADOR,"Cierto. Ahora vive en Madrid, a cien metros de aquí… pero hace seis siglos. Seguro que llega antes andando al siglo XVI que tú en metro a tu casa."
1,1,MADRE AMELIA,"¡¡Amelia!! ¡¡¡La cena ya está lista!!"
1,1,AMELIA,"¡¡Ya voy, madre!!"
1,1,THIBAUD,"¡Socorro! ¡Socorro!"
1,1,MUNICIPAL 1,"¿Qué pasa?"
1,1,THIBAUD,"Mon ami est mort!"
1,1,MUNICIPAL 1,"¡Llama a una ambulancia!"
1,1,BENITO,"¿Qué ha hecho? ¡El plan era quitarles las armas, no matarlos!"
1,1,THIBAUD,"Adieu, mon ami."
1,1,BEDEL,"Pues para ser el primer día, bien que te hacen madrugar."
1,1,JULIÁN,"Tengo reunión a las diez, pero quería familiarizarme con el sitio."
1,1,BEDEL,"¡Buah! Aquí, hasta las nueve no viene ni el Tato. Y quien dice nueve, dice nueve y media, diez menos cuarto."
1,1,JULIÁN,"¿Lo lee todos los días desde el 96?"
1,1,BEDEL,"¿Eres del Atleti?"
1,1,JULIÁN,"No me gusta el fútbol, pero me acuerdo de ese día como si fuera ayer."
1,1,BEDEL,"¡Je! Para mí sí que fue ayer. O mañana. Hay una puerta… la 58… da a los servicios de caballeros de Galerías Preciados de Callao, a las diez de la mañana de ese día, que era…"
1,1,JULIÁN,"Sábado."
1,1,BEDEL,"… sábado. Pues yo, cada vez que tengo un mal día… en el trabajo o en casa… O que volvemos a perder con el Madrid, cojo el petate, puerta 58 y ¡hale!, al estadio."
1,1,JULIÁN,"Pero no lo entiendo… Si el Atleti ganó la liga el año pasado, ¿por qué ir a la que ganó en el 96?"
1,1,BEDEL,"Porque aquel partido lo vi con mi padre, que en paz descanse. Cuarenta veces he visto el partido, y cada vez me lo paso mejor."
1,1,LOCUTOR CUÑA,"Ven a nuestras rebajas. Par zapatos caballero, piel, por 4750 pesetas. Bolso de señora, desde 3995. Ven a las rebajas…"
1,1,CAMARERO,"¿Qué desea la señorita?"
1,1,JULIÁN,"Un café con leche, en vaso, corto de café."
1,1,MAITE JOVEN,"Un café con leche, en vaso, corto de café. ¡Julián! ¿Es para mí? ¿Qué es?"
1,1,JULIÁN JOVEN,"Felicidades."
1,1,MAITE JOVEN,"¡Pero tío, cómo te has pasado!"
1,1,JULIÁN JOVEN,"Cuidado, que está cargada."
1,1,MAITE JOVEN,"¡Una foto juntos, venga! Como tuviera que estar esperando a que tú te decidieras…"
1,1, JULIÁN,"Como tuviera que estar esperando a que tú te decidieras…"
1,1,CAMARERO,"¿Todo bien, jefe?"
1,1,JULIÁN,"Sí, todo bien. ¿Cuánto es?"
1,1,CAMARERO,"¿Un cortado? Poco dinero. 80 pesetas."
1,1,JULIÁN,"Mierda…"
1,1,CAMARERO,"¡Eh, tú! Hay que joderse… por 80 pelas…"
1,1,ERNESTO,"Estoy impresionado."
1,1,ALONSO,"Soy soldado."
1,1,ERNESTO,"Sí, pero del siglo XVI. La pistola con la que acaba de hacer las pruebas de tiro es del XXI."
1,1,ALONSO,"Un arma es un arma."
1,1,ERNESTO,"Vamos, son menos cinco."
1,1,SALVADOR,"Según el forense, los dos municipales fueron abatidos por un arma de coleccionista."
1,1,IRENE,"¿De mil ochocientos y poco?"
1,1,JULIÁN,"Sí, es uno de ellos."
1,1,SALVADOR,"Él murió por disparo de arma reglamentaria de la Policía Municipal."
1,1,ERNESTO,"¿Se defendieron?"
1,1,SALVADOR,"No hay restos de pólvora en los dedos de los policías. Y sus armas habían desaparecido. El que robó las armas de los policías, disparó a su compañero y huyó…"
1,1,AMELIA,"¿A su época?"
1,1,SALVADOR,"Señores, señorita… este es su primer trabajo en el Ministerio. Tienen que ir a 1808…"
1,1,ERNESTO,Puerta 21.,,""
1,1,SALVADOR,"Deben localizar dónde está la puerta clandestina que han utilizado, e impedir que esas armas sean usadas, probablemente para cambiar el curso de la historia."
1,1,ERNESTO,"¿Cornejo? Te mando dos hombres y una mujer… ropas de principio del siglo XIX… avisa también a peluquería…"
1,1,IRENE,"Suponemos que la señal corresponde al sitio donde está la puerta que emplearon para venir al siglo XXI."
1,1,ALONSO,"¿Por qué le dais a ella el mapa?"
1,1,SALVADOR,"Porque ella está al mando."
1,1,ALONSO,"¿Cómo? Una mujer… esto es de locos…"
1,1,AMELIA,"Pero… ¿qué hacemos?"
1,1,SALVADOR,"Usted sabrá: está al mando."
1,1,AMELIA,"¿Pero cuál es el plan?"
1,1,SALVADOR,"Señores, somos españoles: improvisen."
1,1,AMELIA,"Por el amor de Dios… parezco mi abuela."
1,1,IRENE,"Eso decimos todos en nuestra primera misión."
1,1,AMELIA,"Pero es que…no… No estoy preparada."
1,1,IRENE,"Eso también lo decimos todos en nuestra primera misión. Vamos…"
1,1,ERNESTO,"Alonso, ¿tiene un momento?"
1,1,IRENE,"Te veo muy tranquilo para ser tu primer viaje… Toma. Si necesitáis algo, el número está en la agenda."
1,1,JULIÁN,"¿Hay cobertura en el siglo XIX?"
1,1,IRENE,"Con esto, sí. Marcas el número, almohadilla, la fecha a la que llamas… hora, asterisco, día, asterisco, mes, asterisco, año… almohadilla."
1,1,JULIÁN,"¿Y tiene cámara?"
1,1,IRENE,"Y juegos. Escucha: no lo uses cuando cruces una puerta que se vuelve loco. Y de vez en cuando se bloquea."
1,1,JULIÁN,"¿Y qué hago?"
1,1,IRENE,"Apagas y enciendes Os estará esperando un funcionario, Carrasco. Dale este sobre."
1,1,ERNESTO,"Ya es hora."
1,1,IRENE,"Suerte."
1,1,ALONSO,"¡AAAAAHHHHHHH!"
1,1,AMELIA,"¡AAAAAHHHHHHH!"
1,1,JULIÁN,"¡AAAAAHHHHHHH!"
1,1,CARRASCO,"¿Todo bien? Anda que no habré pedido veces al Ministerio que pongan una escalera. Algún un día vamos a tener una desgracia…"
1,1,AMELIA,"¿Carrasco? Tenemos que llegar aquí."
1,1,CARRASCO,"Eso es la Fonda del Oso. No está muy lejos, a caballo llegan en menos de media hora."
1,1,ALONSO,"¡No pretenderéis que la dama monte a caballo!"
1,1,AMELIA,"Yo sé montar a caballo…"
1,1,JULIÁN,"Pues lo siento, pero yo no."
1,1,ALONSO,"¿No sabéis montar a caballo?"
1,1,CARRASCO,"Pues para ir andando donde van, está un poco lejos."
1,1,AMELIA,"Tome, esto es para usted."
1,1,CARRASCO,"¡Pero cómo que nos quitan la extra de Navidad! ¡Pero esto qué es!"
1,1,JULIÁN,"Venga… Al hipódromo…"
1,1,AMELIA,"Por aquí ya han pasado los franceses."
1,1,ALONSO,"Esto en mi época sería imposible… Si cumplimos con nuestra misión, Francia nunca ganará esta guerra, ¿no? ¡¡¡Pues vamos!!!"
1,1,JULIÁN,"¿Pero a dónde va ese hombre tan rápido?"
1,1,AMELIA,"Deberíamos pedir habitaciones."
1,1,JULIÁN,"¿Tiene alojamiento?"
1,1,DUEÑO DE LA FONDA,"Justo me queda una alcoba y un chiscón. La alcoba, para su mujer y usted, y el chiscón para su criado."
1,1,AMELIA,"De acuerdo."
1,1,DUEÑO DE LA FONDA,"Necesito sus nombres. Me obligan."
1,1,AMELIA,"Amelia Folch."
1,1,ALONSO,"Alonso de Entrerríos."
1,1,JULIÁN,"Curro Jiménez."
1,1,DUEÑO DE LA FONDA,"Tomen algo mientras les preparan los cuartos."
1,1,ALONSO,"Tener que aguantar esto… de extranjeros…"
1,1,AMELIA,"Ante todo, no hay que llamar la atención…"
1,1,CAMARERA,"Les dejo esto pa matar el rato, ahora mismo tienen listas las alcobas."
1,1,SOLDADO FRANCÉS 1,"Viens ici, belle!"
1,1,CAMARERA,"¡Ahora vuelvo, mesié, que tengo la cantina llena!"
1,1,SOLDADO FRANCÉS 1,"Chienne!!!"
1,1,ALONSO,"¡Cuando una dama dice no es que no, aquí y en París!"
1,1,AMELIA,"¿Qué parte de no llamar la atención no ha quedado clara?"
1,1,ALONSO,"¡Dos franceses son muy pocos para un español!"
1,1,JULIÁN,"Aquí morimos…"
1,1,JUAN MARTÍN,"Si no le importa, claro…"
1,1,ALONSO,"Será un honor…"
1,1,THIBAUD,"Qu’est_ce qui passe ici?"
1,1,ALONSO,"Este hombre ha pegado a una dama. Y va a pagar por ello."
1,1,THIBAUD,"No hará falta … Ya me encargo yo… Allez immédiatement au quartier!"
1,1,JULIÁN,"¡Es él! ¡El tipo que vi en el incendio!"
1,1,THIBAUD,"Le ruego acepte mis disculpas, mademoiselle."
1,1,ALONSO,"Alonso de Entrerríos, para serviros…"
1,1,JUAN MARTÍN,"Eusebio Castañeda… igualmente…"
1,1,DUEÑO DE LA FONDA,"Mi mejor clarete, don Curro. Invita la casa."
1,1,JULIÁN,"¿Qué pasa?"
1,1,AMELIA,"Yo he visto antes a ese hombre… ¿pero cómo puede ser… si no nazco hasta dentro de cincuenta años?"
1,1,THIBAUD,"¿Estás segura de que es él? Ha dicho que su nombre es Eusebio Castañeda."
1,1,LOLA,"Es un nombre falso, te lo aseguro."
1,1,THIBAUD,"Gracias por tu información. Con ella lograremos la victoria. ¿Qué ocurre?"
1,1,LOLA,"Estaba pensando en Benito. Era un buen hombre."
1,1,THIBAUD,"Sí… Una gran pérdida. Pero en la guerra muchos hombres mueren."
1,1,LOLA,"Sí. Tal vez demasiados."
1,1,ALONSO,"Debimos entrar en la alcoba del francés mientras estaba abajo."
1,1,AMELIA,"Mañana, mejor. Cuando salga. Tendremos más tiempo."
1,1,JULIÁN,"Es la que manda."
1,1,ALONSO,"Mis aposentos. Con Dios."
1,1,AMELIA,"Buenas noches."
1,1,JULIÁN,"Buenas noches."
1,1,CAMARERA,"Tranquilo, que no te hace falta el puñal."
1,1,ALONSO,"Pero… ¿qué hacéis aquí, señora?"
