Me	me	PP1CS000
puede	poder	VMIP3S0
y	y	CC
debe	deber	VMIP3S0
tener	tener	VMN0000
plena	pleno	AQ0FS0
confianza	confianza	NCFS000
en	en	SPS00
el	el	DA0MS0
futuro	futuro	NCMS000
.	.	Fp
La	el	DA0FS0
economía	economía	NCFS000
mundial	mundial	AQ0CS0
ha	haber	VAIP3S0
venido	venir	VMP00SM
atravesando	atravesar	VMG0000
dificultades	dificultad	NCFP000
que	que	PR0CN000
han	haber	VAIP3P0
repercutido	repercutir	VMP00SM
en	en	SPS00
numerosos	numeroso	AQ0MP0
países	país	NCMP000
con	con	SPS00
los	el	DA0MP0
que	que	PR0CN000
tenemos	tener	VMIP1P0
importantes	importante	AQ0CP0
relaciones	relación	NCFP000
e	y	CC
intereses	interés	NCMP000
.	.	Fp
A	a	SPS00
España	españa	NP00G00
no	no	RN
ha	haber	VAIP3S0
dejado	dejar	VMP00SM
de	de	SPS00
afectar	afectar	VMN0000
le	le	PP3CSD00
esta	este	DD0FS0
situación	situación	NCFS000
.	.	Fp
Aunque	aunque	CC
soy	ser	VSIP1S0
consciente	consciente	AQ0CS0
de	de	SPS00
las	el	DA0FP0
incertidumbres	incertidumbre	NCFP000
económicas	económico	AQ0FP0
que	que	PR0CN000
aún	aun	RG
llegan	llegar	VMIP3P0
a	a	SPS00
muchos	mucho	DI0MP0
hogares	hogar	NCMP000
,	,	Fc
lo	el	DA0NS0
cierto	cierto	AQ0MS0
es	ser	VSIP3S0
,	,	Fc
sin	sin	SPS00
embargo	embargo	NCMS000
,	,	Fc
que	que	CS
nuestra	nuestro	DP1FSP
economía	economía	NCFS000
ha	haber	VAIP3S0
podido	poder	VMP00SM
amortiguar	amortiguar	VMN0000
los	el	DA0MP0
efectos	efecto	NCMP000
de	de	SPS00
la	el	DA0FS0
situación	situación	NCFS000
internacional	internacional	AQ0CS0
.	.	Fp
Esperemos	esperar	VMSP1P0
que	que	CS
pueda	poder	VMSP1S0
registrar	registrar	VMN0000
pronto	pronto	RG
una	uno	DI0FS0
mejora	mejora	NCFS000
significativa	significativo	AQ0FS0
que	que	PR0CN000
beneficie	beneficiar	VMSP3S0
a	a	SPS00
todas	todo	DI0FP0
las	el	DA0FP0
familias	familia	NCFP000
.	.	Fp
Hoy	hoy	RG
,	,	Fc
nuestra	nuestro	DP1FSP
sociedad	sociedad	NCFS000
demanda	demandar	VMIP3S0
el	el	DA0MS0
objetivo	objetivo	NCMS000
compartido	compartir	VMP00SM
de	de	SPS00
atender	atender	VMN0000
derechos	derecho	NCMP000
y	y	CC
aspiraciones	aspiración	NCFP000
que	que	PR0CN000
,	,	Fc
junto_a	junto_a	SPS00
las	el	DA0FP0
económicas	económico	AQ0FP0
,	,	Fc
hagan	hacer	VMSP3P0
de	de	SPS00
España	españa	NP00G00
un	uno	DI0MS0
país	país	NCMS000
cada	cada	DI0CS0
vez	vez	NCFS000
más	más	RG
equilibrado	equilibrar	VMP00SM
y	y	CC
justo	justo	AQ0MS0
,	,	Fc
donde	donde	PR000000
los	el	DA0MP0
ciudadanos	ciudadano	NCMP000
puedan	poder	VMSP3P0
disfrutar	disfrutar	VMN0000
en	en	SPS00
todos	todo	DI0MP0
los	el	DA0MP0
ámbitos	ámbito	NCMP000
de	de	SPS00
una	uno	DI0FS0
mayor	mayor	AQ0CS0
calidad	calidad	NCFS000
de	de	SPS00
vida	vida	NCFS000
,	,	Fc
especialmente	especialmente	RG
en_cuanto_a	en_cuanto_a	SPS00
oportunidades	oportunidad	NCFP000
de	de	SPS00
empleo	empleo	NCMS000
,	,	Fc
derechos	derecho	NCMP000
sociales	social	AQ0CP0
,	,	Fc
educación	educación	NCFS000
,	,	Fc
formación	formación	NCFS000
,	,	Fc
y	y	CC
vivienda	vivienda	NCFS000
,	,	Fc
una	uno	DI0FS0
aspiración	aspiración	NCFS000
particularmente	particularmente	RG
sentida	sentir	VMP00SF
por	por	SPS00
tantos	tanto	DI0MP0
jóvenes	joven	NCCP000
.	.	Fp
Para	para	SPS00
alcanzar	alcanzar	VMN0000
ese	ese	DD0MS0
objetivo	objetivo	NCMS000
,	,	Fc
es	ser	VSIP3S0
siempre	siempre	RG
importante	importante	AQ0CS0
que	que	CS
el	el	DA0MS0
Estado	estado	NP00O00
y	y	CC
sus	su	DP3CP0
distintas	distinto	AQ0FP0
administraciones	administración	NCFP000
públicas	público	AQ0FP0
puedan	poder	VMSP3P0
contar	contar	VMN0000
con	con	SPS00
el	el	DA0MS0
concurso	concurso	NCMS000
de	de	SPS00
las	el	DA0FP0
fuerzas	fuerza	NCFP000
políticas	político	AQ0FP0
,	,	Fc
económicas	económico	AQ0FP0
y	y	CC
sociales	social	AQ0CP0
conforme_a	conforme_a	SPS00
el	el	DA0MS0
afán	afán	NCMS000
colectivo	colectivo	AQ0MS0
de	de	SPS00
generosidad	generosidad	NCFS000
y	y	CC
colaboración	colaboración	NCFS000
que	que	PR0CN000
distingue	distinguir	VMIP3S0
a	a	SPS00
la	el	DA0FS0
sociedad	sociedad	NCFS000
española	español	AQ0FS0
.	.	Fp
La	el	DA0FS0
prosperidad	prosperidad	NCFS000
,	,	Fc
el	el	DA0MS0
buen	bueno	AQ0MS0
funcionamiento	funcionamiento	NCMS000
de	de	SPS00
las	el	DA0FP0
instituciones	institución	NCFP000
y	y	CC
la	el	DA0FS0
justicia	justicia	NCFS000
social	social	AQ0CS0
son	ser	VSIP3P0
factores	factor	NCMP000
destacados	destacar	VMP00PM
en	en	SPS00
la	el	DA0FS0
consecución	consecución	NCFS000
de	de	SPS00
el	el	DA0MS0
bienestar	bienestar	NCMS000
de	de	SPS00
la	el	DA0FS0
sociedad	sociedad	NCFS000
,	,	Fc
que	que	PR0CN000
deben	deber	VMIP3P0
estar	estar	VAN0000
comprometidos	comprometer	VMP00PM
con	con	SPS00
la	el	DA0FS0
conservación	conservación	NCFS000
de	de	SPS00
el	el	DA0MS0
medio	medio	AQ0MS0
ambiente	ambiente	NCMS000
.	.	Fp
El	el	DA0MS0
desastre	desastre	NCMS000
ocurrido	ocurrir	VMP00SM
en	en	SPS00
Galicia	galicia	NP00G00
nos	nos	PP1CP000
enseña	enseñar	VMIP3S0
que	que	CS
ésta	este	PD0FS000
debe	deber	VMIP3S0
ser	ser	VSN0000
una	uno	DI0FS0
de	de	SPS00
nuestras	nuestro	DP1FPP
principales	principal	AQ0CP0
preocupaciones	preocupación	NCFP000
.	.	Fp
El	el	DA0MS0
medio	medio	AQ0MS0
ambiente	ambiente	NCMS000
constituye	constituir	VMIP3S0
un	uno	DI0MS0
legado	legado	NCMS000
único	único	AQ0MS0
e	y	CC
irrepetible	irrepetible	AQ0CS0
,	,	Fc
fuente	fuente	NCFS000
de	de	SPS00
vida	vida	NCFS000
y	y	CC
progreso	progreso	NCMS000
,	,	Fc
que	que	PR0CN000
tenemos	tener	VMIP1P0
la	el	DA0FS0
obligación	obligación	NCFS000
de	de	SPS00
transmitir	transmitir	VMN0000
a	a	SPS00
las	el	DA0FP0
futuras	futuro	AQ0FP0
generaciones	generación	NCFP000
.	.	Fp
Tenemos	tener	VMIP1P0
otros	otro	DI0MP0
grandes	grande	AQ0CP0
retos	reto	NCMP000
ante	ante	SPS00
nosotros	nosotros	PP1MP000
.	.	Fp
Unidos	unir	VMP00PM
no	no	RN
nos	nos	PP1CP000
faltarán	faltar	VMIF3P0
ni	ni	CC
medios	medio	NCMP000
ni	ni	CC
oportunidades	oportunidad	NCFP000
para	para	SPS00
afrontar	afrontar	VMN0000
los	lo	PP3MPA00
y	y	CC
superar	superar	VMN0000
los	lo	PP3MPA00
.	.	Fp
Me	me	PP1CS000
quiero	querer	VMIP1S0
referir	referir	VMN0000
a	a	SPS00
el	el	DA0MS0
menos	menos	RG
a	a	SPS00
algunos	alguno	PI0MP000
de	de	SPS00
ellos	ellos	PP3MP000
.	.	Fp
Debemos	deber	VMIP1P0
redoblar	redoblar	VMN0000
nuestros	nuestro	DP1MPP
esfuerzos	esfuerzo	NCMP000
para	para	SPS00
ayudar	ayudar	VMN0000
a	a	SPS00
aquéllos	aquel	PD0MP000
que	que	PR0CN000
sufren	sufrir	VMIP3P0
los	el	DA0MP0
efectos	efecto	NCMP000
devastadores	devastador	AQ0MP0
de	de	SPS00
la	el	DA0FS0
drogodependencia	drogodependencia	NCFS000
,	,	Fc
a	a	SPS00
las	el	DA0FP0
personas	persona	NCFP000
discapacitadas	discapacitado	AQ0FP0
,	,	Fc
y	y	CC
a	a	SPS00
los	el	DA0MP0
menores	menor	AQ0CP0
y	y	CC
mujeres	mujer	NCFP000
que	que	PR0CN000
sufren	sufrir	VMIP3P0
abusos	abuso	NCMP000
y	y	CC
malos	malo	AQ0MP0
tratos	trato	NCMP000
,	,	Fc
proporcionando	proporcionar	VMG0000
les	le	PP3CPD00
la	el	DA0FS0
protección	protección	NCFS000
y	y	CC
asistencia	asistencia	NCFS000
necesarias	necesario	AQ0FP0
.	.	Fp
Tenemos	tener	VMIP1P0
la	el	DA0FS0
fortuna	fortuna	NCFS000
de	de	SPS00
contar	contar	VMN0000
todavía	todavía	RG
con	con	SPS00
muchas	mucho	DI0FP0
familias	familia	NCFP000
que	que	PR0CN000
tienen	tener	VMIP3P0
a	a	SPS00
su	su	DP3CS0
cargo	cargo	NCMS000
personas	persona	NCFP000
mayores	mayor	AQ0CP0
,	,	Fc
reforzando	reforzar	VMG0000
con	con	SPS00
esta	este	DD0FS0
relación	relación	NCFS000
,	,	Fc
entrañables	entrañable	AQ0CP0
y	y	CC
ejemplares	ejemplar	AQ0CP0
lazos	lazo	NCMP000
de	de	SPS00
afecto	afecto	NCMS000
,	,	Fc
cuyo	cuyo	PR0MS000
ejemplo	ejemplo	NCMS000
debe	deber	VMIP3S0
guiar	guiar	VMN0000
la	el	DA0FS0
atención	atención	NCFS000
que	que	CS
una	uno	DI0FS0
sociedad	sociedad	NCFS000
como	como	CS
la	el	DA0FS0
nuestra	nuestro	PX1FS0P0
debe	deber	VMIP3S0
prestar	prestar	VMN0000
a	a	SPS00
sus	su	DP3CP0
mayores	mayor	NCCP000
.	.	Fp
Seamos	ser	VSSP1P0
cada	cada	DI0CS0
vez	vez	NCFS000
más	más	RG
solidarios	solidario	AQ0MP0
igualmente	igualmente	RG
con	con	SPS00
aquéllos	aquel	PD0MP000
que	que	PR0CN000
contribuyen	contribuir	VMIP3P0
a	a	SPS00
nuestro	nuestro	DP1MSP
desarrollo	desarrollo	NCMS000
y	y	CC
llegan	llegar	VMIP3P0
a	a	SPS00
nuestro	nuestro	DP1MSP
país	país	NCMS000
en_busca_de	en_busca_de	SPS00
mejores	mejor	AQ0CP0
oportunidades	oportunidad	NCFP000
económicas	económico	AQ0FP0
y	y	CC
sociales	social	AQ0CP0
.	.	Fp
Recordemos	recordar	VMSP1P0
que	que	CS
también	también	RG
vienen	venir	VMIP3P0
atraídos	atraer	VMP00PM
por	por	SPS00
nuestra	nuestro	DP1FSP
cultura	cultura	NCFS000
de	de	SPS00
el	el	DA0MS0
respeto	respeto	NCMS000
a	a	SPS00
los	el	DA0MP0
derechos	derecho	NCMP000
de	de	SPS00
la	el	DA0FS0
persona	persona	NCFS000
y	y	CC
la	el	DA0FS0
seguridad	seguridad	NCFS000
jurídica	jurídico	AQ0FS0
de	de	SPS00
nuestro	nuestro	DP1MSP
sistema	sistema	NCMS000
democrático	democrático	AQ0MS0
,	,	Fc
valores	valor	NCMP000
que	que	PR0CN000
están	estar	VAIP3P0
llamados	llamar	VMP00PM
a	a	SPS00
disfrutar	disfrutar	VMN0000
,	,	Fc
respetar	respetar	VMN0000
y	y	CC
asumir	asumir	VMN0000
en	en	SPS00
un	uno	DI0MS0
clima	clima	NCMS000
de	de	SPS00
fructífera	fructífero	AQ0FS0
convivencia	convivencia	NCFS000
.	.	Fp
Dediquemos	dedicar	VMSP1P0
aún	aun	RG
mayor	mayor	AQ0CS0
atención	atención	NCFS000
a	a	SPS00
favorecer	favorecer	VMN0000
y	y	CC
aprovechar	aprovechar	VMN0000
el	el	DA0MS0
valioso	valioso	AQ0MS0
capital	capital	NCFS000
humano	humano	AQ0MS0
que	que	PR0CN000
encierra	encerrar	VMIP3S0
,	,	Fc
tanto	tanto	RG
nuestra	nuestro	DP1FSP
juventud	juventud	NCFS000
,	,	Fc
como	como	CS
quienes	quien	PR0CP000
acumulan	acumular	VMIP3P0
mayor	mayor	AQ0CS0
experiencia	experiencia	NCFS000
.	.	Fp
Tenemos	tener	VMIP1P0
una	uno	DI0FS0
juventud	juventud	NCFS000
generosa	generoso	AQ0FS0
,	,	Fc
presente	presente	NCMS000
en	en	SPS00
numerosas	numeroso	AQ0FP0
ONG	ong	NP00O00
.	.	Fp
s	segundo	NCMN000
en	en	SPS00
todo	todo	DI0MS0
el	el	DA0MS0
mundo	mundo	NCMS000
,	,	Fc
ayudando	ayudar	VMG0000
a	a	SPS00
los	el	DA0MP0
más	más	RG
necesitados	necesitar	VMP00PM
.	.	Fp
La	el	DA0FS0
misma	mismo	AQ0FS0
que	que	CS
en	en	SPS00
Galicia	galicia	NP00G00
está	estar	VAIP3S0
ofreciendo	ofrecer	VMG0000
su	su	DP3CS0
esfuerzo	esfuerzo	NCMS000
personal	personal	AQ0CS0
.	.	Fp
Esta	este	DD0FS0
juventud	juventud	NCFS000
es	ser	VSIP3S0
nuestra	nuestro	DP1FSP
esperanza	esperanza	NCFS000
y	y	CC
nuestro	nuestro	DP1MSP
futuro	futuro	NCMS000
.	.	Fp
Es	ser	VSIP3S0
una	uno	DI0FS0
juventud	juventud	NCFS000
preparada	preparar	VMP00SF
y	y	CC
que	que	PR0CN000
debe	deber	VMIP3S0
estar	estar	VAN0000
lo	lo	PP3CNA00
mejor	mejor	RG
cada	cada	DI0CS0
día	día	NCMS000
.	.	Fp
He	haber	VAIP1S0
aquí	aquí	RG
una	uno	DI0FS0
gran	gran	AQ0CS0
responsabilidad	responsabilidad	NCFS000
de	de	SPS00
el	el	DA0MS0
Estado	estado	NP00O00
y	y	CC
de	de	SPS00
la	el	DA0FS0
sociedad	sociedad	NCFS000
.	.	Fp
Contamos	contar	VMIP1P0
asimismo	asimismo	RG
con	con	SPS00
un	uno	DI0MS0
gran	gran	AQ0CS0
número	número	NCMS000
de	de	SPS00
ciudadanos	ciudadano	NCMP000
de	de	SPS00
edad	edad	NCFS000
con	con	SPS00
excelente	excelente	AQ0CS0
formación	formación	NCFS000
y	y	CC
experiencia	experiencia	NCFS000
.	.	Fp
Sería	ser	VSIC1S0
un	uno	DI0MS0
derroche	derroche	NCMS000
prescindir	prescindir	VMN0000
de	de	SPS00
ese	ese	DD0MS0
capital	capital	NCFS000
humano	humano	AQ0MS0
y	y	CC
de	de	SPS00
los	el	DA0MP0
grandes	grande	AQ0CP0
servicios	servicio	NCMP000
que	que	PR0CN000
pueden	poder	VMIP3P0
prestar	prestar	VMN0000
.	.	Fp
Una	uno	DI0FS0
vez	vez	NCFS000
más	más	RG
,	,	Fc
quiero	querer	VMIP1S0
subrayar	subrayar	VMN0000
que	que	CS
disponemos	disponer	VMIP1P0
de	de	SPS00
el	el	DA0MS0
marco	marco	NCMS000
y	y	CC
de	de	SPS00
los	el	DA0MP0
instrumentos	instrumento	NCMP000
necesarios	necesario	AQ0MP0
para	para	SPS00
asegurar	asegurar	VMN0000
la	el	DA0FS0
más	más	RG
estrecha	estrecho	AQ0FS0
convivencia	convivencia	NCFS000
entre	entre	SPS00
todos	todo	PI0MP000
y	y	CC
el	el	DA0MS0
más	más	RG
pleno	pleno	AQ0MS0
desarrollo	desarrollo	NCMS000
de	de	SPS00
nuestro	nuestro	DP1MSP
país	país	NCMS000
.	.	Fp
La	el	DA0FS0
Constitución	constitución	NCFS000
de	de	SPS00
1978	1978	Z
,	,	Fc
basada	basar	VMP00SF
en	en	SPS00
un	uno	DI0MS0
amplio	amplio	AQ0MS0
consenso	consenso	NCMS000
reflejado	reflejar	VMP00SM
en	en	SPS00
un	uno	DI0MS0
gran	gran	AQ0CS0
pacto	pacto	NCMS000
,	,	Fc
logró	lograr	VMIS3S0
articular	articular	VMN0000
diversidades	diversidad	NCFP000
y	y	CC
superar	superar	VMN0000
discrepancias	discrepancia	NCFP000
.	.	Fp
Nos	nos	PP1CP000
ha	haber	VAIP3S0
aportado	aportar	VMP00SM
un	uno	DI0MS0
modelo	modelo	NCCS000
equilibrado	equilibrar	VMP00SM
de	de	SPS00
convivencia	convivencia	NCFS000
.	.	Fp
Nadie	nadie	PI0CS000
puede	poder	VMIP3S0
negar	negar	VMN0000
le	le	PP3CSD00
este	este	DD0MS0
valor	valor	NCMS000
,	,	Fc
porque	porque	CS
su	su	DP3CS0
virtud	virtud	NCFS000
principal	principal	AQ0CS0
ha	haber	VAIP3S0
sido	ser	VSP00SM
vertebrar	vertebrar	VMN0000
a	a	SPS00
España	españa	NP00G00
como	como	CS
Nación	nación	NP00O00
plural	plural	AQ0CS0
,	,	Fc
integradora	integrador	AQ0FS0
de	de	SPS00
su	su	DP3CS0
rica	rico	AQ0FS0
diversidad	diversidad	NCFS000
,	,	Fc
y	y	CC
garantizar	garantizar	VMN0000
los	el	DA0MP0
derechos	derecho	NCMP000
y	y	CC
libertades	libertad	NCFP000
de	de	SPS00
todos	todo	DI0MP0
los	el	DA0MP0
españoles	español	NCMP000
por_igual	por_igual	RG
.	.	Fp
El	el	DA0MS0
marco	marco	NCMS000
constitucional	constitucional	AQ0CS0
legitima	legitimar	VMIP3S0
a	a	SPS00
la	el	DA0FS0
sociedad	sociedad	NCFS000
democrática	democrático	AQ0FS0
para	para	SPS00
combatir	combatir	VMN0000
toda	todo	DI0FS0
actividad	actividad	NCFS000
terrorista	terrorista	AQ0CS0
,	,	Fc
contando	contar	VMG0000
con	con	SPS00
los	el	DA0MP0
medios	medio	NCMP000
que	que	PR0CN000
proporciona	proporcionar	VMIP3S0
el	el	DA0MS0
Estado_de_Derecho	estado_de_derecho	NP00O00
.	.	Fp
No	no	RN
nos	nos	PP1CP000
cansaremos	cansar	VMIF1P0
de	de	SPS00
decir	decir	VMN0000
que	que	CS
el	el	DA0MS0
terrorismo	terrorismo	NCMS000
no	no	RN
tiene	tener	VMIP3S0
justificación	justificación	NCFS000
;	;	Fx
es	ser	VSIP3S0
un	uno	DI0MS0
crimen	crimen	NCMS000
cobarde	cobarde	AQ0CS0
y	y	CC
un	uno	DI0MS0
secuestro	secuestro	NCMS000
de	de	SPS00
las	el	DA0FP0
libertades	libertad	NCFP000
,	,	Fc
que	que	PR0CN000
atenta	atentar	VMIP3S0
contra	contra	SPS00
la	el	DA0FS0
seguridad	seguridad	NCFS000
y	y	CC
la	el	DA0FS0
estabilidad	estabilidad	NCFS000
que	que	PR0CN000
los	el	DA0MP0
ciudadanos	ciudadano	NCMP000
reclaman	reclamar	VMIP3P0
legítimamente	legítimamente	RG
.	.	Fp
El	el	DA0MS0
terrorismo	terrorismo	NCMS000
es	ser	VSIP3S0
rotundamente	rotundamente	RG
inmoral	inmoral	AQ0CS0
.	.	Fp
Provoca	provocar	VMM02S0
un	uno	DI0MS0
desgarro	desgarro	NCMS000
despiadado	despiadado	AQ0MS0
en	en	SPS00
las	el	DA0FP0
víctimas	víctima	NCFP000
y	y	CC
en	en	SPS00
sus	su	DP3CP0
familias	familia	NCFP000
,	,	Fc
a	a	SPS00
las	el	DA0FP0
que	que	PR0CN000
quiero	querer	VMIP1S0
expresar	expresar	VMN0000
en	en	SPS00
estas	este	DD0FP0
fechas	fecha	NCFP000
Mi	mi	NP00G00
afecto	afecto	NCMS000
y	y	CC
el	el	DA0MS0
de	de	SPS00
Mi	mi	NP00G00
familia	familia	NCFS000
,	,	Fc
y	y	CC
el	el	DA0MS0
deseo	deseo	NCMS000
de	de	SPS00
que	que	CS
se	se	P00CN000
vean	ver	VMSP3P0
reconfortadas	reconfortar	VMP00PF
por	por	SPS00
las	el	DA0FP0
pruebas	prueba	NCFP000
de	de	SPS00
solidaridad	solidaridad	NCFS000
de	de	SPS00
todos	todo	DI0MP0
los	el	DA0MP0
españoles	español	NCMP000
de	de	SPS00
buen	bueno	AQ0MS0
corazón	corazón	NCMS000
.	.	Fp
Mi	mi	DP1CSS
gratitud	gratitud	NCFS000
profunda	profundo	AQ0FS0
a	a	SPS00
todos	todo	DI0MP0
los	el	DA0MP0
miembros	miembro	NCMP000
de	de	SPS00
las	el	DA0FP0
fuerzas	fuerza	NCFP000
de	de	SPS00
seguridad	seguridad	NCFS000
,	,	Fc
que	que	PR0CN000
dedican	dedicar	VMIP3P0
sus	su	DP3CP0
vidas	vida	NCFP000
a	a	SPS00
velar	velar	VMN0000
por	por	SPS00
nuestros	nuestro	DP1MPP
derechos	derecho	NCMP000
y	y	CC
libertades	libertad	NCFP000
.	.	Fp
En	en	SPS00
el	el	DA0MS0
ámbito	ámbito	NCMS000
internacional	internacional	AQ0CS0
,	,	Fc
la	el	DA0FS0
cooperación	cooperación	NCFS000
es	ser	VSIP3S0
hoy	hoy	RG
indispensable	indispensable	AQ0CS0
si	si	CS
queremos	querer	VMIP1P0
reaccionar	reaccionar	VMN0000
adecuadamente	adecuadamente	RG
ante	ante	SPS00
acontecimientos	acontecimiento	NCMP000
que	que	PR0CN000
tienen_lugar	tener_lugar	VMIP3P0
no_sólo	no_sólo	CC
en	en	SPS00
España	españa	NP00G00
sino	sino	CC
en	en	SPS00
el	el	DA0MS0
exterior	exterior	NCMS000
,	,	Fc
y	y	CC
que	que	PR0CN000
influyen	influir	VMIP3P0
de	de	SPS00
forma	forma	NCFS000
directa	directo	AQ0FS0
o	o	CC
inmediata	inmediato	AQ0FS0
a	a	SPS00
nuestros	nuestro	DP1MPP
intereses	interés	NCMP000
.	.	Fp
El	el	DA0MS0
terrorismo	terrorismo	NCMS000
,	,	Fc
muchas	mucho	DI0FP0
crisis	crisis	NCFN000
políticas	político	AQ0FP0
o	o	CC
económicas	económico	AQ0FP0
,	,	Fc
o	o	CC
situaciones	situación	NCFP000
que	que	PR0CN000
afectan	afectar	VMIP3P0
a	a	SPS00
nuestra	nuestro	DP1FSP
seguridad	seguridad	NCFS000
,	,	Fc
que	que	PR0CN000
tienen_lugar	tener_lugar	VMIP3P0
más_allá_de	más_allá_de	SPS00
nuestras	nuestro	DP1FPP
fronteras	frontera	NCFP000
,	,	Fc
incluso	incluso	RG
en	en	SPS00
escenarios	escenario	NCMP000
distantes	distante	AQ0CP0
,	,	Fc
repercuten	repercutir	VMIP3P0
en	en	SPS00
nuestra	nuestro	DP1FSP
vida	vida	NCFS000
diaria	diario	AQ0FS0
.	.	Fp
Dentro_de	dentro_de	SPS00
esa	ese	DD0FS0
nueva	nuevo	AQ0FS0
dinámica	dinámica	NCFS000
de	de	SPS00
la	el	DA0FS0
acción	acción	NCFS000
internacional	internacional	AQ0CS0
de	de	SPS00
España	españa	NP00G00
no	no	RN
quiero	querer	VMIP1S0
dejar	dejar	VMN0000
de	de	SPS00
destacar	destacar	VMN0000
la	el	DA0FS0
gran	gran	AQ0CS0
labor	labor	NCFS000
a	a	SPS00
el	el	DA0MS0
servicio	servicio	NCMS000
de	de	SPS00
la	el	DA0FS0
paz	paz	NCFS000
que	que	PR0CN000
,	,	Fc
con	con	SPS00
tanta	tanto	DI0FS0
eficacia	eficacia	NCFS000
,	,	Fc
despliegan	desplegar	VMIP3P0
nuestras	nuestro	DP1FPP
Fuerzas_Armadas	fuerzas_armadas	NP00O00
.	.	Fp
En	en	SPS00
el	el	DA0MS0
ámbito	ámbito	NCMS000
exterior	exterior	AQ0CS0
,	,	Fc
junto_a	junto_a	SPS00
nuestras	nuestro	DP1FPP
relaciones	relación	NCFP000
con	con	SPS00
Iberoamérica	iberoamérica	NP00G00
y	y	CC
el	el	DA0MS0
Mediterráneo	mediterráneo	NP00G00
,	,	Fc
