Buenas	bueno	AQ0FP0
provocan	provocar	VMIP3P0
,	,	Fc
con	con	SPS00
toda	todo	DI0FS0
razón	razón	NCFS000
,	,	Fc
indignación	indignación	NCFS000
y	y	CC
desencanto	desencanto	NCMS000
.	.	Fp
Los	el	DA0MP0
problemas	problema	NCMP000
que	que	PR0CN000
he	haber	VAIP1S0
mencionado	mencionar	VMP00SM
han	haber	VAIP3P0
dado	dar	VMP00SM
lugar	lugar	NCMS000
a	a	SPS00
una	uno	DI0FS0
seria	serio	AQ0FS0
preocupación	preocupación	NCFS000
social	social	AQ0CS0
.	.	Fp
Sin	sin	SPS00
embargo	embargo	NCMS000
,	,	Fc
no	no	RN
debemos	deber	VMIP1P0
dejar	dejar	VMN0000
nos	nos	PP1CP000
vencer	vencer	VMN0000
por	por	SPS00
el	el	DA0MS0
pesimismo	pesimismo	NCMS000
,	,	Fc
el	el	DA0MS0
malestar	malestar	NCMS000
social	social	AQ0CS0
,	,	Fc
o	o	CC
por	por	SPS00
el	el	DA0MS0
desánimo	desánimo	NCMS000
;	;	Fx
sino	sino	CC
afrontar	afrontar	VMN0000
con	con	SPS00
firmeza	firmeza	NCFS000
y	y	CC
eficacia	eficacia	NCFS000
las	el	DA0FP0
causas	causa	NCFP000
de	de	SPS00
esos	ese	DD0MP0
problemas	problema	NCMP000
,	,	Fc
resolver	resolver	VMN0000
los	lo	PP3MPA00
y	y	CC
recuperar	recuperar	VMN0000
el	el	DA0MS0
sosiego	sosiego	NCMS000
y	y	CC
la	el	DA0FS0
serenidad	serenidad	NCFS000
que	que	PR0CN000
requiere	requerir	VMIP3S0
y	y	CC
merece	merecer	VMIP3S0
una	uno	DI0FS0
sociedad	sociedad	NCFS000
democrática	democrático	AQ0FS0
como	como	CS
la	el	DA0FS0
nuestra	nuestro	PX1FS0P0
.	.	Fp
El	el	DA0MS0
pasado	pasar	VMP00SM
mes	mes	NCMS000
de	de	SPS00
octubre	octubre	NCMS000
afirmé	afirmar	VMIS1S0
en	en	SPS00
Asturias	asturias	NP00G00
que	que	PR0CN000
necesitábamos	necesitar	VMII1P0
referencias	referencia	NCFP000
morales	moral	AQ0CP0
a	a	SPS00
las	el	DA0FP0
que	que	PR0CN000
admirar	admirar	VMN0000
,	,	Fc
principios	principio	NCMP000
éticos	ético	AQ0MP0
que	que	CS
reconocer	reconocer	VMN0000
,	,	Fc
valores	valor	NCMP000
cívicos	cívico	AQ0MP0
que	que	PR0CN000
preservar	preservar	VMN0000
.	.	Fp
Decía	decir	VMII3S0
,	,	Fc
entonces	entonces	RG
,	,	Fc
que	que	PR0CN000
necesitábamos	necesitar	VMII1P0
un	uno	DI0MS0
gran	gran	AQ0CS0
impulso	impulso	NCMS000
moral	moral	AQ0CS0
colectivo	colectivo	AQ0MS0
.	.	Fp
Y	y	CC
quiero	querer	VMIP1S0
añadir	añadir	VMN0000
ahora	ahora	RG
que	que	CS
necesitamos	necesitar	VMIP1P0
una	uno	DI0FS0
profunda	profundo	AQ0FS0
regeneración	regeneración	NCFS000
de	de	SPS00
nuestra	nuestro	DP1FSP
vida	vida	NCFS000
colectiva	colectivo	AQ0FS0
.	.	Fp
Y	y	CC
en	en	SPS00
esa	ese	DD0FS0
tarea	tarea	NCFS000
,	,	Fc
la	el	DA0FS0
lucha	lucha	NCFS000
contra	contra	SPS00
la	el	DA0FS0
corrupción	corrupción	NCFS000
es	ser	VSIP3S0
un	uno	DI0MS0
objetivo	objetivo	NCMS000
irrenunciable	irrenunciable	AQ0CS0
.	.	Fp
Es	ser	VSIP3S0
cierto	cierto	AQ0MS0
que	que	CS
los	el	DA0MP0
responsables	responsable	NCCP000
de	de	SPS00
esas	ese	DD0FP0
conductas	conducta	NCFP000
irregulares	irregular	AQ0CP0
están	estar	VAIP3P0
respondiendo	responder	VMG0000
de	de	SPS00
ellas	ellos	PP3FP000
;	;	Fx
eso	ese	PD0NS000
es	ser	VSIP3S0
una	uno	DI0FS0
prueba	prueba	NCFS000
de	de	SPS00
el	el	DA0MS0
funcionamiento	funcionamiento	NCMS000
de	de	SPS00
nuestro	nuestro	DP1MSP
Estado_de_Derecho	estado_de_derecho	NP00O00
.	.	Fp
Como	como	CS
es	ser	VSIP3S0
verdad	verdad	NCFS000
también	también	RG
que	que	CS
la	el	DA0FS0
gran	gran	AQ0CS0
mayoría	mayoría	NCFS000
de	de	SPS00
los	el	DA0MP0
servidores	servidor	NCMP000
públicos	público	AQ0MP0
desempeñan	desempeñar	VMIP3P0
sus	su	DP3CP0
tareas	tarea	NCFP000
con	con	SPS00
honradez	honradez	NCFS000
y	y	CC
voluntad	voluntad	NCFS000
de	de	SPS00
servir	servir	VMN0000
a	a	SPS00
los	el	DA0MP0
intereses	interés	NCMP000
generales	general	AQ0CP0
.	.	Fp
Pero	pero	CC
es	ser	VSIP3S0
necesario	necesario	AQ0MS0
también	también	RG
y	y	CC
sobre	sobre	SPS00
todo	todo	DI0MS0
evitar	evitar	VMN0000
que	que	CS
esas	ese	DD0FP0
conductas	conducta	NCFP000
echen	echar	VMSP3P0
raíces	raíz	NCFP000
en	en	SPS00
nuestra	nuestro	DP1FSP
sociedad	sociedad	NCFS000
y	y	CC
se	se	P00CN000
puedan	poder	VMSP3P0
reproducir	reproducir	VMN0000
en	en	SPS00
el	el	DA0MS0
futuro	futuro	NCMS000
.	.	Fp
Los	el	DA0MP0
ciudadanos	ciudadano	NCMP000
necesitan	necesitar	VMIP3P0
estar	estar	VAN0000
seguros	seguro	AQ0MP0
de	de	SPS00
que	que	CS
el	el	DA0MS0
dinero	dinero	NCMS000
público	público	AQ0MS0
se	se	P00CN000
administra	administrar	VMIP3S0
para	para	SPS00
los	el	DA0MP0
fines	fin	NCMP000
legalmente	legalmente	RG
previstos	prever	VMP00PM
;	;	Fx
que	que	CS
no	no	RN
existen	existir	VMIP3P0
tratos	trato	NCMP000
de	de	SPS00
favor	favor	NCMS000
por	por	SPS00
ocupar	ocupar	VMN0000
una	uno	DI0FS0
responsabilidad	responsabilidad	NCFS000
pública	público	AQ0FS0
;	;	Fx
que	que	CS
desempeñar	desempeñar	VMN0000
un	uno	DI0MS0
cargo	cargo	NCMS000
público	público	AQ0MS0
no	no	RN
sea	ser	VSSP1S0
un_medio	1/2	Zp
para	para	SPS00
aprovechar	aprovechar	VMN0000
se	se	PP3CN000
o	o	CC
enriquecer	enriquecer	VMN0000
se	se	PP3CN000
;	;	Fx
que	que	CS
no	no	RN
se	se	P00CN000
empañe	empañar	VMSP3S0
nuestro	nuestro	DP1MSP
prestigio	prestigio	NCMS000
y	y	CC
buena	bueno	AQ0FS0
imagen	imagen	NCFS000
en	en	SPS00
el	el	DA0MS0
mundo	mundo	NCMS000
.	.	Fp
Pocos	poco	DI0MP0
temas	tema	NCMP000
como	como	CS
éste	este	PD0MS000
suscitan	suscitar	VMIP3P0
una	uno	DI0FS0
opinión	opinión	NCFS000
tan	tan	RG
unánime	unánime	AQ0CS0
.	.	Fp
Debemos	deber	VMIP1P0
cortar	cortar	VMN0000
de	de	SPS00
raíz	raíz	NCFS000
y	y	CC
sin	sin	SPS00
contemplaciones	contemplación	NCFP000
la	el	DA0FS0
corrupción	corrupción	NCFS000
.	.	Fp
La	el	DA0FS0
honestidad	honestidad	NCFS000
de	de	SPS00
los	el	DA0MP0
servidores	servidor	NCMP000
públicos	público	AQ0MP0
es	ser	VSIP3S0
un	uno	DI0MS0
pilar	pilar	NCMS000
básico	básico	AQ0MS0
de	de	SPS00
nuestra	nuestro	DP1FSP
convivencia	convivencia	NCFS000
en	en	SPS00
una	uno	DI0FS0
España	españa	NP00G00
que	que	PR0CN000
todos	todo	PI0MP000
queremos	querer	VMIP1P0
sana	sano	AQ0FS0
,	,	Fc
limpia	limpio	AQ0FS0
.	.	Fp
También	también	RG
quiero	querer	VMIP1S0
hablar	hablar	VMN0000
os	os	PP2CP000
de	de	SPS00
la	el	DA0FS0
situación	situación	NCFS000
económica	económico	AQ0FS0
,	,	Fc
porque	porque	CS
continúa	continuar	VMIP3S0
siendo	ser	VSG0000
un	uno	DI0MS0
motivo	motivo	NCMS000
de	de	SPS00
grave	grave	AQ0CS0
preocupación	preocupación	NCFS000
para	para	SPS00
todos	todo	PI0MP000
.	.	Fp
Los	el	DA0MP0
índices	índice	NCMP000
de	de	SPS00
desempleo	desempleo	NCMS000
son	ser	VSIP3P0
todavía	todavía	RG
inaceptables	inaceptable	AQ0CP0
y	y	CC
frustran	frustrar	VMIP3P0
las	el	DA0FP0
expectativas	expectativa	NCFP000
de	de	SPS00
nuestros	nuestro	DP1MPP
jóvenes	joven	NCCP000
y	y	CC
de	de	SPS00
muchos	mucho	PI0MP000
más	más	RG
hombres	hombre	NCMP000
y	y	CC
mujeres	mujer	NCFP000
que	que	PR0CN000
llevan	llevar	VMIP3P0
tiempo	tiempo	NCMS000
en	en	SPS00
el	el	DA0MS0
paro	paro	NCMS000
.	.	Fp
Es	ser	VSIP3S0
cierto	cierto	AQ0MS0
que	que	CS
nuestras	nuestro	DP1FPP
empresas	empresa	NCFP000
son	ser	VSIP3P0
punteras	puntero	AQ0FP0
en	en	SPS00
muchos	mucho	DI0MP0
sectores	sector	NCMP000
en	en	SPS00
todo	todo	DI0MS0
el	el	DA0MS0
mundo	mundo	NCMS000
;	;	Fx
pero	pero	CC
también	también	RG
lo	lo	PP3CNA00
es	ser	VSIP3S0
que	que	CS
nuestra	nuestro	DP1FSP
economía	economía	NCFS000
no	no	RN
ha	haber	VAIP3S0
sido	ser	VSP00SM
capaz	capaz	AQ0CS0
,	,	Fc
todavía	todavía	RG
,	,	Fc
de	de	SPS00
resolver	resolver	VMN0000
de	de	SPS00
manera	manera	NCFS000
definitiva	definitivo	AQ0FS0
este	este	DD0MS0
desequilibrio	desequilibrio	NCMS000
fundamental	fundamental	AQ0CS0
.	.	Fp
No_obstante	no_obstante	CC
,	,	Fc
es	ser	VSIP3S0
un	uno	DI0MS0
hecho	hecho	NCMS000
muy	muy	RG
positivo	positivo	AQ0MS0
que	que	CS
las	el	DA0FP0
principales	principal	AQ0CP0
magnitudes	magnitud	NCFP000
macroeconómicas	macroeconómico	AQ0FP0
están	estar	VAIP3P0
mejorando	mejorar	VMG0000
y	y	CC
que	que	PR0CN000
hemos	haber	VAIP1P0
recuperado	recuperar	VMP00SM
el	el	DA0MS0
crecimiento	crecimiento	NCMS000
económico	económico	AQ0MS0
y	y	CC
la	el	DA0FS0
creación	creación	NCFS000
de	de	SPS00
empleo	empleo	NCMS000
.	.	Fp
Estos	este	DD0MP0
datos	dato	NCMP000
son	ser	VSIP3P0
una	uno	DI0FS0
base	base	NCCS000
nueva	nuevo	AQ0FS0
para	para	SPS00
la	el	DA0FS0
esperanza	esperanza	NCFS000
de	de	SPS00
que	que	CS
,	,	Fc
en	en	SPS00
el	el	DA0MS0
futuro	futuro	NCMS000
,	,	Fc
puedan	poder	VMSP3P0
generar	generar	VMN0000
se	se	PP3CN000
de	de	SPS00
forma	forma	NCFS000
sostenible	sostenible	AQ0CS0
muchos	mucho	PI0MP000
más	más	RG
empleos	empleo	NCMP000
y	y	CC
,	,	Fc
especialmente	especialmente	RG
,	,	Fc
empleos	empleo	NCMP000
de	de	SPS00
calidad	calidad	NCFS000
.	.	Fp
Es	ser	VSIP3S0
evidente	evidente	AQ0CS0
,	,	Fc
por	por	SPS00
tanto	tanto	RG
,	,	Fc
que	que	CS
la	el	DA0FS0
lucha	lucha	NCFS000
contra	contra	SPS00
el	el	DA0MS0
paro	paro	NCMS000
debe	deber	VMIP3S0
continuar	continuar	VMN0000
siendo	ser	VSG0000
nuestra	nuestro	DP1FSP
gran	gran	AQ0CS0
prioridad	prioridad	NCFS000
.	.	Fp
El	el	DA0MS0
sacrificio	sacrificio	NCMS000
y	y	CC
el	el	DA0MS0
esfuerzo	esfuerzo	NCMS000
de	de	SPS00
los	el	DA0MP0
ciudadanos	ciudadano	NCMP000
durante	durante	SPS00
toda	todo	DI0FS0
la	el	DA0FS0
crisis	crisis	NCFN000
económica	económico	AQ0FS0
exige	exigir	VMIP3S0
que	que	CS
los	el	DA0MP0
agentes	agente	NCCP000
políticos	político	AQ0MP0
,	,	Fc
económicos	económico	AQ0MP0
y	y	CC
sociales	social	AQ0CP0
trabajen	trabajar	VMSP3P0
unidos	unir	VMP00PM
permanentemente	permanentemente	RG
en	en	SPS00
esta	este	DD0FS0
dirección	dirección	NCFS000
,	,	Fc
anteponiendo	anteponer	VMG0000
sólo	sólo	RG
el	el	DA0MS0
interés	interés	NCMS000
de	de	SPS00
la	el	DA0FS0
ciudadanía	ciudadanía	NCFS000
.	.	Fp
Porque	porque	CS
la	el	DA0FS0
economía	economía	NCFS000
debe	deber	VMIP3S0
estar	estar	VAN0000
siempre	siempre	RG
a	a	SPS00
el	el	DA0MS0
servicio	servicio	NCMS000
de	de	SPS00
las	el	DA0FP0
personas	persona	NCFP000
.	.	Fp
Por	por	SPS00
eso	ese	PD0NS000
,	,	Fc
debemos	deber	VMIP1P0
proteger	proteger	VMN0000
especialmente	especialmente	RG
a	a	SPS00
las	el	DA0FP0
personas	persona	NCFP000
más	más	RG
desfavorecidas	desfavorecer	VMP00PF
y	y	CC
vulnerables	vulnerable	AQ0CP0
.	.	Fp
Y	y	CC
para	para	SPS00
ello	ello	PD0NS000
debemos	deber	VMIP1P0
seguir	seguir	VMN0000
garantizando	garantizar	VMG0000
nuestro	nuestro	DP1MSP
Estado_de_Bienestar	estado_de_bienestar	NP00SP0
,	,	Fc
que	que	PR0CN000
ha	haber	VAIP3S0
sido	ser	VSP00SM
durante	durante	SPS00
estos	este	DD0MP0
años	año	NCMP000
de	de	SPS00
crisis	crisis	NCFN000
el	el	DA0MS0
soporte	soporte	NCMS000
de	de	SPS00
nuestra	nuestro	DP1FSP
cohesión	cohesión	NCFS000
social	social	AQ0CS0
,	,	Fc
junto_a	junto_a	SPS00
las	el	DA0FP0
familias	familia	NCFP000
y	y	CC
a	a	SPS00
las	el	DA0FP0
asociaciones	asociación	NCFP000
y	y	CC
movimientos	movimiento	NCMP000
solidarios	solidario	AQ0MP0
.	.	Fp
Algo	algo	PI0CS000
de	de	SPS00
lo	el	DA0NS0
que	que	PR0CN000
debemos	deber	VMIP1P0
realmente	realmente	RG
sentir	sentir	VMN0000
nos	nos	PP1CP000
orgullosos	orgulloso	AQ0MP0
.	.	Fp
Quiero	querer	VMIP1S0
referir	referir	VMN0000
me	me	PP1CS000
ahora	ahora	RG
también	también	RG
a	a	SPS00
la	el	DA0FS0
situación	situación	NCFS000
que	que	PR0CN000
se	se	P00CN000
vive	vivir	VMIP3S0
actualmente	actualmente	RG
en	en	SPS00
Cataluña	cataluña	NP00G00
.	.	Fp
El	el	DA0MS0
pueblo	pueblo	NCMS000
español	español	AQ0MS0
,	,	Fc
en	en	SPS00
el	el	DA0MS0
ejercicio	ejercicio	NCMS000
de	de	SPS00
su	su	DP3CS0
soberanía	soberanía	NCFS000
nacional	nacional	AQ0CS0
,	,	Fc
ratificó	ratificar	VMIS3S0
mediante	mediante	SPS00
referéndum	referéndum	NCMS000
la	el	DA0FS0
Constitución	constitución	NP00V00
de	de	SPS00
1978	1978	Z
,	,	Fc
que	que	PR0CN000
proclamó	proclamar	VMIS3S0
nuestra	nuestro	DP1FSP
unidad	unidad	NCFS000
histórica	histórico	AQ0FS0
y	y	CC
política	político	AQ0FS0
y	y	CC
reconoció	reconocer	VMIS3S0
el	el	DA0MS0
derecho	derecho	NCMS000
de	de	SPS00
todos	todo	PI0MP000
a	a	SPS00
sentir	sentir	VMN0000
se	se	PP3CN000
y	y	CC
ser	ser	VSN0000
respetados	respetar	VMP00PM
en	en	SPS00
su	su	DP3CS0
propia	propio	AQ0FS0
personalidad	personalidad	NCFS000
,	,	Fc
en	en	SPS00
su	su	DP3CS0
cultura	cultura	NCFS000
,	,	Fc
tradiciones	tradición	NCFP000
,	,	Fc
lenguas	lengua	NCFP000
e	y	CC
instituciones	institución	NCFP000
.	.	Fp
Bajo	bajo	SPS00
ese	ese	DD0MS0
espíritu	espíritu	NCMS000
constitucional	constitucional	AQ0CS0
,	,	Fc
hemos	haber	VAIP1P0
convivido	convivir	VMP00SM
estos	este	DD0MP0
años	año	NCMP000
.	.	Fp
Cada	cada	DI0CS0
Comunidad	comunidad	NCFS000
,	,	Fc
cada	cada	DI0CS0
pueblo	pueblo	NCMS000
y	y	CC
territorio	territorio	NCMS000
de	de	SPS00
España	españa	NP00G00
,	,	Fc
cada	cada	DI0CS0
ciudadano	ciudadano	NCMS000
,	,	Fc
han	haber	VAIP3P0
aportado	aportar	VMP00SM
lo	el	DA0NS0
mejor	mejor	AQ0CS0
de	de	SPS00
sí	sí	PP3CNO00
mismos	mismo	AQ0MP0
en	en	SPS00
beneficio	beneficio	NCMS000
de	de	SPS00
todos	todo	PI0MP000
.	.	Fp
Y	y	CC
sin	sin	SPS00
duda	duda	NCFS000
,	,	Fc
desde	desde	SPS00
Cataluña	cataluña	NP00G00
,	,	Fc
se	se	P00CN000
ha	haber	VAIP3S0
contribuido	contribuir	VMP00SM
a	a	SPS00
la	el	DA0FS0
estabilidad	estabilidad	NCFS000
política	político	AQ0FS0
de	de	SPS00
toda	todo	DI0FS0
España	españa	NP00O00
y	y	CC
a	a	SPS00
su	su	DP3CS0
progreso	progreso	NCMS000
económico	económico	AQ0MS0
.	.	Fp
Es	ser	VSIP3S0
evidente	evidente	AQ0CS0
que	que	CS
todos	todo	PI0MP000
nos	nos	PP1CP000
necesitamos	necesitar	VMIP1P0
.	.	Fp
Formamos_parte	formar_parte	VMIP1P0
de	de	SPS00
un	uno	DI0MS0
tronco	tronco	NCMS000
común	común	AQ0CS0
de	de	SPS00
el	el	DA0MS0
que	que	PR0CN000
somos	ser	VSIP1P0
complementarios	complementario	AQ0MP0
los	el	DA0MP0
unos	uno	PI0MP000
de	de	SPS00
los	el	DA0MP0
otros	otro	PI0MP000
pero	pero	CC
imprescindibles	imprescindible	AQ0CP0
para	para	SPS00
el	el	DA0MS0
progreso	progreso	NCMS000
de	de	SPS00
cada	cada	DI0CS0
uno	uno	PI0MS000
en	en	SPS00
particular	particular	AQ0CS0
y	y	CC
de	de	SPS00
todos	todo	PI0MP000
en	en	SPS00
conjunto	conjunto	NCMS000
.	.	Fp
Pero	pero	CC
no	no	RN
se	se	P00CN000
trata	tratar	VMIP3S0
solo	solo	AQ0MS0
de	de	SPS00
economía	economía	NCFS000
o	o	CC
de	de	SPS00
intereses	interés	NCMP000
sino	sino	CC
también	también	RG
y	y	CC
sobre	sobre	SPS00
todo	todo	PI0MS000
,	,	Fc
de	de	SPS00
sentimientos	sentimiento	NCMP000
.	.	Fp
Millones	millón	NCMP000
de	de	SPS00
españoles	español	NCMP000
llevan	llevar	VMIP3P0
,	,	Fc
llevamos	llevar	VMIP1P0
,	,	Fc
a	a	SPS00
Cataluña	cataluña	NP00G00
en	en	SPS00
el	el	DA0MS0
corazón	corazón	NCMS000
.	.	Fp
Como	como	CS
también	también	RG
para	para	SPS00
millones	millón	NCMP000
de	de	SPS00
catalanes	catalán	NCMP000
los	el	DA0MP0
demás	demás	DI0CP0
españoles	español	NCMP000
forman_parte	formar_parte	VMIP3P0
de	de	SPS00
su	su	DP3CS0
propio	propio	AQ0MS0
ser	ser	NCMS000
.	.	Fp
Por	por	SPS00
eso	ese	PD0NS000
me	me	PP1CS000
duele	doler	VMIP3S0
y	y	CC
me	me	PP1CS000
preocupa	preocupar	VMIP3S0
que	que	CS
se	se	P00CN000
puedan	poder	VMSP3P0
producir	producir	VMN0000
fracturas	fractura	NCFP000
emocionales	emocional	AQ0CP0
,	,	Fc
desafectos	desafecto	NCMP000
o	o	CC
rechazos	rechazo	NCMP000
entre	entre	SPS00
familias	familia	NCFP000
,	,	Fc
amigos	amigo	NCMP000
o	o	CC
ciudadanos	ciudadano	NCMP000
.	.	Fp
Nadie	nadie	PI0CS000
en	en	SPS00
la	el	DA0FS0
España	españa	NP00G00
de	de	SPS00
hoy	hoy	RG
es	ser	VSIP3S0
adversario	adversario	NCMS000
de	de	SPS00
nadie	nadie	PI0CS000
.	.	Fp
Y	y	CC
lo	el	DA0NS0
que	que	PR0CN000
hace	hacer	VMIP3S0
de	de	SPS00
España	españa	NP00G00
una	uno	DI0FS0
nación	nación	NCFS000
con	con	SPS00
una	uno	DI0FS0
fuerza	fuerza	NCFS000
única	único	AQ0FS0
,	,	Fc
es	ser	VSIP3S0
la	el	DA0FS0
suma	suma	NCFS000
de	de	SPS00
nuestras	nuestro	DP1FPP
diferencias	diferencia	NCFP000
que	que	PR0CN000
debemos	deber	VMIP1P0
comprender	comprender	VMN0000
y	y	CC
respetar	respetar	VMN0000
y	y	CC
que	que	PR0CN000
siempre	siempre	RG
nos	nos	PP1CP000
deben	deber	VMIP3P0
acercar	acercar	VMN0000
y	y	CC
nunca	nunca	RG
distanciar	distanciar	VMN0000
.	.	Fp
Porque	porque	CS
todo	todo	PI0MS000
lo	el	DA0NS0
que	que	PR0CN000
hemos	haber	VAIP1P0
alcanzado	alcanzar	VMP00SM
juntos	junto	AQ0MP0
nace	nacer	VMIP3S0
de	de	SPS00
la	el	DA0FS0
fuerza	fuerza	NCFS000
de	de	SPS00
la	el	DA0FS0
unión	unión	NCFS000
.	.	Fp
Y	y	CC
la	el	DA0FS0
fuerza	fuerza	NCFS000
de	de	SPS00
esa	ese	DD0FS0
unidad	unidad	NCFS000
es	ser	VSIP3S0
la	el	DA0FS0
que	que	PR0CN000
nos	nos	PP1CP000
permitirá	permitir	VMIF3S0
llegar	llegar	VMN0000
más	más	RG
lejos	lejos	RG
y	y	CC
mejor	mejor	AQ0CS0
en	en	SPS00
un	uno	DI0MS0
mundo	mundo	NCMS000
que	que	PR0CN000
no	no	RN
acepta	aceptar	VMIP3S0
ni	ni	CC
la	el	DA0FS0
debilidad	debilidad	NCFS000
ni	ni	CC
la	el	DA0FS0
división	división	NCFS000
de	de	SPS00
las	el	DA0FP0
sociedades	sociedad	NCFP000
,	,	Fc
y	y	CC
que	que	PR0CN000
camina	caminar	VMIP3S0
hacia	hacia	SPS00
una	uno	DI0FS0
mayor	mayor	AQ0CS0
integración	integración	NCFS000
.	.	Fp
Los	el	DA0MP0
desencuentros	desencuentro	NCMP000
no	no	RN
se	se	P00CN000
resuelven	resolver	VMIP3P0
con	con	SPS00
rupturas	ruptura	NCFP000
emocionales	emocional	AQ0CP0
o	o	CC
sentimentales	sentimental	AQ0CP0
.	.	Fp
Hagamos	hacer	VMM01P0
todos	todo	DI0MP0
un	uno	DI0MS0
esfuerzo	esfuerzo	NCMS000
leal	leal	AQ0CS0
y	y	CC
sincero	sincero	AQ0MS0
,	,	Fc
y	y	CC
reencontremos	reencontrar	VMM01P0
nos	nos	PP1CP000
en	en	SPS00
lo	el	DA0NS0
que	que	PR0CN000
nunca	nunca	RG
deberíamos	deber	VMIC1P0
perder	perder	VMN0000
:	:	Fd
los	el	DA0MP0
afectos	afecto	NCMP000
mutuos	mutuo	AQ0MP0
y	y	CC
los	el	DA0MP0
sentimientos	sentimiento	NCMP000
que	que	PR0CN000
compartimos	compartir	VMIP1P0
.	.	Fp
Respetemos	respetar	VMM01P0
la	el	DA0FS0
Constitución	constitución	NCFS000
que	que	PR0CN000
es	ser	VSIP3S0
la	el	DA0FS0
garantía	garantía	NCFS000
de	de	SPS00
una	uno	DI0FS0
convivencia	convivencia	NCFS000
democrática	democrático	AQ0FS0
,	,	Fc
ordenada	ordenar	VMP00SF
,	,	Fc
en	en	SPS00
paz	paz	NCFS000
y	y	CC
libertad	libertad	NCFS000
.	.	Fp
Y	y	CC
sigamos	seguir	VMSP1P0
construyendo	construir	VMG0000
