Buenas	bueno	AQ0FP0
todos	todo	PI0MP000
,	,	Fc
mis	mi	DP1CPS
mejores	mejor	AQ0CP0
deseos	deseo	NCMP000
de	de	SPS00
paz	paz	NCFS000
y	y	CC
bienestar	bienestar	NCMS000
.	.	Fp
Estas	este	DD0FP0
fechas	fecha	NCFP000
invitan	invitar	VMIP3P0
siempre	siempre	RG
a	a	SPS00
la	el	DA0FS0
reflexión	reflexión	NCFS000
y	y	CC
a	a	SPS00
compartir	compartir	VMN0000
aspiraciones	aspiración	NCFP000
nobles	noble	AQ0CP0
y	y	CC
sentimientos	sentimiento	NCMP000
generosos	generoso	AQ0MP0
.	.	Fp
Permitid	permitir	VMM02P0
me	me	PP1CS000
,	,	Fc
pues	pues	CS
,	,	Fc
que	que	CS
aproveche	aprovechar	VMSP1S0
esta	este	DD0FS0
ocasión	ocasión	NCFS000
para	para	SPS00
trasladar	trasladar	VMN0000
os	os	PP2CP000
algunas	alguno	DI0FP0
consideraciones	consideración	NCFP000
y	y	CC
esperanzas	esperanza	NCFP000
,	,	Fc
con	con	SPS00
la	el	DA0FS0
sincera	sincero	AQ0FS0
voluntad	voluntad	NCFS000
de	de	SPS00
acertar	acertar	VMN0000
a	a	SPS00
interpretar	interpretar	VMN0000
con	con	SPS00
ellas	ellos	PP3FP000
vuestras	vuestro	DP2FPP
preocupaciones	preocupación	NCFP000
y	y	CC
anhelos	anhelo	NCMP000
.	.	Fp
El	el	DA0MS0
mundo	mundo	NCMS000
en	en	SPS00
el	el	DA0MS0
que	que	PR0CN000
vivimos	vivir	VMIP1P0
está	estar	VAIP3S0
evolucionando	evolucionar	VMG0000
muy	muy	RG
deprisa	deprisa	RG
.	.	Fp
Estamos	estar	VAIP1P0
asistiendo	asistir	VMG0000
a	a	SPS00
la	el	DA0FS0
quiebra	quiebra	NCFS000
de	de	SPS00
un	uno	DI0MS0
modelo	modelo	NCCS000
basado	basar	VMP00SM
en	en	SPS00
la	el	DA0FS0
hostilidad	hostilidad	NCFS000
y	y	CC
en	en	SPS00
la	el	DA0FS0
tensión	tensión	NCFS000
.	.	Fp
La	el	DA0FS0
sociedad	sociedad	NCFS000
internacional	internacional	AQ0CS0
busca	buscar	VMIP3S0
un	uno	DI0MS0
nuevo	nuevo	AQ0MS0
esquema	esquema	NCMS000
de	de	SPS00
relaciones	relación	NCFP000
que	que	PR0CN000
sustituya	sustituir	VMSP1S0
el	el	DA0MS0
enfrentamiento	enfrentamiento	NCMS000
por	por	SPS00
el	el	DA0MS0
entendimiento	entendimiento	NCMS000
,	,	Fc
la	el	DA0FS0
rivalidad	rivalidad	NCFS000
por	por	SPS00
la	el	DA0FS0
cooperación	cooperación	NCFS000
.	.	Fp
Es	ser	VSIP3S0
verdad	verdad	NCFS000
que	que	PR0CN000
subsisten	subsistir	VMIP3P0
focos	foco	NCMP000
de	de	SPS00
conflicto	conflicto	NCMS000
y	y	CC
regiones	región	NCFP000
en	en	SPS00
las	el	DA0FP0
que	que	PR0CN000
el	el	DA0MS0
odio	odio	NCMS000
y	y	CC
la	el	DA0FS0
sinrazón	sinrazón	NCFS000
aparentan	aparentar	VMIP3P0
estar	estar	VAN0000
ganando	ganar	VMG0000
la	el	DA0FS0
partida	partida	NCFS000
a	a	SPS00
la	el	DA0FS0
convivencia	convivencia	NCFS000
razonable	razonable	AQ0CS0
.	.	Fp
Sin	sin	SPS00
embargo	embargo	NCMS000
,	,	Fc
me	me	PP1CS000
parece	parecer	VMIP3S0
un	uno	DI0MS0
hecho	hecho	NCMS000
cierto	cierto	AQ0MS0
que	que	CS
la	el	DA0FS0
fuerza	fuerza	NCFS000
en	en	SPS00
las	el	DA0FP0
relaciones	relación	NCFP000
internacionales	internacional	AQ0CP0
va	ir	VMIP3S0
siendo	ser	VSG0000
,	,	Fc
cada	cada	DI0CS0
día	día	NCMS000
más	más	RG
,	,	Fc
moralmente	moralmente	RG
arrinconada	arrinconar	VMP00SF
por	por	SPS00
un	uno	DI0MS0
rechazo	rechazo	NCMS000
generalizado	generalizar	VMP00SM
y	y	CC
socialmente	socialmente	RG
desautorizada	desautorizar	VMP00SF
por	por	SPS00
espontáneos	espontáneo	AQ0MP0
movimientos	movimiento	NCMP000
de	de	SPS00
solidaridad	solidaridad	NCFS000
en_favor_de	en_favor_de	SPS00
sus	su	DP3CP0
víctimas	víctima	NCFP000
.	.	Fp
Este	este	DD0MS0
estado	estado	NCMS000
de	de	SPS00
ánimo	ánimo	NCMS000
de	de	SPS00
la	el	DA0FS0
comunidad	comunidad	NCFS000
internacional	internacional	AQ0CS0
nos	nos	PP1CP000
aporta	aportar	VMIP3S0
motivos	motivo	NCMP000
de	de	SPS00
esperanza	esperanza	NCFS000
.	.	Fp
Sabemos	saber	VMIP1P0
,	,	Fc
desde_luego	desde_luego	RG
,	,	Fc
que	que	CS
el	el	DA0MS0
mundo	mundo	NCMS000
está	estar	VAIP3S0
todavía	todavía	RG
lejos_de	lejos_de	SPS00
descartar	descartar	VMN0000
la	el	DA0FS0
violencia	violencia	NCFS000
como	como	CS
método	método	NCMS000
de	de	SPS00
solución	solución	NCFS000
de	de	SPS00
sus	su	DP3CP0
problemas	problema	NCMP000
.	.	Fp
Pero	pero	CC
también	también	RG
hemos	haber	VAIP1P0
visto	ver	VMP00SM
recientemente	recientemente	RG
,	,	Fc
y	y	CC
pienso	pensar	VMIP1S0
en	en	SPS00
particular	particular	NCCS000
en	en	SPS00
Oriente_Medio	oriente_medio	NP00G00
,	,	Fc
los	el	DA0MP0
pasos	paso	NCMP000
de	de	SPS00
gigante	gigante	NCCS000
que	que	PR0CN000
se	se	P00CN000
han	haber	VAIP3P0
dado	dar	VMP00SM
para	para	SPS00
encontrar	encontrar	VMN0000
arreglos	arreglo	NCMP000
civilizados	civilizar	VMP00PM
a	a	SPS00
conflictos	conflicto	NCMP000
seculares	secular	AQ0CP0
que	que	PR0CN000
han	haber	VAIP3P0
derramado	derramar	VMP00SM
sangre	sangre	NCFS000
tan	tan	RG
abundante	abundante	AQ0CS0
como	como	CS
estéril	estéril	AQ0CS0
.	.	Fp
Esta	este	DD0FS0
esperanzadora	esperanzador	AQ0FS0
evolución	evolución	NCFS000
nos	nos	PP1CP000
permite	permitir	VMIP3S0
afirmar	afirmar	VMN0000
que	que	CS
,	,	Fc
con	con	SPS00
sus	su	DP3CP0
naturales	natural	AQ0CP0
limitaciones	limitación	NCFP000
y	y	CC
contradicciones	contradicción	NCFP000
,	,	Fc
la	el	DA0FS0
voluntad	voluntad	NCFS000
de	de	SPS00
los	el	DA0MP0
pueblos	pueblo	NCMP000
de	de	SPS00
convivir	convivir	VMN0000
en	en	SPS00
paz	paz	NCFS000
va	ir	VMIP3S0
progresivamente	progresivamente	RG
abriendo	abrir	VMG0000
se	se	PP3CN000
paso	paso	NCMS000
frente_a	frente_a	SPS00
el	el	DA0MS0
deseo	deseo	NCMS000
de	de	SPS00
imponer	imponer	VMN0000
se	se	PP3CN000
sobre	sobre	SPS00
los	el	DA0MP0
otros	otro	PI0MP000
por	por	SPS00
cualquier	cualquiera	DI0CS0
medio	medio	NCMS000
.	.	Fp
En_paralelo	en_paralelo	RG
a	a	SPS00
esta	este	DD0FS0
voluntad	voluntad	NCFS000
de	de	SPS00
paz	paz	NCFS000
,	,	Fc
la	el	DA0FS0
comunidad	comunidad	NCFS000
internacional	internacional	AQ0CS0
tiene	tener	VMIP3S0
que	que	CS
cultivar	cultivar	VMN0000
hasta	hasta	SPS00
su	su	DP3CS0
extremo	extremo	NCMS000
la	el	DA0FS0
pasión	pasión	NCFS000
por	por	SPS00
la	el	DA0FS0
justicia	justicia	NCFS000
,	,	Fc
porque	porque	CS
la	el	DA0FS0
paz	paz	NCFS000
sin	sin	SPS00
justicia	justicia	NCFS000
es	ser	VSIP3S0
violencia	violencia	NCFS000
silenciosa	silencioso	AQ0FS0
.	.	Fp
Los	el	DA0MP0
medios	medio	NCMP000
de	de	SPS00
comunicación	comunicación	NCFS000
introducen	introducir	VMIP3P0
a_diario	a_diario	RG
en	en	SPS00
nuestras	nuestro	DP1FPP
vidas	vida	NCFP000
el	el	DA0MS0
triste	triste	AQ0CS0
espectáculo	espectáculo	NCMS000
de	de	SPS00
la	el	DA0FS0
miseria	miseria	NCFS000
,	,	Fc
la	el	DA0FS0
ignorancia	ignorancia	NCFS000
,	,	Fc
el	el	DA0MS0
hambre	hambre	NCFS000
y	y	CC
la	el	DA0FS0
opresión	opresión	NCFS000
que	que	PR0CN000
atenazan	atenazar	VMIP3P0
a	a	SPS00
miles	mil	NCMP000
de	de	SPS00
millones	millón	NCMP000
de	de	SPS00
seres	ser	NCMP000
humanos	humano	AQ0MP0
en	en	SPS00
amplias	amplio	AQ0FP0
regiones	región	NCFP000
de	de	SPS00
el	el	DA0MS0
mundo	mundo	NCMS000
.	.	Fp
Sabemos	saber	VMIP1P0
,	,	Fc
porque	porque	CS
nos	nos	PP1CP000
lo	lo	PP3CNA00
grita	gritar	VMIP3S0
nuestro	nuestro	DP1MSP
corazón	corazón	NCMS000
,	,	Fc
que	que	CS
este	este	DD0MS0
estado	estado	NCMS000
de	de	SPS00
cosas	cosa	NCFP000
es	ser	VSIP3S0
incompatible	incompatible	AQ0CS0
con	con	SPS00
la	el	DA0FS0
verdadera	verdadero	AQ0FS0
paz	paz	NCFS000
que	que	PR0CN000
todos	todo	PI0MP000
anhelamos	anhelar	VMIP1P0
.	.	Fp
En	en	SPS00
los	el	DA0MP0
países	país	NCMP000
que	que	PR0CN000
gozamos	gozar	VMIP1P0
de	de	SPS00
un	uno	DI0MS0
razonable	razonable	AQ0CS0
nivel	nivel	NCMS000
de	de	SPS00
desarrollo	desarrollo	NCMS000
,	,	Fc
el	el	DA0MS0
instrumento	instrumento	NCMS000
para	para	SPS00
hacer	hacer	VMN0000
realidad	realidad	NCFS000
esa	ese	DD0FS0
ambición	ambición	NCFS000
de	de	SPS00
justicia	justicia	NCFS000
no	no	RN
puede	poder	VMIP3S0
ser	ser	VSN0000
otro	otro	DI0MS0
que	que	PR0CN000
la	el	DA0FS0
solidaridad	solidaridad	NCFS000
activa	activo	AQ0FS0
y	y	CC
comprometida	comprometer	VMP00SF
.	.	Fp
Resulta	resultar	VMIP3S0
alentador	alentador	AQ0MS0
constatar	constatar	VMN0000
que	que	CS
la	el	DA0FS0
sociedad	sociedad	NCFS000
española	español	AQ0FS0
,	,	Fc
y	y	CC
en	en	SPS00
especial	especial	AQ0CS0
nuestra	nuestro	DP1FSP
juventud	juventud	NCFS000
,	,	Fc
ha	haber	VAIP3S0
dado	dar	VMP00SM
muestras	muestra	NCFP000
elocuentes	elocuente	AQ0CP0
de	de	SPS00
su	su	DP3CS0
ejemplar	ejemplar	AQ0CS0
capacidad	capacidad	NCFS000
para	para	SPS00
movilizar	movilizar	VMN0000
las	el	DA0FP0
conciencias	conciencia	NCFP000
en_favor_de	en_favor_de	SPS00
nobles	noble	AQ0CP0
ideales	ideal	NCMP000
y	y	CC
para	para	SPS00
aportar	aportar	VMN0000
su	su	DP3CS0
esfuerzo	esfuerzo	NCMS000
generoso	generoso	AQ0MS0
en	en	SPS00
beneficio	beneficio	NCMS000
de	de	SPS00
los	el	DA0MP0
que	que	PR0CN000
menos	menos	RG
tienen	tener	VMIP3P0
y	y	CC
de	de	SPS00
los	el	DA0MP0
que	que	PR0CN000
más	más	RG
sufren	sufrir	VMIP3P0
.	.	Fp
La	el	DA0FS0
Unión_Europea	unión_europea	NP00O00
sigue	seguir	VMIP3S0
consolidando	consolidar	VMG0000
se	se	PP3CN000
y	y	CC
reforzando	reforzar	VMG0000
la	el	DA0FS0
cohesión	cohesión	NCFS000
entre	entre	SPS00
sus	su	DP3CP0
miembros	miembro	NCMP000
,	,	Fc
a_el_tiempo_que	al_tiempo_que	CS
amplía	ampliar	VMIP3S0
sus	su	DP3CP0
límites	límite	NCMP000
y	y	CC
se	se	P00CN000
abre	abrir	VMIP3S0
a	a	SPS00
nuevos	nuevo	AQ0MP0
países	país	NCMP000
.	.	Fp
Los	el	DA0MP0
españoles	español	NCMP000
,	,	Fc
como	como	CS
tantos	tanto	DI0MP0
otros	otro	DI0MP0
europeos	europeo	NCMP000
,	,	Fc
estamos	estar	VAIP1P0
haciendo	hacer	VMG0000
un	uno	DI0MS0
gran	gran	AQ0CS0
esfuerzo	esfuerzo	NCMS000
de	de	SPS00
adaptación	adaptación	NCFS000
a	a	SPS00
las	el	DA0FP0
nuevas	nuevo	AQ0FP0
realidades	realidad	NCFP000
y	y	CC
desafíos	desafío	NCMP000
que	que	PR0CN000
entraña	entrañar	VMIP3S0
un	uno	DI0MS0
proyecto	proyecto	NCMS000
ambicioso	ambicioso	AQ0MS0
,	,	Fc
de	de	SPS00
el	el	DA0MS0
que	que	PR0CN000
tanto	tanto	RG
depende	depender	VMIP3S0
un	uno	DI0MS0
futuro	futuro	NCMS000
más	más	RG
próspero	próspero	AQ0MS0
y	y	CC
seguro	seguro	AQ0MS0
.	.	Fp
Recientemente	recientemente	RG
tuve	tener	VMIS1S0
ocasión	ocasión	NCFS000
en	en	SPS00
el	el	DA0MS0
Colegio_de_Europa	colegio_de_europa	NP00G00
,	,	Fc
de	de	SPS00
hacer	hacer	VMN0000
un	uno	DI0MS0
llamamiento	llamamiento	NCMS000
que	que	PR0CN000
ahora	ahora	RG
quisiera	querer	VMSI3S0
reiterar	reiterar	VMN0000
:	:	Fd
la	el	DA0FS0
Europa	europa	NCFS000
que	que	PR0CN000
estamos	estar	VAIP1P0
construyendo	construir	VMG0000
no	no	RN
debe	deber	VMIP3S0
olvidar	olvidar	VMN0000
nunca	nunca	RG
que	que	CS
,	,	Fc
además_de	además_de	SPS00
perseguir	perseguir	VMN0000
legítimas	legítimo	AQ0FP0
metas	meta	NCFP000
económicas	económico	AQ0FP0
,	,	Fc
ha	ha	I
de	de	SPS00
ser	ser	VSN0000
abierta	abrir	VMP00SF
y	y	CC
solidaria	solidario	AQ0FS0
y	y	CC
servir	servir	VMN0000
por	por	SPS00
encima_de	encima_de	SPS00
todo	todo	PI0MS000
a	a	SPS00
sus	su	DP3CP0
ciudadanos	ciudadano	NCMP000
,	,	Fc
que	que	PR0CN000
han	haber	VAIP3P0
de	de	SPS00
encontrar	encontrar	VMN0000
en	en	SPS00
ella	él	PP3FS000
el	el	DA0MS0
marco	marcar	VMIP1S0
adecuado	adecuar	VMP00SM
que	que	PR0CN000
les	le	PP3CPD00
permita	permitir	VMSP1S0
satisfacer	satisfacer	VMN0000
sus	sus	I
necesidades	necesidad	NCFP000
humanas	humanar	VMIP2S0
y	y	NCFS000
sociales	social	NCMP000
.	.	Fp
Este	este	DD0MS0
año	año	NCMS000
que	que	PR0CN000
estamos	estar	VAIP1P0
finalizando	finalizar	VMG0000
no	no	RN
ha	haber	VAIP3S0
sido	ser	VSP00SM
fácil	fácil	AQ0CS0
.	.	Fp
En	en	SPS00
nuestra	nuestro	DP1FSP
sociedad	sociedad	NCFS000
se	se	P00CN000
perciben	percibir	VMIP3P0
muestras	muestra	NCFP000
de	de	SPS00
inquietud	inquietud	NCFS000
y	y	CC
desánimo	desánimo	NCMS000
.	.	Fp
Seguimos	seguir	VMIS1P0
arrastrando	arrastrar	VMG0000
las	el	DA0FP0
graves	grave	AQ0CP0
consecuencias	consecuencia	NCFP000
sociales	social	AQ0CP0
que	que	PR0CN000
ha	haber	VAIP3S0
generado	generar	VMP00SM
la	el	DA0FS0
crisis	crisis	NCFN000
económica	económico	AQ0FS0
.	.	Fp
El	el	DA0MS0
desempleo	desempleo	NCMS000
continúa	continuar	VMIP3S0
afectando	afectar	VMG0000
a	a	SPS00
un	uno	DI0MS0
número	número	NCMS000
importante	importante	AQ0CS0
de	de	SPS00
personas	persona	NCFP000
,	,	Fc
en	en	SPS00
especial	especial	AQ0CS0
a	a	SPS00
los	el	DA0MP0
más	más	RG
jóvenes	joven	AQ0CP0
y	y	CC
a	a	SPS00
los	el	DA0MP0
sectores	sector	NCMP000
de	de	SPS00
población	población	NCFS000
más	más	RG
frágiles	frágil	AQ0CP0
.	.	Fp
Sin	sin	SPS00
embargo	embargo	NCMS000
,	,	Fc
hay	haber	VMIP3S0
signos	signo	NCMP000
alentadores	alentador	AQ0MP0
de	de	SPS00
recuperación	recuperación	NCFS000
económica	económico	AQ0FS0
.	.	Fp
Para	para	SPS00
que	que	CS
sus	su	DP3CP0
efectos	efecto	NCMP000
tengan	tener	VMSP3P0
la	el	DA0FS0
incidencia	incidencia	NCFS000
deseada	desear	VMP00SF
en	en	SPS00
la	el	DA0FS0
vida	vida	NCFS000
de	de	SPS00
cada	cada	DI0CS0
ciudadano	ciudadano	NCMS000
y	y	CC
en	en	SPS00
el	el	DA0MS0
desarrollo	desarrollo	NCMS000
armonioso	armonioso	AQ0MS0
y	y	CC
equitativo	equitativo	AQ0MS0
de	de	SPS00
nuestra	nuestro	DP1FSP
sociedad	sociedad	NCFS000
,	,	Fc
debemos	deber	VMIP1P0
aprovechar	aprovechar	VMN0000
nos	nos	PP1CP000
a	a	SPS00
fondo	fondo	NCMS000
en	en	SPS00
beneficio	beneficio	NCMS000
de	de	SPS00
el	el	DA0MS0
empleo	empleo	NCMS000
,	,	Fc
de	de	SPS00
el	el	DA0MS0
crecimiento	crecimiento	NCMS000
y	y	CC
de	de	SPS00
el	el	DA0MS0
progreso	progreso	NCMS000
para	para	SPS00
todos	todo	PI0MP000
.	.	Fp
Somos	ser	VSIP1P0
afortunados	afortunado	AQ0MP0
porque	porque	CS
vivimos	vivir	VMIP1P0
en	en	SPS00
democracia	democracia	NCFS000
y	y	CC
bajo	bajo	SPS00
el	el	DA0MS0
imperio	imperio	NCMS000
de	de	SPS00
la	el	DA0FS0
ley	ley	NCFS000
que	que	PR0CN000
nos	nos	PP1CP000
asegura	asegurar	VMIP3S0
una	uno	DI0FS0
convivencia	convivencia	NCFS000
libre	libre	AQ0CS0
y	y	CC
pacífica	pacífico	AQ0FS0
.	.	Fp
Pero	pero	CC
si	si	CS
podemos	poder	VMIP1P0
sentir	sentir	VMN0000
nos	nos	PP1CP000
en	en	SPS00
buena	bueno	AQ0FS0
medida	medida	NCFS000
orgullosos	orgulloso	AQ0MP0
de	de	SPS00
nosotros	nosotros	PP1MP000
mismos	mismo	AQ0MP0
,	,	Fc
no	no	RN
podemos	poder	VMIP1P0
en	en	SPS00
cambio	cambio	NCMS000
sentir	sentir	VMN0000
nos	nos	PP1CP000
satisfechos	satisfacer	VMP00PM
.	.	Fp
Debemos	deber	VMIP1P0
poner	poner	VMN0000
todos	todo	DI0MP0
los	el	DA0MP0
medios	medio	NCMP000
necesarios	necesario	AQ0MP0
para	para	SPS00
corregir	corregir	VMN0000
y	y	CC
eliminar	eliminar	VMN0000
las	el	DA0FP0
desigualdades	desigualdad	NCFP000
que	que	PR0CN000
impiden	impedir	VMIP3P0
que	que	CS
todos	todo	DI0MP0
los	el	DA0MP0
ciudadanos	ciudadano	NCMP000
puedan	poder	VMSP3P0
gozar	gozar	VMN0000
de	de	SPS00
las	el	DA0FP0
mismas	mismo	AQ0FP0
oportunidades	oportunidad	NCFP000
para	para	SPS00
su	su	DP3CS0
pleno	pleno	AQ0MS0
desarrollo	desarrollo	NCMS000
.	.	Fp
No	no	RN
podemos	poder	VMIP1P0
aceptar	aceptar	VMN0000
como	como	CS
inevitable	inevitable	AQ0CS0
el	el	DA0MS0
que	que	PR0CN000
importantes	importante	AQ0CP0
sectores	sector	NCMP000
de	de	SPS00
población	población	NCFS000
vivan	vivir	VMSP3P0
aún	aun	RG
en	en	SPS00
condiciones	condición	NCFP000
de	de	SPS00
pobreza	pobreza	NCFS000
y	y	CC
permanezcan	permanecer	VMM03P0
a	a	SPS00
el	el	DA0MS0
margen	margen	NCCS000
de	de	SPS00
el	el	DA0MS0
progreso	progreso	NCMS000
económico	económico	AQ0MS0
y	y	CC
social	social	AQ0CS0
.	.	Fp
Es	ser	VSIP3S0
necesario	necesario	AQ0MS0
que	que	CS
intensifiquemos	intensificar	VMSP1P0
nuestros	nuestro	DP1MPP
esfuerzos	esfuerzo	NCMP000
para	para	SPS00
evitar	evitar	VMN0000
que	que	CS
nuestros	nuestro	DP1MPP
jóvenes	joven	NCCP000
se	se	P00CN000
refugien	refugiar	VMSP3P0
en	en	SPS00
las	el	DA0FP0
drogas	droga	NCFP000
arruinando	arruinar	VMG0000
o	o	CC
perdiendo	perder	VMG0000
sus	su	DP3CP0
vidas	vida	NCFP000
.	.	Fp
Tenemos	tener	VMIP1P0
que	que	CS
prestar	prestar	VMN0000
mayor	mayor	AQ0CS0
atención	atención	NCFS000
a	a	SPS00
la	el	DA0FS0
protección	protección	NCFS000
de	de	SPS00
nuestra	nuestro	DP1FSP
infancia	infancia	NCFS000
y	y	CC
a	a	SPS00
el	el	DA0MS0
amparo	amparo	NCMS000
de	de	SPS00
nuestros	nuestro	DP1MPP
mayores	mayor	NCCP000
,	,	Fc
que	que	CS
nos	nos	PP1CP000
han	haber	VAIP3P0
dado	dar	VMP00SM
a	a	SPS00
lo	el	DA0NS0
largo	largo	AQ0MS0
de	de	SPS00
toda	todo	DI0FS0
una	uno	DI0FS0
vida	vida	NCFS000
lo	el	DA0NS0
mejor	mejor	AQ0CS0
de	de	SPS00
ellos	ellos	PP3MP000
mismos	mismo	AQ0MP0
.	.	Fp
Hemos	haber	VMIP1P0
de	de	SPS00
procurar	procurar	VMN0000
con	con	SPS00
generosidad	generosidad	NCFS000
y	y	CC
justicia	justicia	NCFS000
la	el	DA0FS0
integración	integración	NCFS000
de	de	SPS00
los	el	DA0MP0
extranjeros	extranjero	AQ0MP0
que	que	PR0CN000
residen	residir	VMIP3P0
entre	entre	SPS00
nosotros	nosotros	PP1MP000
y	y	CC
rechazar	rechazar	VMN0000
y	y	CC
perseguir	perseguir	VMN0000
las	el	DA0FP0
manifestaciones	manifestación	NCFP000
de	de	SPS00
intolerancia	intolerancia	NCFS000
,	,	Fc
racismo	racismo	NCMS000
,	,	Fc
xenofobia	xenofobia	NCFS000
,	,	Fc
que	que	PR0CN000
atentan	atentar	VMIP3P0
tan	tan	RG
directamente	directamente	RG
a	a	SPS00
la	el	DA0FS0
dignidad	dignidad	NCFS000
de	de	SPS00
la	el	DA0FS0
persona	persona	NCFS000
.	.	Fp
Tenemos	tener	VMIP1P0
que	que	CS
aprender	aprender	VMN0000
a	a	SPS00
convivir	convivir	VMN0000
con	con	SPS00
quienes	quien	PR0CP000
son	ser	VSIP3P0
social	social	AQ0CS0
,	,	Fc
cultural	cultural	AQ0CS0
o	o	CC
religiosamente	religiosamente	RG
diferentes	diferente	AQ0CP0
.	.	Fp
Es	ser	VSIP3S0
imprescindible	imprescindible	AQ0CS0
que	que	CS
sigamos	seguir	VMSP1P0
firmemente	firmemente	RG
unidos	unir	VMP00PM
para	para	SPS00
combatir	combatir	VMN0000
con	con	SPS00
eficacia	eficacia	NCFS000
la	el	DA0FS0
violencia	violencia	NCFS000
terrorista	terrorista	AQ0CS0
que	que	PR0CN000
,	,	Fc
desgraciadamente	desgraciadamente	RG
,	,	Fc
sigue	seguir	VMIP3S0
causando	causar	VMG0000
víctimas	víctima	NCFP000
inocentes	inocente	AQ0CP0
y	y	CC
alterando	alterar	VMG0000
nuestra	nuestro	DP1FSP
convivencia	convivencia	NCFS000
en	en	SPS00
paz	paz	NCFS000
y	y	CC
libertad	libertad	NCFS000
.	.	Fp
Es	ser	VSIP3S0
preocupación	preocupación	NCFS000
muy	muy	RG
extendida	extender	VMP00SF
que	que	PR0CN000
vivimos	vivir	VMIP1P0
una	uno	DI0FS0
crisis	crisis	NCFN000
de	de	SPS00
valores	valor	NCMP000
.	.	Fp
Pero	pero	CC
quiero	querer	VMIP1S0
decir	decir	VMN0000
os	os	PP2CP000
que	que	PR0CN000
estoy	estar	VAIP1S0
convencido	convencer	VMP00SM
de	de	SPS00
que	que	CS
esa	ese	DD0FS0
crisis	crisis	NCFN000
no	no	RN
es	ser	VSIP3S0
de	de	SPS00
fondo	fondo	NCMS000
ni	ni	CC
esencial	esencial	AQ0CS0
,	,	Fc
sino	sino	CC
coyuntural	coyuntural	AQ0CS0
.	.	Fp
Lo	lo	PP3CNA00
creo	crear	VMIP1S0
así	así	RG
,	,	Fc
porque	porque	CS
tengo	tener	VMIP1S0
la	el	DA0FS0
certeza	certeza	NCFS000
de	de	SPS00
que	que	CS
todos	todo	PI0MP000
y	y	CC
cada	cada	DI0CS0
uno	uno	PI0MS000
de	de	SPS00
nosotros	nosotros	PP1MP000
sabemos	saber	VMIP1P0
y	y	CC
asumimos	asumir	VMIP1P0
sin	sin	SPS00
reservas	reserva	NCFP000
que	que	PR0CN000
,	,	Fc
tanto	tanto	RG
en	en	SPS00
la	el	DA0FS0
vida	vida	NCFS000
individual	individual	AQ0CS0
como	como	CS
en	en	SPS00
la	el	DA0FS0
colectiva	colectivo	AQ0FS0
,	,	Fc
las	el	DA0FP0
referencias	referencia	NCFP000
éticas	ético	AQ0FP0
son	ser	VSIP3P0
imprescindibles	imprescindible	AQ0CP0
para	para	SPS00
el	el	DA0MS0
pleno	pleno	AQ0MS0
y	y	CC
feliz	feliz	AQ0CS0
desarrollo	desarrollo	NCMS000
de	de	SPS00
el	el	DA0MS0
hombre	hombre	NCMS000
y	y	CC
de	de	SPS00
la	el	DA0FS0
sociedad	sociedad	NCFS000
.	.	Fp
Los	el	DA0MP0
grandes	grande	AQ0CP0
valores	valor	NCMP000
de	de	SPS00
