Buenas	bueno	AQ0FP0
reflexiones	reflexión	NCFP000
sobre	sobre	SPS00
nuestro	nuestro	DP1MSP
presente	presente	NCMS000
y	y	CC
sobre	sobre	SPS00
nuestro	nuestro	DP1MSP
futuro	futuro	NCMS000
,	,	Fc
procurando	procurar	VMG0000
extraer	extraer	VMN0000
de	de	SPS00
todo	todo	PI0MS000
lo	el	DA0NS0
que	que	PR0CN000
hemos	haber	VAIP1P0
vivido	vivir	VMP00SM
,	,	Fc
especialmente	especialmente	RG
durante	durante	SPS00
este	este	DD0MS0
2016	2016	Z
,	,	Fc
aquello	aquel	PD0NS000
que	que	PR0CN000
mejor	mejor	RG
nos	nos	PP1CP000
ayude	ayudar	VMSP1S0
a	a	SPS00
seguir	seguir	VMN0000
adelante	adelante	RG
.	.	Fp
Siempre	siempre	RG
se	se	P00CN000
ha	haber	VAIP3S0
dicho	decir	VMP00SM
que	que	CS
los	el	DA0MP0
momentos	momento	NCMP000
más	más	RG
difíciles	difícil	AQ0CP0
de	de	SPS00
la	el	DA0FS0
vida	vida	NCFS000
son	ser	VSIP3P0
las	el	DA0FP0
mejores	mejor	AQ0CP0
oportunidades	oportunidad	NCFP000
para	para	SPS00
descubrir	descubrir	VMN0000
nuestra	nuestro	DP1FSP
fuerza	fuerza	NCFS000
interior	interior	AQ0CS0
,	,	Fc
para	para	SPS00
comprobar	comprobar	VMN0000
nuestro	nuestro	DP1MSP
carácter	carácter	NCMS000
,	,	Fc
nuestra	nuestro	DP1FSP
verdadera	verdadero	AQ0FS0
dimensión	dimensión	NCFS000
.	.	Fp
A	a	SPS00
lo	lo	PP3CNA00
largo	largo	AQ0MS0
de	de	SPS00
este	este	DD0MS0
año	año	NCMS000
he	haber	VAIP1S0
estado	estar	VAP00SM
en	en	SPS00
diferentes	diferente	AQ0CP0
lugares	lugar	NCMP000
de	de	SPS00
nuestra	nuestro	DP1FSP
geografía	geografía	NCFS000
nacional	nacional	AQ0CS0
.	.	Fp
Y	y	CC
tengo	tener	VMIP1S0
que	que	CS
decir	decir	VMN0000
os	os	PP2CP000
que	que	CS
,	,	Fc
en	en	SPS00
todo	todo	DI0MS0
ese	ese	DD0MS0
recorrido	recorrido	NCMS000
por	por	SPS00
nuestros	nuestro	DP1MPP
pueblos	pueblo	NCMP000
y	y	CC
ciudades	ciudad	NCFP000
he	haber	VAIP1S0
visto	ver	VMP00SM
dificultades	dificultad	NCFP000
y	y	CC
problemas	problema	NCMP000
para	para	SPS00
muchos	mucho	PI0MP000
de	de	SPS00
nuestros	nuestro	DP1MPP
compatriotas	compatriota	NCCP000
;	;	Fx
pero	pero	CC
también	también	RG
trabajo	trabajo	NCMS000
duro	duro	AQ0MS0
,	,	Fc
honesto	honesto	AQ0MS0
,	,	Fc
sacrificado	sacrificar	VMP00SM
;	;	Fx
mucha	mucho	DI0FS0
capacidad	capacidad	NCFS000
y	y	CC
talento	talento	NCMS000
;	;	Fx
y	y	CC
,	,	Fc
sobre	sobre	SPS00
todo	todo	PI0MS000
,	,	Fc
determinación	determinación	NCFS000
,	,	Fc
ganas	gana	NCFP000
de	de	SPS00
salir	salir	VMN0000
adelante	adelante	RG
.	.	Fp
He	haber	VAIP1S0
comprobado	comprobar	VMP00SM
,	,	Fc
una	uno	DI0FS0
vez	vez	NCFS000
más	más	RG
,	,	Fc
el	el	DA0MS0
valor	valor	NCMS000
que	que	PR0CN000
tiene	tener	VMIP3S0
en	en	SPS00
nuestra	nuestro	DP1FSP
sociedad	sociedad	NCFS000
la	el	DA0FS0
familia	familia	NCFS000
,	,	Fc
porque	porque	CS
su	su	DP3CS0
ayuda	ayuda	NCFS000
ha	haber	VAIP3S0
permitido	permitir	VMP00SM
a	a	SPS00
muchos	mucho	PI0MP000
sobrellevar	sobrellevar	VMN0000
los	el	DA0MP0
peores	peor	AQ0CP0
momentos	momento	NCMP000
.	.	Fp
He	haber	VAIP1S0
conocido	conocer	VMP00SM
a	a	SPS00
trabajadores	trabajador	NCMP000
y	y	CC
profesionales	profesional	NCCP000
,	,	Fc
hombres	hombre	NCMP000
y	y	CC
mujeres	mujer	NCFP000
que	que	PR0CN000
,	,	Fc
con	con	SPS00
su	su	DP3CS0
esfuerzo	esfuerzo	NCMS000
sereno	sereno	AQ0MS0
,	,	Fc
durante	durante	SPS00
estos	este	DD0MP0
largos	largo	AQ0MP0
y	y	CC
difíciles	difícil	AQ0CP0
años	año	NCMP000
,	,	Fc
sin	sin	SPS00
desfallecer	desfallecer	VMN0000
ni	ni	CC
resignar	resignar	VMN0000
se	se	PP3CN000
,	,	Fc
sostienen	sostener	VMIP3P0
con	con	SPS00
gran	gran	AQ0CS0
dignidad	dignidad	NCFS000
y	y	CC
coraje	coraje	NCMS000
a	a	SPS00
sus	su	DP3CP0
familias	familia	NCFP000
,	,	Fc
sus	su	DP3CP0
vidas	vida	NCFP000
y	y	CC
sus	su	DP3CP0
trabajos	trabajo	NCMP000
.	.	Fp
He	haber	VAIP1S0
visto	ver	VMP00SM
,	,	Fc
también	también	RG
,	,	Fc
en	en	SPS00
muchos	mucho	DI0MP0
compatriotas	compatriota	NCCP000
la	el	DA0FS0
decisión	decisión	NCFS000
de	de	SPS00
asumir	asumir	VMN0000
riesgos	riesgo	NCMP000
para	para	SPS00
crear	crear	VMN0000
o	o	CC
defender	defender	VMN0000
puestos	puesto	NCMP000
de	de	SPS00
trabajo	trabajo	NCMS000
,	,	Fc
y	y	CC
el	el	DA0MS0
valor	valor	NCMS000
para	para	SPS00
levantar	levantar	VMN0000
se	se	PP3CN000
y	y	CC
reemprender	reemprender	VMN0000
la	el	DA0FS0
tarea	tarea	NCFS000
después_de	después_de	SPS00
haber	haber	VAN0000
visto	ver	VMP00SM
destruidas	destruir	VMP00PF
obras	obra	NCFP000
hechas	hacer	VMP00PF
con	con	SPS00
ilusión	ilusión	NCFS000
y	y	CC
gran	gran	AQ0CS0
sacrificio	sacrificio	NCMS000
.	.	Fp
Podría	poder	VMIC3S0
dar	dar	VMN0000
,	,	Fc
además	además	RG
,	,	Fc
innumerables	innumerable	AQ0CP0
ejemplos	ejemplo	NCMP000
de	de	SPS00
solidaridad	solidaridad	NCFS000
.	.	Fp
Muchos	mucho	PI0MP000
de	de	SPS00
vosotros	vosotros	PP2MP000
entregáis	entregar	VMIP2P0
con	con	SPS00
generosidad	generosidad	NCFS000
vuestro	vuestro	DP2MSP
saber	saber	NCMS000
,	,	Fc
vuestro	vuestro	DP2MSP
tiempo	tiempo	NCMS000
y	y	CC
esfuerzo	esfuerzo	NCMS000
,	,	Fc
y	y	CC
sobre	sobre	SPS00
todo	todo	DI0MS0
vuestro	vuestro	DP2MSP
corazón	corazón	NCMS000
,	,	Fc
para	para	SPS00
ayudar	ayudar	VMN0000
a	a	SPS00
los	el	DA0MP0
demás	demás	PI0CP000
;	;	Fx
sois	ser	VSIP2P0
capaces	capaz	AQ0CP0
de	de	SPS00
reaccionar	reaccionar	VMN0000
ante	ante	SPS00
cualquier	cualquiera	DI0CS0
emergencia	emergencia	NCFS000
,	,	Fc
probando	probar	VMG0000
siempre	siempre	RG
que	que	CS
,	,	Fc
allá	allá	RG
donde	donde	PR000000
haga	hacer	VMSP1S0
falta	falta	NCFS000
,	,	Fc
allá	allá	RG
donde	donde	PR000000
se	se	P00CN000
necesite	necesitar	VMSP3S0
una	uno	DI0FS0
palabra	palabra	NCFS000
de	de	SPS00
aliento	aliento	NCMS000
o	o	CC
una	uno	DI0FS0
mano	mano	NCFS000
amiga	amigo	NCFS000
,	,	Fc
hay	haber	VMIP3S0
un	uno	DI0MS0
español	español	NCMS000
que	que	PR0CN000
demuestra	demostrar	VMIP3S0
con	con	SPS00
obras	obra	NCFP000
la	el	DA0FS0
grandeza	grandeza	NCFS000
y	y	CC
el	el	DA0MS0
alma	alma	NCFS000
más	más	RG
profunda	profundo	AQ0FS0
de	de	SPS00
nuestra	nuestro	DP1FSP
tierra	tierra	NCFS000
.	.	Fp
Como	como	CS
también	también	RG
he	haber	VAIP1S0
sido	ser	VSP00SM
,	,	Fc
y	y	CC
soy	ser	VSIP1S0
continuamente	continuamente	RG
,	,	Fc
testigo	testigo	NCCS000
de	de	SPS00
la	el	DA0FS0
labor	labor	NCFS000
de	de	SPS00
tantos	tanto	DI0MP0
servidores	servidor	NCMP000
públicos	público	AQ0MP0
que	que	PR0CN000
,	,	Fc
con	con	SPS00
una	uno	DI0FS0
extraordinaria	extraordinario	AQ0FS0
vocación	vocación	NCFS000
de	de	SPS00
servicio	servicio	NCMS000
a	a	SPS00
la	el	DA0FS0
comunidad	comunidad	NCFS000
,	,	Fc
garantizan	garantizar	VMIP3P0
nuestras	nuestro	DP1FPP
libertades	libertad	NCFP000
,	,	Fc
atienden	atender	VMIP3P0
nuestros	nuestro	DP1MPP
hospitales	hospital	NCMP000
o	o	CC
educan	educar	VMIP3P0
a	a	SPS00
nuestros	nuestro	DP1MPP
hijos	hijo	NCMP000
;	;	Fx
muchos	mucho	DI0MP0
compatriotas	compatriota	NCCP000
que	que	PR0CN000
,	,	Fc
dentro	dentro	RG
y	y	CC
fuera_de	fuera_de	SPS00
España	españa	NP00G00
,	,	Fc
velan	velar	VMIP3P0
por	por	SPS00
nuestra	nuestro	DP1FSP
seguridad	seguridad	NCFS000
,	,	Fc
defienden	defender	VMIP3P0
nuestros	nuestro	DP1MPP
valores	valor	NCMP000
y	y	CC
contribuyen	contribuir	VMIP3P0
a	a	SPS00
el	el	DA0MS0
avance	avance	NCMS000
de	de	SPS00
la	el	DA0FS0
ciencia	ciencia	NCFS000
y	y	CC
a	a	SPS00
el	el	DA0MS0
enriquecimiento	enriquecimiento	NCMS000
de	de	SPS00
la	el	DA0FS0
cultura	cultura	NCFS000
.	.	Fp
Todos	todo	PI0MP000
ellos	ellos	PP3MP000
son	ser	VSIP3P0
la	el	DA0FS0
imagen	imagen	NCFS000
de	de	SPS00
nuestro	nuestro	DP1MSP
país	país	NCMS000
y	y	CC
también	también	RG
hacen	hacer	VMIP3P0
posible	posible	AQ0CS0
que	que	CS
nuestro	nuestro	DP1MSP
Estado	estado	NP00O00
funcione	funcionar	VMSP3S0
y	y	CC
que	que	CS
podamos	poder	VMSP1P0
celebrar	celebrar	VMN0000
un_día	TM_d:1	Zu
como	como	CS
hoy	hoy	RG
.	.	Fp
Todo	todo	DI0MS0
esto	este	PD0NS000
para	para	SPS00
mí	mí	PP1CSO00
y	y	CC
para	para	SPS00
todos	todo	DI0MP0
nosotros	nosotros	PP1MP000
,	,	Fc
es	ser	VSIP3S0
un	uno	DI0MS0
motivo	motivo	NCMS000
para	para	SPS00
sentir	sentir	VMN0000
nos	nos	PP1CP000
auténticamente	auténticamente	RG
orgullosos	orgulloso	AQ0MP0
;	;	Fx
y	y	CC
también	también	RG
es	ser	VSIP3S0
una	uno	DI0FS0
razón	razón	NCFS000
para	para	SPS00
la	el	DA0FS0
esperanza	esperanza	NCFS000
,	,	Fc
porque	porque	CS
una	uno	DI0FS0
sociedad	sociedad	NCFS000
que	que	CS
mantenga	mantener	VMSP3S0
estas	este	DD0FP0
actitudes	actitud	NCFP000
,	,	Fc
estas	este	DD0FP0
convicciones	convicción	NCFP000
y	y	CC
estos	este	DD0MP0
valores	valor	NCMP000
no	no	RN
puede	poder	VMIP3S0
tener	tener	VMN0000
le	le	PP3CSD00
miedo	miedo	NCMS000
a	a	SPS00
el	el	DA0MS0
futuro	futuro	NCMS000
.	.	Fp
Estoy	estar	VAIP1S0
seguro	seguro	AQ0MS0
de	de	SPS00
que	que	CS
nuestra	nuestro	DP1FSP
memoria	memoria	NCFS000
colectiva	colectivo	AQ0FS0
reservará	reservar	VMIF3S0
un	uno	DI0MS0
lugar	lugar	NCMS000
de	de	SPS00
honor	honor	NCMS000
en	en	SPS00
la	el	DA0FS0
historia	historia	NCFS000
para	para	SPS00
estos	este	DD0MP0
tiempos	tiempo	NCMP000
de	de	SPS00
sacrificio	sacrificio	NCMS000
y	y	CC
abnegación	abnegación	NCFS000
;	;	Fx
pero	pero	CC
también	también	RG
de	de	SPS00
generosidad	generosidad	NCFS000
y	y	CC
superación	superación	NCFS000
.	.	Fp
Pero	pero	CC
tenemos	tener	VMIP1P0
que	que	CS
seguir	seguir	VMN0000
mirando	mirar	VMG0000
hacia	hacia	SPS00
adelante	adelante	RG
construyendo	construir	VMG0000
nuestro	nuestro	DP1MSP
país	país	NCMS000
,	,	Fc
construyendo	construir	VMG0000
también	también	RG
Europa	europa	NP00G00
.	.	Fp
Tenemos	tener	VMIP1P0
que	que	CS
esforzar	esforzar	VMN0000
nos	nos	PP1CP000
,	,	Fc
paso	paso	NCMS000
a	a	SPS00
paso	paso	NCMS000
,	,	Fc
día	día	NCMS000
a	a	SPS00
día	día	NCMS000
y	y	CC
con	con	SPS00
espíritu	espíritu	NCMS000
positivo	positivo	AQ0MS0
,	,	Fc
para	para	SPS00
que	que	CS
la	el	DA0FS0
prosperidad	prosperidad	NCFS000
y	y	CC
el	el	DA0MS0
bienestar	bienestar	NCMS000
sean	ser	VSSP3P0
la	el	DA0FS0
base	base	NCCS000
de	de	SPS00
una	uno	DI0FS0
convivencia	convivencia	NCFS000
ilusionada	ilusionar	VMP00SF
.	.	Fp
Y	y	CC
por	por	SPS00
eso	ese	PD0NS000
hay	haber	VMIP3S0
varios	varios	DI0MP0
asuntos	asunto	NCMP000
a	a	SPS00
los	el	DA0MP0
que	que	PR0CN000
,	,	Fc
concretamente	concretamente	RG
,	,	Fc
quiero	querer	VMIP1S0
referir	referir	VMN0000
me	me	PP1CS000
esta	este	DD0FS0
noche	noche	NCFS000
:	:	Fd
Es	ser	VSIP3S0
cierto	cierto	AQ0MS0
que	que	CS
la	el	DA0FS0
crisis	crisis	NCFN000
ha	haber	VAIP3S0
impuesto	imponer	VMP00SM
grandes	grande	AQ0CP0
sacrificios	sacrificio	NCMP000
.	.	Fp
Hoy	hoy	RG
,	,	Fc
sin	sin	SPS00
embargo	embargo	NCMS000
,	,	Fc
vivimos	vivir	VMIP1P0
con	con	SPS00
la	el	DA0FS0
esperanza	esperanza	NCFS000
de	de	SPS00
la	el	DA0FS0
recuperación	recuperación	NCFS000
que	que	PR0CN000
ya	ya	RG
hemos	haber	VAIP1P0
iniciado	iniciar	VMP00SM
.	.	Fp
Todos	todo	PI0MP000
deseamos	desear	VMIP1P0
que	que	CS
esa	ese	DD0FS0
recuperación	recuperación	NCFS000
se	se	P00CN000
consolide	consolidar	VMSP3S0
,	,	Fc
que	que	CS
nos	nos	PP1CP000
permita	permitir	VMSP1S0
además	además	RG
crear	crear	VMN0000
mucho	mucho	RG
más	más	RG
empleo	empleo	NCMS000
y	y	CC
de	de	SPS00
calidad	calidad	NCFS000
,	,	Fc
y	y	CC
también	también	RG
corregir	corregir	VMN0000
tanto	tanto	RG
las	el	DA0FP0
desigualdades	desigualdad	NCFP000
derivadas	derivar	VMP00PF
de	de	SPS00
una	uno	DI0FS0
crisis	crisis	NCFN000
tan	tan	RG
profunda	profundo	AQ0FS0
como	como	CS
la	el	DA0FS0
que	que	PR0CN000
hemos	haber	VAIP1P0
vivido	vivir	VMP00SM
,	,	Fc
como	como	CS
fortalecer	fortalecer	VMN0000
,	,	Fc
en	en	SPS00
general	general	AQ0CS0
,	,	Fc
nuestra	nuestro	DP1FSP
cohesión	cohesión	NCFS000
social	social	AQ0CS0
,	,	Fc
que	que	PR0CN000
es	ser	VSIP3S0
una	uno	DI0FS0
garantía	garantía	NCFS000
para	para	SPS00
asegurar	asegurar	VMN0000
la	el	DA0FS0
estabilidad	estabilidad	NCFS000
y	y	CC
el	el	DA0MS0
equilibrio	equilibrio	NCMS000
de	de	SPS00
nuestra	nuestro	DP1FSP
sociedad	sociedad	NCFS000
.	.	Fp
En	en	SPS00
ese	ese	DD0MS0
sentido	sentido	NCMS000
,	,	Fc
es	ser	VSIP3S0
muy	muy	RG
importante	importante	AQ0CS0
para	para	SPS00
todos	todo	DI0MP0
que	que	CS
muchas	mucho	DI0FP0
familias	familia	NCFP000
puedan	poder	VMSP3P0
recuperar	recuperar	VMN0000
su	su	DP3CS0
nivel	nivel	NCMS000
de	de	SPS00
vida	vida	NCFS000
y	y	CC
que	que	CS
nuestros	nuestro	DP1MPP
jóvenes	joven	NCCP000
puedan	poder	VMSP3P0
tener	tener	VMN0000
oportunidades	oportunidad	NCFP000
de	de	SPS00
futuro	futuro	NCMS000
,	,	Fc
de	de	SPS00
ilusión	ilusión	NCFS000
,	,	Fc
de	de	SPS00
confianza	confianza	NCFS000
;	;	Fx
que	que	CS
sobre	sobre	SPS00
todo	todo	DI0MS0
las	el	DA0FP0
personas	persona	NCFP000
más	más	RG
desfavorecidas	desfavorecer	VMP00PF
o	o	CC
más	más	RG
vulnerables	vulnerable	AQ0CP0
tengan	tener	VMSP3P0
la	el	DA0FS0
certeza	certeza	NCFS000
de	de	SPS00
que	que	CS
no	no	RN
se	se	P00CN000
quedarán	quedar	VMIF3P0
en	en	SPS00
la	el	DA0FS0
soledad	soledad	NCFS000
de	de	SPS00
el	el	DA0MS0
camino	camino	NCMS000
que	que	PR0CN000
España	españa	NP00O00
tiene	tener	VMIP3S0
que	que	CS
recorrer	recorrer	VMN0000
en	en	SPS00
el	el	DA0MS0
siglo	siglo	NCMS000
XXI	xxi	NCMS000
.	.	Fp
Por	por	SPS00
otra	otro	DI0FS0
parte	parte	NCFS000
,	,	Fc
hemos	haber	VAIP1P0
superado	superar	VMP00SM
una	uno	DI0FS0
compleja	complejo	AQ0FS0
situación	situación	NCFS000
política	político	AQ0FS0
que	que	PR0CN000
conocéis	conocer	VMIP2P0
bien	bien	RG
.	.	Fp
Es	ser	VSIP3S0
importante	importante	AQ0CS0
ahora	ahora	RG
que	que	CS
en	en	SPS00
nuestra	nuestro	DP1FSP
sociedad	sociedad	NCFS000
se	se	P00CN000
haya	haber	VASP1S0
recuperado	recuperar	VMP00SM
serenidad	serenidad	NCFS000
y	y	CC
que	que	CS
los	el	DA0MP0
ciudadanos	ciudadano	NCMP000
puedan	poder	VMSP3P0
tener	tener	VMN0000
la	el	DA0FS0
tranquilidad	tranquilidad	NCFS000
necesaria	necesario	AQ0FS0
para	para	SPS00
poder	poder	VMN0000
llevar_a_cabo	llevar_a_cabo	VMN0000
sus	su	DP3CP0
proyectos	proyecto	NCMP000
de	de	SPS00
vida	vida	NCFS000
.	.	Fp
Como	como	CS
igualmente	igualmente	RG
es	ser	VSIP3S0
esencial	esencial	AQ0CS0
,	,	Fc
de_cara_a	de_cara_a	SPS00
el	el	DA0MS0
futuro	futuro	NCMS000
,	,	Fc
que	que	CS
el	el	DA0MS0
diálogo	diálogo	NCMS000
y	y	CC
el	el	DA0MS0
entendimiento	entendimiento	NCMS000
entre	entre	SPS00
los	el	DA0MP0
grupos	grupo	NCMP000
políticos	político	AQ0MP0
permita	permitir	VMSP1S0
preservar	preservar	VMN0000
e	y	CC
impulsar	impulsar	VMN0000
los	el	DA0MP0
consensos	consenso	NCMP000
básicos	básico	AQ0MP0
para	para	SPS00
el	el	DA0MS0
mejor	mejor	AQ0CS0
funcionamiento	funcionamiento	NCMS000
de	de	SPS00
nuestra	nuestro	DP1FSP
sociedad	sociedad	NCFS000
.	.	Fp
Y	y	CC
me	me	PP1CS000
gustaría	gustar	VMIC3S0
insistir	insistir	VMN0000
esta	este	DD0FS0
noche	noche	NCFS000
también	también	RG
en_la_necesidad_de	en_la_necesidad_de	SPS00
que	que	CS
cuidemos	cuidar	VMSP1P0
y	y	CC
mejoremos	mejorar	VMSP1P0
en	en	SPS00
todo	todo	DI0MS0
momento	momento	NCMS000
nuestra	nuestro	DP1FSP
convivencia	convivencia	NCFS000
.	.	Fp
Y	y	CC
la	el	DA0FS0
convivencia	convivencia	NCFS000
exige	exigir	VMIP3S0
siempre	siempre	RG
,	,	Fc
y	y	CC
ante	ante	SPS00
todo	todo	PI0MS000
,	,	Fc
respeto	respeto	NCMS000
.	.	Fp
Respeto	respeto	NCMS000
y	y	CC
consideración	consideración	NCFS000
a	a	SPS00
los	el	DA0MP0
demás	demás	PI0CP000
,	,	Fc
a	a	SPS00
los	el	DA0MP0
mayores	mayor	AQ0CP0
,	,	Fc
entre	entre	SPS00
hombres	hombre	NCMP000
y	y	CC
mujeres	mujer	NCFP000
,	,	Fc
en	en	SPS00
los	el	DA0MP0
colegios	colegio	NCMP000
,	,	Fc
en	en	SPS00
el	el	DA0MS0
ámbito	ámbito	NCMS000
laboral	laboral	AQ0CS0
;	;	Fx
respeto	respeto	NCMS000
a	a	SPS00
el	el	DA0MS0
entorno	entorno	NCMS000
natural	natural	AQ0CS0
que	que	PR0CN000
compartimos	compartir	VMIP1P0
y	y	CC
que	que	PR0CN000
nos	nos	PP1CP000
sustenta	sustentar	VMIP3S0
.	.	Fp
Respeto	respeto	NCMS000
y	y	CC
consideración	consideración	NCFS000
también	también	RG
a	a	SPS00
las	el	DA0FP0
ideas	idea	NCFP000
distintas	distinto	AQ0FP0
a	a	SPS00
las	el	DA0FP0
nuestras	nuestro	PX1FP0P0
.	.	Fp
La	el	DA0FS0
intolerancia	intolerancia	NCFS000
y	y	CC
la	el	DA0FS0
exclusión	exclusión	NCFS000
,	,	Fc
la	el	DA0FS0
negación	negación	NCFS000
de	de	SPS00
el	el	DA0MS0
otro	otro	PI0MS000
o	o	CC
el	el	DA0MS0
desprecio	desprecio	NCMS000
a	a	SPS00
el	el	DA0MS0
valor	valor	NCMS000
de	de	SPS00
la	el	DA0FS0
opinión	opinión	NCFS000
ajena	ajeno	AQ0FS0
,	,	Fc
no	no	RN
pueden	poder	VMIP3P0
caber	caber	VMN0000
en	en	SPS00
la	el	DA0FS0
España	españa	NP00G00
de	de	SPS00
hoy	hoy	RG
.	.	Fp
Como	como	CS
tampoco	tampoco	RG
son	ser	VSIP3P0
admisibles	admisible	AQ0CP0
ni	ni	CC
actitudes	actitud	NCFP000
ni	ni	CC
comportamientos	comportamiento	NCMP000
que	que	PR0CN000
ignoren	ignorar	VMSP3P0
o	o	CC
desprecien	despreciar	VMSP3P0
los	el	DA0MP0
derechos	derecho	NCMP000
que	que	PR0CN000
tienen	tener	VMIP3P0
y	y	CC
que	que	PR0CN000
comparten	compartir	VMIP3P0
todos	todo	DI0MP0
los	el	DA0MP0
españoles	español	NCMP000
para	para	SPS00
la	el	DA0FS0
organización	organización	NCFS000
de	de	SPS00
la	el	DA0FS0
vida	vida	NCFS000
en	en	SPS00
común	común	AQ0CS0
.	.	Fp
Vulnerar	vulnerar	VMN0000
las	el	DA0FP0
normas	norma	NCFP000
que	que	PR0CN000
garantizan	garantizar	VMIP3P0
nuestra	nuestro	DP1FSP
democracia	democracia	NCFS000
y	y	CC
libertad	libertad	NCFS000
solo	solo	AQ0MS0
lleva	llevar	VMIP3S0
,	,	Fc
primero	primero	RG
,	,	Fc
a	a	SPS00
tensiones	tensión	NCFP000
y	y	CC
enfrentamientos	enfrentamiento	NCMP000
estériles	estéril	AQ0CP0
que	que	PR0CN000
no	no	RN
resuelven	resolver	VMIP3P0
nada	nada	PI0CS000
y	y	CC
,	,	Fc
luego	luego	RG
,	,	Fc
a	a	SPS00
el	el	DA0MS0
empobrecimiento	empobrecimiento	NCMS000
moral	moral	AQ0CS0
y	y	CC
material	material	AQ0CS0
de	de	SPS00
la	el	DA0FS0
sociedad	sociedad	NCFS000
.	.	Fp
Porque	porque	CS
el	el	DA0MS0
progreso	progreso	NCMS000
,	,	Fc
la	el	DA0FS0
modernización	modernización	NCFS000
,	,	Fc
el	el	DA0MS0
bienestar	bienestar	NCMS000
,	,	Fc
requieren	requerir	VMIP3P0
siempre	siempre	RG
de	de	SPS00
una	uno	DI0FS0
