Me	me	PP1CS000
convertido	convertir	VMP00SM
en	en	SPS00
referencia	referencia	NCFS000
para	para	SPS00
otros	otro	PI0MP000
.	.	Fp
Nuestra	nuestro	DP1FSP
economía	economía	NCFS000
presenta	presentar	VMIP3S0
una	uno	DI0FS0
buena	bueno	AQ0FS0
salud	salud	NCFS000
.	.	Fp
Seguimos	seguir	VMIS1P0
generando	generar	VMG0000
empleo	empleo	NCMS000
,	,	Fc
creciendo	crecer	VMG0000
por	por	SPS00
encima_de	encima_de	SPS00
la	el	DA0FS0
media	medio	AQ0FS0
europea	europeo	AQ0FS0
;	;	Fx
y	y	CC
,	,	Fc
aunque	aunque	CC
quede	quedar	VMSP1S0
mucho	mucho	RG
por	por	SPS00
hacer	hacer	VMN0000
,	,	Fc
nuestro	nuestro	DP1MSP
nivel	nivel	NCMS000
de	de	SPS00
bienestar	bienestar	NCMS000
,	,	Fc
sistema	sistema	NCMS000
asistencial	asistencial	AQ0CS0
,	,	Fc
equipamientos	equipamiento	NCMP000
,	,	Fc
transportes	transporte	NCMP000
o	o	CC
infraestructuras	infraestructura	NCFP000
se	se	P00CN000
aproximan	aproximar	VMIP3P0
a	a	SPS00
los	el	DA0MP0
más	más	RG
avanzados	avanzar	VMP00PM
.	.	Fp
No	no	RN
ha	haber	VAIP3S0
sido	ser	VSP00SM
fácil	fácil	AQ0CS0
llegar	llegar	VMN0000
hasta	hasta	SPS00
aquí	aquí	RG
.	.	Fp
Lo	el	DA0NS0
conseguido	conseguir	VMP00SM
es	ser	VSIP3S0
fruto	fruto	NCMS000
de	de	SPS00
los	el	DA0MP0
sacrificios	sacrificio	NCMP000
de	de	SPS00
todos	todo	DI0MP0
los	el	DA0MP0
españoles	español	NCMP000
,	,	Fc
que	que	PR0CN000
supieron	saber	VMIS3P0
superar	superar	VMN0000
rencores	rencor	NCMP000
y	y	CC
divisiones	división	NCFP000
,	,	Fc
mirar	mirar	VMN0000
a	a	SPS00
el	el	DA0MS0
futuro	futuro	NCMS000
y	y	CC
trabajar	trabajar	VMN0000
día	día	NCMS000
a	a	SPS00
día	día	NCMS000
para	para	SPS00
hacer	hacer	VMN0000
de	de	SPS00
España	españa	NP00G00
el	el	DA0MS0
país	país	NCMS000
moderno	moderno	AQ0MS0
,	,	Fc
justo	justo	AQ0MS0
y	y	CC
solidario	solidario	AQ0MS0
de	de	SPS00
el	el	DA0MS0
que	que	PR0CN000
podemos	poder	VMIP1P0
sentir	sentir	VMN0000
nos	nos	PP1CP000
orgullosos	orgulloso	AQ0MP0
.	.	Fp
Es	ser	VSIP3S0
ampliamente	ampliamente	RG
mayoritario	mayoritario	AQ0MS0
el	el	DA0MS0
convencimiento	convencimiento	NCMS000
de	de	SPS00
que	que	CS
lo	el	DA0NS0
que	que	PR0CN000
hemos	haber	VAIP1P0
logrado	lograr	VMP00SM
se	se	P00CN000
lo	lo	PP3CNA00
debemos	deber	VMIP1P0
a	a	SPS00
la	el	DA0FS0
reconciliación	reconciliación	NCFS000
,	,	Fc
a	a	SPS00
la	el	DA0FS0
concordia	concordia	NCFS000
y	y	CC
a	a	SPS00
el	el	DA0MS0
amplio	amplio	AQ0MS0
consenso	consenso	NCMS000
que	que	PR0CN000
permitieron	permitir	VMIS3P0
alumbrar	alumbrar	VMN0000
nuestra	nuestro	DP1FSP
Constitución	constitución	NP00V00
.	.	Fp
Sin	sin	SPS00
ella	él	PP3FS000
,	,	Fc
sin	sin	SPS00
el	el	DA0MS0
respeto	respeto	NCMS000
y	y	CC
la	el	DA0FS0
lealtad	lealtad	NCFS000
a	a	SPS00
sus	su	DP3CP0
reglas	regla	NCFP000
,	,	Fc
valores	valor	NCMP000
y	y	CC
principios	principio	NCMP000
y	y	CC
sin	sin	SPS00
el	el	DA0MS0
esfuerzo	esfuerzo	NCMS000
de	de	SPS00
todos	todo	PI0MP000
,	,	Fc
no	no	RN
podría	poder	VMIC3S0
explicar	explicar	VMN0000
se	se	PP3CN000
ni	ni	CC
la	el	DA0FS0
modernización	modernización	NCFS000
vivida	vivir	VMP00SF
por	por	SPS00
España	españa	NP00G00
,	,	Fc
ni	ni	CC
la	el	DA0FS0
envidiable	envidiable	AQ0CS0
estabilidad	estabilidad	NCFS000
política	político	AQ0FS0
,	,	Fc
económica	económico	AQ0FS0
y	y	CC
social	social	AQ0CS0
que	que	PR0CN000
hemos	haber	VAIP1P0
venido	venir	VMP00SM
disfrutando	disfrutar	VMG0000
.	.	Fp
Vemos	ver	VMIP1P0
que	que	CS
nuestro	nuestro	DP1MSP
país	país	NCMS000
es	ser	VSIP3S0
hoy	hoy	RG
una	uno	DI0FS0
realidad	realidad	NCFS000
de	de	SPS00
libertad	libertad	NCFS000
y	y	CC
progreso	progreso	NCMS000
,	,	Fc
organizado	organizar	VMP00SM
territorialmente	territorialmente	RG
en	en	SPS00
el	el	DA0MS0
respeto	respeto	NCMS000
a	a	SPS00
su	su	DP3CS0
rica	rico	AQ0FS0
pluralidad	pluralidad	NCFS000
y	y	CC
diversidad	diversidad	NCFS000
.	.	Fp
Tenemos	tener	VMIP1P0
motivos	motivo	NCMP000
para	para	SPS00
sentir	sentir	VMN0000
nos	nos	PP1CP000
particularmente	particularmente	RG
orgullosos	orgulloso	AQ0MP0
de	de	SPS00
el	el	DA0MS0
rico	rico	AQ0MS0
patrimonio	patrimonio	NCMS000
histórico	histórico	AQ0MS0
,	,	Fc
cultural	cultural	AQ0CS0
y	y	CC
lingüístico	lingüístico	AQ0MS0
de	de	SPS00
España	españa	NP00G00
.	.	Fp
Cierto	cierto	AQ0MS0
es	ser	VSIP3S0
que	que	CS
vivimos	vivir	VMIP1P0
avances	avance	NCMP000
y	y	CC
también	también	RG
algunas	alguno	DI0FP0
dificultades	dificultad	NCFP000
.	.	Fp
Y	y	CC
debemos	deber	VMIP1P0
esforzar	esforzar	VMN0000
nos	nos	PP1CP000
por	por	SPS00
resolver	resolver	VMN0000
las	lo	PP3FPA00
de	de	SPS00
común	común	AQ0CS0
acuerdo	acuerdo	NCMS000
.	.	Fp
Para	para	SPS00
ello	ello	PD0NS000
,	,	Fc
debemos	deber	VMIP1P0
recurrir	recurrir	VMN0000
a	a	SPS00
el	el	DA0MS0
diálogo	diálogo	NCMS000
responsable	responsable	AQ0CS0
y	y	CC
sincero	sincero	AQ0MS0
,	,	Fc
dentro_de	dentro_de	SPS00
el	el	DA0MS0
respeto	respeto	NCMS000
a	a	SPS00
nuestro	nuestro	DP1MSP
marco	marco	NCMS000
constitucional	constitucional	AQ0CS0
,	,	Fc
utilizando	utilizar	VMG0000
los	el	DA0MP0
cauces	cauce	NCMP000
institucionales	institucional	AQ0CP0
y	y	CC
democráticos	democrático	AQ0MP0
,	,	Fc
favoreciendo	favorecer	VMG0000
siempre	siempre	RG
el	el	DA0MS0
predominio	predominio	NCMS000
de	de	SPS00
lo	el	DA0NS0
que	que	PR0CN000
nos	nos	PP1CP000
une	unir	VMIP3S0
,	,	Fc
nunca	nunca	RG
de	de	SPS00
lo	el	DA0NS0
que	que	PR0CN000
nos	nos	PP1CP000
pueda	poder	VMSP1S0
separar	separar	VMN0000
,	,	Fc
fomentando	fomentar	VMG0000
la	el	DA0FS0
concordia	concordia	NCFS000
,	,	Fc
el	el	DA0MS0
consenso	consenso	NCMS000
y	y	CC
el	el	DA0MS0
respeto	respeto	NCMS000
mutuo	mutuo	AQ0MS0
que	que	PR0CN000
han	haber	VAIP3P0
hecho	hacer	VMP00SM
posible	posible	AQ0CS0
nuestra	nuestro	DP1FSP
estabilidad	estabilidad	NCFS000
y	y	CC
progreso	progreso	NCMS000
.	.	Fp
Mi	mi	DP1CSS
mensaje	mensaje	NCMS000
de	de	SPS00
esta	este	DD0FS0
noche	noche	NCFS000
es	ser	VSIP3S0
bien	bien	RG
sencillo	sencillo	AQ0MS0
.	.	Fp
Frente_a	frente_a	SPS00
las	el	DA0FP0
tensiones	tensión	NCFP000
y	y	CC
las	el	DA0FP0
divisiones	división	NCFP000
,	,	Fc
debe	deber	VMIP3S0
prevalecer	prevalecer	VMN0000
-	-	Fg
por	por	SPS00
parte	parte	NCFS000
de	de	SPS00
todos	todo	PI0MP000
-	-	Fg
la	el	DA0FS0
firme	firme	AQ0CS0
determinación	determinación	NCFS000
de	de	SPS00
intentar	intentar	VMN0000
superar	superar	VMN0000
las	lo	PP3FPA00
desde	desde	SPS00
la	el	DA0FS0
moderación	moderación	NCFS000
y	y	CC
el	el	DA0MS0
sosiego	sosiego	NCMS000
,	,	Fc
mediante	mediante	SPS00
la	el	DA0FS0
búsqueda	búsqueda	NCFS000
de	de	SPS00
el	el	DA0MS0
más	más	RG
amplio	amplio	AQ0MS0
consenso	consenso	NCMS000
en	en	SPS00
el	el	DA0MS0
marco	marco	NCMS000
de	de	SPS00
las	el	DA0FP0
reglas	regla	NCFP000
,	,	Fc
principios	principio	NCMP000
,	,	Fc
y	y	CC
valores	valor	NCMP000
de	de	SPS00
nuestra	nuestro	DP1FSP
Constitución	constitución	NP00V00
.	.	Fp
Todo	todo	PI0MS000
lo	el	DA0NS0
que	que	PR0CN000
se	se	P00CN000
ajuste	ajustar	VMSP3S0
a	a	SPS00
estas	este	DD0FP0
pautas	pauta	NCFP000
será	ser	VSIF3S0
siempre	siempre	RG
más	más	RG
sólido	sólido	AQ0MS0
,	,	Fc
más	más	RG
seguro	seguro	AQ0MS0
y	y	CC
,	,	Fc
sobre	sobre	SPS00
todo	todo	PI0MS000
,	,	Fc
más	más	RG
integrador	integrador	AQ0MS0
.	.	Fp
Confío	confiar	VMIP1S0
plenamente	plenamente	RG
en	en	SPS00
que	que	CS
las	el	DA0FP0
instituciones	institución	NCFP000
y	y	CC
los	el	DA0MP0
partidos	partido	NCMP000
de	de	SPS00
el	el	DA0MS0
arco	arco	NCMS000
constitucional	constitucional	AQ0CS0
sabrán	saber	VMIF3P0
siempre	siempre	RG
servir	servir	VMN0000
fielmente	fielmente	RG
a	a	SPS00
el	el	DA0MS0
interés	interés	NCMS000
general	general	AQ0CS0
,	,	Fc
y	y	CC
a	a	SPS00
el	el	DA0MS0
deseo	deseo	NCMS000
mayoritario	mayoritario	AQ0MS0
de	de	SPS00
el	el	DA0MS0
pueblo	pueblo	NCMS000
español	español	AQ0MS0
de	de	SPS00
preservar	preservar	VMN0000
y	y	CC
ensanchar	ensanchar	VMN0000
nuestra	nuestro	DP1FSP
armónica	armónico	AQ0FS0
convivencia	convivencia	NCFS000
.	.	Fp
En	en	SPS00
su	su	DP3CS0
esfuerzo	esfuerzo	NCMS000
cotidiano	cotidiano	AQ0MS0
,	,	Fc
la	el	DA0FS0
Corona	corona	NP00O00
no	no	RN
olvida	olvidar	VMIP3S0
lo	lo	PP3CNA00
mucho	mucho	RG
que	que	CS
siempre	siempre	RG
queda	quedar	VMIP3S0
por	por	SPS00
hacer	hacer	VMN0000
para	para	SPS00
superar	superar	VMN0000
carencias	carencia	NCFP000
o	o	CC
resolver	resolver	VMN0000
problemas	problema	NCMP000
,	,	Fc
promoviendo	promover	VMG0000
la	el	DA0FS0
solución	solución	NCFS000
de	de	SPS00
las	el	DA0FP0
necesidades	necesidad	NCFP000
de	de	SPS00
los	el	DA0MP0
más	más	RG
humildes	humilde	AQ0CP0
,	,	Fc
de	de	SPS00
quienes	quien	PR0CP000
por	por	SPS00
ser	ser	VSN0000
los	el	DA0MP0
más	más	RG
desfavorecidos	desfavorecer	VMP00PM
y	y	CC
vulnerables	vulnerable	AQ0CP0
,	,	Fc
más	más	RG
necesitan	necesitar	VMIP3P0
ser	ser	VSN0000
escuchados	escuchar	VMP00PM
y	y	CC
atendidos	atender	VMP00PM
.	.	Fp
A	a	SPS00
todos	todo	PI0MP000
nos	nos	PP1CP000
duelen	doler	VMIP3P0
las	el	DA0FP0
cifras	cifra	NCFP000
de	de	SPS00
ciudadanos	ciudadano	NCMP000
que	que	PR0CN000
viven	vivir	VMIP3P0
en	en	SPS00
España	españa	NP00G00
por	por	SPS00
debajo_de	debajo_de	SPS00
el	el	DA0MS0
umbral	umbral	NCMS000
de	de	SPS00
la	el	DA0FS0
pobreza	pobreza	NCFS000
,	,	Fc
en	en	SPS00
contraste	contraste	NCMS000
con	con	SPS00
las	el	DA0FP0
que	que	PR0CN000
avalan	avalar	VMIP3P0
nuestro	nuestro	DP1MSP
sostenido	sostener	VMP00SM
crecimiento	crecimiento	NCMS000
económico	económico	AQ0MS0
.	.	Fp
Una	uno	DI0FS0
sociedad	sociedad	NCFS000
solidaria	solidario	AQ0FS0
y	y	CC
de	de	SPS00
progreso	progreso	NCMS000
,	,	Fc
como	como	CS
la	el	DA0FS0
española	español	AQ0FS0
,	,	Fc
debe	deber	VMIP3S0
comprometer	comprometer	VMN0000
se	se	PP3CN000
con	con	SPS00
todo	todo	DI0MS0
empeño	empeño	NCMS000
en	en	SPS00
la	el	DA0FS0
lucha	lucha	NCFS000
contra	contra	SPS00
la	el	DA0FS0
pobreza	pobreza	NCFS000
,	,	Fc
la	el	DA0FS0
marginación	marginación	NCFS000
o	o	CC
la	el	DA0FS0
exclusión	exclusión	NCFS000
social	social	AQ0CS0
.	.	Fp
Debe	deber	VMIP3S0
mantener	mantener	VMN0000
se	se	PP3CN000
vigilante	vigilante	AQ0CS0
para	para	SPS00
corregir	corregir	VMN0000
desigualdades	desigualdad	NCFP000
,	,	Fc
extender	extender	VMN0000
las	el	DA0FP0
oportunidades	oportunidad	NCFP000
de	de	SPS00
empleo	empleo	NCMS000
,	,	Fc
mejorar	mejorar	VMN0000
la	el	DA0FS0
cobertura	cobertura	NCFS000
sanitaria	sanitario	AQ0FS0
y	y	CC
la	el	DA0FS0
protección	protección	NCFS000
social	social	AQ0CS0
,	,	Fc
atender	atender	VMN0000
a	a	SPS00
discapacitados	discapacitado	AQ0MP0
,	,	Fc
a	a	SPS00
personas	persona	NCFP000
dependientes	dependiente	AQ0CP0
,	,	Fc
o	o	CC
facilitar	facilitar	VMN0000
el	el	DA0MS0
acceso	acceso	NCMS000
a	a	SPS00
la	el	DA0FS0
vivienda	vivienda	NCFS000
.	.	Fp
Terminar	terminar	VMN0000
con	con	SPS00
el	el	DA0MS0
terrorismo	terrorismo	NCMS000
sigue	seguir	VMIP3S0
siendo	ser	VSG0000
un	uno	DI0MS0
objetivo	objetivo	NCMS000
prioritario	prioritario	AQ0MS0
e	y	CC
inaplazable	inaplazable	AQ0CS0
.	.	Fp
Sus	su	DP3CP0
instigadores	instigador	NCMP000
,	,	Fc
encubridores	encubridor	NCMP000
y	y	CC
autores	autor	NCMP000
materiales	material	NCMP000
no	no	RN
han	haber	VAIP3P0
cejado	cejar	VMP00SM
en	en	SPS00
sus	su	DP3CP0
objetivos	objetivo	NCMP000
,	,	Fc
amenazas	amenaza	NCFP000
y	y	CC
extorsiones	extorsión	NCFP000
.	.	Fp
Su	su	DP3CS0
profunda	profundo	AQ0FS0
crueldad	crueldad	NCFS000
está	estar	VAIP3S0
presente	presente	NCMS000
en	en	SPS00
las	el	DA0FP0
cicatrices	cicatriz	NCFP000
de	de	SPS00
tantas	tanto	DI0FP0
familias	familia	NCFP000
de	de	SPS00
víctimas	víctima	NCFP000
,	,	Fc
a	a	SPS00
las	el	DA0FP0
que	que	PR0CN000
nos	nos	PP1CP000
debemos	deber	VMIP1P0
y	y	CC
cuyo	cuyo	PR0MS000
dolor	dolor	NCMS000
nunca	nunca	RG
podremos	poder	VMIF1P0
compensar	compensar	VMN0000
.	.	Fp
Para	para	SPS00
acabar	acabar	VMN0000
con	con	SPS00
esa	ese	DD0FS0
lacra	lacra	NCFS000
debemos	deber	VMIP1P0
incrementar	incrementar	VMN0000
nuestros	nuestro	DP1MPP
esfuerzos	esfuerzo	NCMP000
,	,	Fc
sabiendo	saber	VMG0000
que	que	CS
contamos	contar	VMIP1P0
con	con	SPS00
los	el	DA0MP0
instrumentos	instrumento	NCMP000
de	de	SPS00
el	el	DA0MS0
Estado_de_Derecho	estado_de_derecho	NP00O00
,	,	Fc
la	el	DA0FS0
acción	acción	NCFS000
de	de	SPS00
la	el	DA0FS0
Justicia	justicia	NP00V00
y	y	CC
de	de	SPS00
las	el	DA0FP0
Fuerzas	fuerzas	NP00O00
y	y	CC
Cuerpos_de_Seguridad	cuerpos_de_seguridad	NP00G00
,	,	Fc
y	y	CC
con	con	SPS00
una	uno	DI0FS0
creciente	creciente	AQ0CS0
cooperación	cooperación	NCFS000
internacional	internacional	AQ0CS0
.	.	Fp
También	también	RG
nos	nos	PP1CP000
preocupa	preocupar	VMIP3S0
el	el	DA0MS0
drama	drama	NCMS000
de	de	SPS00
la	el	DA0FS0
inmigración	inmigración	NCFS000
ilegal	ilegal	AQ0CS0
.	.	Fp
No	no	RN
podemos	poder	VMIP1P0
tolerar	tolerar	VMN0000
que	que	CS
prospere	prosperar	VMSP3S0
el	el	DA0MS0
tráfico	tráfico	NCMS000
de	de	SPS00
seres	ser	NCMP000
humanos	humano	AQ0MP0
.	.	Fp
Tampoco	tampoco	RG
debemos	deber	VMIP1P0
permitir	permitir	VMN0000
que	que	CS
inmigración	inmigración	NCFS000
sea	ser	VSSP1S0
sinónimo	sinónimo	AQ0MS0
de	de	SPS00
muerte	muerte	NCFS000
,	,	Fc
explotación	explotación	NCFS000
,	,	Fc
o	o	CC
discriminación	discriminación	NCFS000
.	.	Fp
Como	como	CS
nueva	nuevo	AQ0FS0
realidad	realidad	NCFS000
social	social	AQ0CS0
de	de	SPS00
grandes	grande	AQ0CP0
dimensiones	dimensión	NCFP000
,	,	Fc
la	el	DA0FS0
inmigración	inmigración	NCFS000
debe	deber	VMIP3S0
ser	ser	VSN0000
abordada	abordar	VMP00SF
por	por	SPS00
todos	todo	PI0MP000
con	con	SPS00
profundo	profundo	AQ0MS0
sentido	sentido	NCMS000
de	de	SPS00
la	el	DA0FS0
responsabilidad	responsabilidad	NCFS000
.	.	Fp
Nuestro	nuestro	DP1MSP
propio	propio	AQ0MS0
éxito	éxito	NCMS000
nos	nos	PP1CP000
ha	haber	VAIP3S0
hecho	hacer	VMP00SM
,	,	Fc
lógicamente	lógicamente	RG
,	,	Fc
más	más	RG
dependientes	dependiente	AQ0CP0
de	de	SPS00
el	el	DA0MS0
exterior	exterior	NCMS000
.	.	Fp
Evitemos	evitar	VMSP1P0
encerrar	encerrar	VMN0000
nos	nos	PP1CP000
en	en	SPS00
nosotros	nosotros	PP1MP000
mismos	mismo	AQ0MP0
.	.	Fp
No	no	RN
olvidemos	olvidar	VMSP1P0
que	que	CS
muchos	mucho	DI0MP0
retos	reto	NCMP000
y	y	CC
oportunidades	oportunidad	NCFP000
se	se	P00CN000
sitúan	situar	VMIP3P0
más_allá_de	más_allá_de	SPS00
nuestras	nuestro	DP1FPP
fronteras	frontera	NCFP000
,	,	Fc
en	en	SPS00
áreas	área	NCFP000
cada	cada	DI0CS0
vez	vez	NCFS000
más	más	RG
lejanas	lejano	AQ0FP0
y	y	CC
competitivas	competitivo	AQ0FP0
.	.	Fp
En	en	SPS00
este	este	DD0MS0
nuevo	nuevo	AQ0MS0
siglo	siglo	NCMS000
,	,	Fc
más	más	RG
que	que	CS
nunca	nunca	RG
,	,	Fc
la	el	DA0FS0
defensa	defensa	NCCS000
de	de	SPS00
los	el	DA0MP0
intereses	interés	NCMP000
de	de	SPS00
España	españa	NP00G00
y	y	CC
de	de	SPS00
los	el	DA0MP0
españoles	español	NCMP000
exige	exigir	VMIP3S0
de	de	SPS00
el	el	DA0MS0
Estado	estado	NP00O00
actuar	actuar	VMN0000
en	en	SPS00
el	el	DA0MS0
exterior	exterior	NCMS000
con	con	SPS00
la	el	DA0FS0
máxima	máximo	AQ0FS0
cohesión	cohesión	NCFS000
de	de	SPS00
todos	todo	PI0MP000
:	:	Fd
instituciones	institución	NCFP000
,	,	Fc
fuerzas	fuerza	NCFP000
políticas	político	AQ0FP0
,	,	Fc
y	y	CC
agentes	agente	NCCP000
económicos	económico	AQ0MP0
y	y	CC
sociales	social	AQ0CP0
.	.	Fp
Si	si	CS
no	no	RN
somos	ser	VSIP1P0
capaces	capaz	AQ0CP0
de	de	SPS00
sumar	sumar	VMN0000
fuerzas	fuerza	NCFP000
,	,	Fc
si	si	CS
no	no	RN
concentramos	concentrar	VMIP1P0
adecuadamente	adecuadamente	RG
nuestros	nuestro	DP1MPP
esfuerzos	esfuerzo	NCMP000
,	,	Fc
debilitaremos	debilitar	VMIF1P0
nuestra	nuestro	DP1FSP
capacidad	capacidad	NCFS000
de	de	SPS00
acción	acción	NCFS000
y	y	CC
de	de	SPS00
negociación	negociación	NCFS000
exterior	exterior	AQ0CS0
;	;	Fx
y	y	CC
serán	ser	VSIF3P0
otros	otro	PI0MP000
quienes	quien	PR0CP000
se	se	P00CN000
beneficien	beneficiar	VMSP3P0
de	de	SPS00
esa	ese	DD0FS0
debilidad	debilidad	NCFS000
.	.	Fp
Pienso	pensar	VMIP1S0
a	a	SPS00
menudo	menudo	NCMS000
en	en	SPS00
los	el	DA0MP0
jóvenes	joven	NCCP000
.	.	Fp
Os	os	PP2CP000
necesitamos	necesitar	VMIP1P0
.	.	Fp
Vosotros	vosotros	PP2MP000
sois	ser	VSIP2P0
capaces	capaz	AQ0CP0
de	de	SPS00
contagiar	contagiar	VMN0000
ilusión	ilusión	NCFS000
,	,	Fc
dinamismo	dinamismo	NCMS000
,	,	Fc
frescura	frescura	NCFS000
de	de	SPS00
ideas	idea	NCFP000
y	y	CC
solidaridad	solidaridad	NCFS000
.	.	Fp
Sabemos	saber	VMIP1P0
de	de	SPS00
vuestra	vuestro	DP2FSP
identificación	identificación	NCFS000
con	con	SPS00
nuestro	nuestro	DP1MSP
sistema	sistema	NCMS000
de	de	SPS00
vida	vida	NCFS000
en	en	SPS00
democracia	democracia	NCFS000
que	que	PR0CN000
hace	hacer	VMIP3S0
de	de	SPS00
España	españa	NP00G00
un	uno	DI0MS0
país	país	NCMS000
libre	libre	AQ0CS0
,	,	Fc
dinámico	dinámico	AQ0MS0
y	y	CC
moderno	moderno	AQ0MS0
.	.	Fp
De	de	SPS00
ahí	ahí	RG
la	el	DA0FS0
importancia	importancia	NCFS000
que	que	PR0CN000
,	,	Fc
para	para	SPS00
el	el	DA0MS0
futuro	futuro	NCMS000
,	,	Fc
tiene	tener	VMIP3S0
vuestro	vuestro	DP2MSP
compromiso	compromiso	NCMS000
con	con	SPS00
el	el	DA0MS0
modelo	modelo	NCCS000
de	de	SPS00
convivencia	convivencia	NCFS000
de	de	SPS00
nuestra	nuestro	DP1FSP
Constitución	constitución	NP00V00
.	.	Fp
Un	uno	DI0MS0
compromiso	compromiso	NCMS000
a	a	SPS00
el	el	DA0MS0
que	que	PR0CN000
debemos	deber	VMIP1P0
corresponder	corresponder	VMN0000
con	con	SPS00
el	el	DA0MS0
apoyo	apoyo	NCMS000
y	y	CC
estímulo	estímulo	NCMS000
a	a	SPS00
vuestros	vuestro	DP2MPP
anhelos	anhelo	NCMP000
de	de	SPS00
mayor	mayor	AQ0CS0
participación	participación	NCFS000
y	y	CC
mejor	mejor	AQ0CS0
formación	formación	NCFS000
.	.	Fp
Llevo	llevar	VMIP1S0
años	año	NCMP000
insistiendo	insistir	VMG0000
en	en	SPS00
que	que	CS
la	el	DA0FS0
mejora	mejora	NCFS000
de	de	SPS00
la	el	DA0FS0
educación	educación	NCFS000
y	y	CC
el	el	DA0MS0
fomento	fomento	NCMS000
de	de	SPS00
la	el	DA0FS0
innovación	innovación	NCFS000
tecnológica	tecnológico	AQ0FS0
son	ser	VSIP3P0
tareas	tarea	NCFP000
prioritarias	prioritario	AQ0FP0
.	.	Fp
No	no	RN
estamos	estar	VAIP1P0
solos	solo	AQ0MP0
en	en	SPS00
el	el	DA0MS0
mundo	mundo	NCMS000
.	.	Fp
La	el	DA0FS0
competencia	competencia	NCFS000
